 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 6-MOTHERHUB_AMD-32   , start                 , -               , undef           ,0,0
1, 6-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_STV ,0,0,0
1, 6-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_BIL ,0,0,0
1, 6-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_KOL ,0,0,0
1, 6-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_MED ,0,0,0
1, 6-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_STV ,17959,17959,1099118
1, 6-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_BIL ,36170,36170,2213624
1, 6-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_KOL ,36170,36170,2213624
1, 6-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_MED ,89283,89283,5464126
1, 6-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_KOL ,192684,192684,11792252
1, 6-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_KOL ,192684,192684,11792252
1, 6-MOTHERHUB_AMD-32   , end                   , -               ,192684, undef           ,11792252
,,,,,,
2, 0-MOTHERHUB_KOL-32   , start                 , -               , undef           ,0,0
2, 0-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_PTI ,0,0,0
2, 0-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_JAI ,0,0,0
2, 0-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_PTI ,114990,114990,7037414
2, 0-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_JAI ,131254,131254,8032746
2, 0-MOTHERHUB_KOL-32   , end                   , -               ,131254, undef           ,8032746
,,,,,,
3, 1-MOTHERHUB_KOL-32   , start                 , -               , undef           ,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_BIL ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_MED ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_CHN ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_BLR ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_STV ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_AMD ,0,0,0
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_CHN ,121859,121859,7457781
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BLR ,143309,143309,8770501
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_MED ,188806,188806,11554901
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BIL ,241918,241918,14805403
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_STV ,260129,260129,15919909
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_AMD ,278089,278089,17019027
3, 1-MOTHERHUB_KOL-32   , end                   , -               ,278089, undef           ,17019027
,,,,,,
4, 1-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0
4, 1-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_BLR ,0,0,0
4, 1-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_BLR ,76131,76131,4659198
4, 1-MOTHERHUB_BIL-32   , end                   , -               ,76131, undef           ,4659198
,,,,,,
5, 8-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0
5, 8-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_AMD ,0,0,0
