Type,key,center_lat,center_long,dest_lat,dest_long,src,destination,Ready_time,Load,Delivery_time
Shipment,S-3_ADMCBONE_CHN_0,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,14400,2,133200
Shipment,S-3_ADMCBONE_CHN_1,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,18000,1,136800
Shipment,S-3_ADMCBONE_CHN_2,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,21600,1,140400
Shipment,S-3_ADMCBONE_CHN_3,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,25200,1,144000
Shipment,S-3_ADMCBONE_CHN_4,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,28800,1,147600
Shipment,S-3_ADMCBONE_CHN_5,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,32400,1,151200
Shipment,S-3_ADMCBONE_CHN_6,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,36000,1,154800
Shipment,S-3_ADMCBONE_CHN_7,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,39600,1,158400
Shipment,S-3_ADMCBONE_CHN_8,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,43200,2,162000
Shipment,S-3_ADMCBONE_CHN_9,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,46800,3,165600
Shipment,S-3_ADMCBONE_CHN_10,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,50400,3,169200
Shipment,S-3_ADMCBONE_CHN_11,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,54000,3,172800
Shipment,S-3_ADMCBONE_CHN_12,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,57600,2,176400
Shipment,S-3_ADMCBONE_CHN_13,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,61200,3,180000
Shipment,S-3_ADMCBONE_CHN_14,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,64800,3,183600
Shipment,S-3_ADMCBONE_CHN_15,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,68400,3,187200
Shipment,S-3_ADMCBONE_CHN_16,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,72000,3,190800
Shipment,S-3_ADMCBONE_CHN_17,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,75600,3,194400
Shipment,S-3_ADMCBONE_CHN_18,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,79200,3,198000
Shipment,S-3_ADMCBONE_CHN_19,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,82800,3,201600
Shipment,S-3_ADMCBONE_CHN_20,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,86400,3,205200
Shipment,S-3_ADMCBONE_CHN_21,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,90000,3,208800
Shipment,S-3_ADMCBONE_CHN_22,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,93600,3,212400
Shipment,S-3_ADMCBONE_CHN_23,12.1907895,77.74146734,13.047895,80.254899,S-3,ADMCBONE_CHN,97200,2,216000
Shipment,S-3_AirportblrHub_BLR_0,12.1907895,77.74146734,12.9573002,77.6625524,S-3,AirportblrHub_BLR,14400,24,36000
Shipment,S-3_AirportblrHub_BLR_1,12.1907895,77.74146734,12.9573002,77.6625524,S-3,AirportblrHub_BLR,18000,12,39600
Shipment,S-3_AirportblrHub_BLR_2,12.1907895,77.74146734,12.9573002,77.6625524,S-3,AirportblrHub_BLR,21600,7,43200
Shipment,S-3_AirportblrHub_BLR_3,12.1907895,77.74146734,12.9573002,77.6625524,S-3,AirportblrHub_BLR,25200,4,46800
Shipment,S-3_AirportblrHub_BLR_4,12.1907895,77.74146734,12.9573002,77.6625524,S-3,AirportblrHub_BLR,28800,3,50400
