Type,key,center_lat,center_long,dest_lat,dest_long,src,destination,Ready_time,Load,Delivery_time,D2
Shipment,S-1_AgartalaHub_IXA_0,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,14400,24,133200,223200
Shipment,S-1_AgartalaHub_IXA_1,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,18000,12,136800,223200
Shipment,S-1_AgartalaHub_IXA_2,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,21600,7,140400,223200
Shipment,S-1_AgartalaHub_IXA_3,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,25200,4,144000,223200
Shipment,S-1_AgartalaHub_IXA_4,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,28800,3,147600,223200
Shipment,S-1_AgartalaHub_IXA_5,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,32400,4,151200,223200
Shipment,S-1_AgartalaHub_IXA_6,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,36000,8,154800,223200
Shipment,S-1_AgartalaHub_IXA_7,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,39600,16,158400,223200
Shipment,S-1_AgartalaHub_IXA_8,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,43200,35,162000,223200
Shipment,S-1_AgartalaHub_IXA_9,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,46800,48,165600,223200
Shipment,S-1_AgartalaHub_IXA_10,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,50400,46,169200,223200
Shipment,S-1_AgartalaHub_IXA_11,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,54000,53,172800,223200
Shipment,S-1_AgartalaHub_IXA_12,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,57600,45,176400,223200
Shipment,S-1_AgartalaHub_IXA_13,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,61200,49,180000,223200
Shipment,S-1_AgartalaHub_IXA_14,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,64800,51,183600,223200
Shipment,S-1_AgartalaHub_IXA_15,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,68400,47,187200,223200
Shipment,S-1_AgartalaHub_IXA_16,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,72000,46,190800,223200
Shipment,S-1_AgartalaHub_IXA_17,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,75600,49,194400,223200
Shipment,S-1_AgartalaHub_IXA_18,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,79200,60,198000,223200
Shipment,S-1_AgartalaHub_IXA_19,26.23113008,92.08988497,23.8315,91.2868,S-1,AgartalaHub_IXA,82800,60,201600,223200
