 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 9-MOTHERHUB_AMD-22   , start                 , -               , undef           ,0,0
1, 9-MOTHERHUB_AMD-22   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_KOL ,0,0,0
1, 9-MOTHERHUB_AMD-22   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_KOL ,16069,16069,6810044
1, 9-MOTHERHUB_AMD-22   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_KOL ,142104,142104,60223853
1, 9-MOTHERHUB_AMD-22   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_KOL ,142104,142104,60223853
1, 9-MOTHERHUB_AMD-22   , end                   , -               ,142104, undef           ,60223853
,,,,,,
2, 6-MOTHERHUB_KOL-32   , start                 , -               , undef           ,0,0
2, 6-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_AMD ,0,0,0
2, 6-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_STV ,0,0,0
2, 6-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_MED ,0,0,0
2, 6-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_BLR ,0,0,0
2, 6-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_BIL ,0,0,0
2, 6-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_CHN ,0,0,0
2, 6-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_CHN ,141872,141872,64333558
2, 6-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_AMD ,141872,141872,64333558
2, 6-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_STV ,159831,159831,72477498
