Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_start_time,Delivery_end_time
Shipment,MotherHub_AMD_ajwahub_bdq,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,86400,836,104400,198000
Shipment,MotherHub_AMD_akotahub_bdq,22.8978044,72.5902141,22.3058105,73.1799038,MotherHub_AMD,akotahub_bdq,86400,854,97200,198000
Shipment,MotherHub_AMD_anandhub_amd,22.8978044,72.5902141,22.556447,72.963939,MotherHub_AMD,anandhub_amd,86400,477,93600,208800
Shipment,MotherHub_AMD_bharuchhub_brh,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,86400,883,100800,208800
Shipment,MotherHub_AMD_bhavnagarhub_bvg,22.8978044,72.5902141,21.7619982,72.1540159,MotherHub_AMD,bhavnagarhub_bvg,86400,476,100800,208800
Shipment,MotherHub_AMD_bhujhub_bhj,22.8978044,72.5902141,23.242865,69.6398817,MotherHub_AMD,bhujhub_bhj,86400,312,111600,216000
Shipment,MotherHub_AMD_gandhidhamhub_gdm,22.8978044,72.5902141,23.0803778,70.0947859,MotherHub_AMD,gandhidhamhub_gdm,86400,560,104400,208800
Shipment,MotherHub_AMD_gandhinagarhub_gan,22.8978044,72.5902141,23.2019832,72.6147011,MotherHub_AMD,gandhinagarhub_gan,86400,769,90000,208800
Shipment,MotherHub_AMD_godhrahub_ghr,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,86400,210,117000,208800
Shipment,MotherHub_AMD_himmatnagarhub_hmt,22.8978044,72.5902141,23.6036,72.9639,MotherHub_AMD,himmatnagarhub_hmt,86400,206,97200,216000
Shipment,MotherHub_AMD_jamnagarhub_qgr,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,86400,751,108000,208800
Shipment,MotherHub_AMD_junagadhhub_ixk,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,junagadhhub_ixk,86400,341,108000,208800
Shipment,MotherHub_AMD_kalawadroadhub_raj,22.8978044,72.5902141,22.2850443,70.7723721,MotherHub_AMD,kalawadroadhub_raj,86400,1532,97200,205200
Shipment,MotherHub_AMD_mehsanahub_mhn,22.8978044,72.5902141,23.5972549,72.3793129,MotherHub_AMD,mehsanahub_mhn,86400,436,111600,208800
Shipment,MotherHub_AMD_morbihub_mrb,22.8978044,72.5902141,22.8185931,70.821625,MotherHub_AMD,morbihub_mrb,86400,274,108000,208800
Shipment,MotherHub_AMD_mundrahub_mud,22.8978044,72.5902141,22.8422969,69.7320994,MotherHub_AMD,mundrahub_mud,86400,242,117000,216000
Shipment,MotherHub_AMD_nadiadhub_amd,22.8978044,72.5902141,22.6916,72.8634,MotherHub_AMD,nadiadhub_amd,86400,159,90000,208800
Shipment,MotherHub_AMD_palanpurhub_pln,22.8978044,72.5902141,24.1743804,72.4089852,MotherHub_AMD,palanpurhub_pln,86400,269,118800,208800
Shipment,MotherHub_AMD_porbandarhub_por,22.8978044,72.5902141,21.6468447,69.6345955,MotherHub_AMD,porbandarhub_por,72000,198,118800,216000
Shipment,MotherHub_AMD_surendranagarhub_sdr,22.8978044,72.5902141,22.7196472,71.6608486,MotherHub_AMD,surendranagarhub_sdr,86400,211,95400,208800
Shipment,MotherHub_AMD_unahub_una,22.8978044,72.5902141,20.8235,71.0409,MotherHub_AMD,unahub_una,86400,233,118800,216000
Shipment,MotherHub_AMD_veravalhub_vrv,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,veravalhub_vrv,86400,182,118800,208800
Shipment,MotherHub_AMD_MotherHub_STV,22.8978044,72.5902141,21.0895987,72.900005,MotherHub_AMD,MotherHub_STV,86400,41,86400,208800
Shipment,MotherHub_AMD_MotherHub_BIL,22.8978044,72.5902141,19.2374987,73.0362352,MotherHub_AMD,MotherHub_BIL,72000,826,86400,216000
