Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_start_time,Delivery_end_time,time,hour,t,Load
Shipment,MotherHub_AMD_ajwahub_bdq_3,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,10800,43,104400,111600,4.037639988,3,0.051,836
Shipment,MotherHub_AMD_ajwahub_bdq_7,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,25200,29,104400,111600,4.037639988,7,0.034,836
Shipment,MotherHub_AMD_ajwahub_bdq_11,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,39600,171,104400,111600,4.037639988,11,0.204,836
Shipment,MotherHub_AMD_ajwahub_bdq_15,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,54000,181,104400,111600,4.037639988,15,0.216,836
Shipment,MotherHub_AMD_ajwahub_bdq_19,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,68400,203,104400,111600,4.037639988,19,0.242,836
Shipment,MotherHub_AMD_ajwahub_bdq_23,22.8978044,72.5902141,22.3116149,73.238837,MotherHub_AMD,ajwahub_bdq,82800,212,104400,111600,4.037639988,23,0.253,836
Shipment,MotherHub_AMD_bharuchhub_brh_3,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,10800,46,100800,122400,5.948248565,3,0.051,883
Shipment,MotherHub_AMD_bharuchhub_brh_7,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,25200,31,100800,122400,5.948248565,7,0.034,883
Shipment,MotherHub_AMD_bharuchhub_brh_11,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,39600,181,100800,122400,5.948248565,11,0.204,883
Shipment,MotherHub_AMD_bharuchhub_brh_15,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,54000,191,100800,122400,5.948248565,15,0.216,883
Shipment,MotherHub_AMD_bharuchhub_brh_19,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,68400,214,100800,122400,5.948248565,19,0.242,883
Shipment,MotherHub_AMD_bharuchhub_brh_23,22.8978044,72.5902141,21.718804,72.985729,MotherHub_AMD,bharuchhub_brh,82800,224,100800,122400,5.948248565,23,0.253,883
Shipment,MotherHub_AMD_bhavnagarhub_bvg_3,22.8978044,72.5902141,21.7619982,72.1540159,MotherHub_AMD,bhavnagarhub_bvg,10800,25,100800,122400,5.807878558,3,0.051,476
Shipment,MotherHub_AMD_bhavnagarhub_bvg_7,22.8978044,72.5902141,21.7619982,72.1540159,MotherHub_AMD,bhavnagarhub_bvg,25200,17,100800,122400,5.807878558,7,0.034,476
Shipment,MotherHub_AMD_bhavnagarhub_bvg_11,22.8978044,72.5902141,21.7619982,72.1540159,MotherHub_AMD,bhavnagarhub_bvg,39600,98,100800,122400,5.807878558,11,0.204,476
Shipment,MotherHub_AMD_bhavnagarhub_bvg_15,22.8978044,72.5902141,21.7619982,72.1540159,MotherHub_AMD,bhavnagarhub_bvg,54000,103,100800,122400,5.807878558,15,0.216,476
Shipment,MotherHub_AMD_bhavnagarhub_bvg_19,22.8978044,72.5902141,21.7619982,72.1540159,MotherHub_AMD,bhavnagarhub_bvg,68400,116,100800,122400,5.807878558,19,0.242,476
Shipment,MotherHub_AMD_bhavnagarhub_bvg_23,22.8978044,72.5902141,21.7619982,72.1540159,MotherHub_AMD,bhavnagarhub_bvg,82800,121,100800,122400,5.807878558,23,0.253,476
Shipment,MotherHub_AMD_bhujhub_bhj_3,22.8978044,72.5902141,23.242865,69.6398817,MotherHub_AMD,bhujhub_bhj,10800,16,111600,129600,13.18409377,3,0.051,312
Shipment,MotherHub_AMD_bhujhub_bhj_7,22.8978044,72.5902141,23.242865,69.6398817,MotherHub_AMD,bhujhub_bhj,25200,11,111600,129600,13.18409377,7,0.034,312
Shipment,MotherHub_AMD_bhujhub_bhj_11,22.8978044,72.5902141,23.242865,69.6398817,MotherHub_AMD,bhujhub_bhj,39600,64,111600,129600,13.18409377,11,0.204,312
Shipment,MotherHub_AMD_bhujhub_bhj_15,22.8978044,72.5902141,23.242865,69.6398817,MotherHub_AMD,bhujhub_bhj,54000,68,111600,129600,13.18409377,15,0.216,312
Shipment,MotherHub_AMD_bhujhub_bhj_19,22.8978044,72.5902141,23.242865,69.6398817,MotherHub_AMD,bhujhub_bhj,68400,76,111600,129600,13.18409377,19,0.242,312
Shipment,MotherHub_AMD_bhujhub_bhj_23,22.8978044,72.5902141,23.242865,69.6398817,MotherHub_AMD,bhujhub_bhj,82800,79,111600,129600,13.18409377,23,0.253,312
Shipment,MotherHub_AMD_gandhidhamhub_gdm_3,22.8978044,72.5902141,23.0803778,70.0947859,MotherHub_AMD,gandhidhamhub_gdm,10800,29,104400,122400,11.10388842,3,0.051,560
Shipment,MotherHub_AMD_gandhidhamhub_gdm_7,22.8978044,72.5902141,23.0803778,70.0947859,MotherHub_AMD,gandhidhamhub_gdm,25200,20,104400,122400,11.10388842,7,0.034,560
Shipment,MotherHub_AMD_gandhidhamhub_gdm_11,22.8978044,72.5902141,23.0803778,70.0947859,MotherHub_AMD,gandhidhamhub_gdm,39600,115,104400,122400,11.10388842,11,0.204,560
Shipment,MotherHub_AMD_gandhidhamhub_gdm_15,22.8978044,72.5902141,23.0803778,70.0947859,MotherHub_AMD,gandhidhamhub_gdm,54000,121,104400,122400,11.10388842,15,0.216,560
Shipment,MotherHub_AMD_gandhidhamhub_gdm_19,22.8978044,72.5902141,23.0803778,70.0947859,MotherHub_AMD,gandhidhamhub_gdm,68400,136,104400,122400,11.10388842,19,0.242,560
Shipment,MotherHub_AMD_gandhidhamhub_gdm_23,22.8978044,72.5902141,23.0803778,70.0947859,MotherHub_AMD,gandhidhamhub_gdm,82800,142,104400,122400,11.10388842,23,0.253,560
Shipment,MotherHub_AMD_godhrahub_ghr_3,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,10800,11,117000,122400,5.216633622,3,0.051,210
Shipment,MotherHub_AMD_godhrahub_ghr_7,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,25200,8,117000,122400,5.216633622,7,0.034,210
Shipment,MotherHub_AMD_godhrahub_ghr_11,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,39600,43,117000,122400,5.216633622,11,0.204,210
Shipment,MotherHub_AMD_godhrahub_ghr_15,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,54000,46,117000,122400,5.216633622,15,0.216,210
Shipment,MotherHub_AMD_godhrahub_ghr_19,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,68400,51,117000,122400,5.216633622,19,0.242,210
Shipment,MotherHub_AMD_godhrahub_ghr_23,22.8978044,72.5902141,22.84282,73.76371,MotherHub_AMD,godhrahub_ghr,82800,54,117000,122400,5.216633622,23,0.253,210
Shipment,MotherHub_AMD_jamnagarhub_qgr_3,22.8978044,72.5902141,22.468992,70.0412043,MotherHub_AMD,jamnagarhub_qgr,10800,39,108000,122400,11.51888302,3,0.051,751
