 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 5-MotherHub_AMD-14   , start                 , -               , undef           ,0,0
1, 5-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-MehsanaHub_MHN ,0,0,0
1, 5-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-GandhiNagarHub_GAN ,0,0,0
1, 5-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-PalanpurHub_PLN ,0,0,0
1, 5-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-GandhiNagarHub_GAN ,2677,2677,1106608
1, 5-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-MehsanaHub_MHN ,6630,6630,2740886
1, 5-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-PalanpurHub_PLN ,11701,11701,4837054
1, 5-MotherHub_AMD-14   , end                   , -               ,11701, undef           ,4837054
,,,,,,
2, 7-MotherHub_AMD-14   , start                 , -               , undef           ,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-AnandHub_AMD ,0,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-BhavnagarHub_BVG ,0,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-AkotaHub_BDQ ,0,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-AjwaHub_BDQ ,0,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-BharuchHub_BRH ,0,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-NadiadHub_AMD ,0,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-GodhraHub_GHR ,0,0,0
2, 7-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-SilvassaHub_AMD ,0,0,0
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-NadiadHub_AMD ,2590,2590,1070766
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-AnandHub_AMD ,4260,4260,1761042
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-GodhraHub_GHR ,11206,11206,4632468
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-AjwaHub_BDQ ,16341,16341,6755173
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-AkotaHub_BDQ ,18098,18098,7481374
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-BharuchHub_BRH ,23487,23487,9708976
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-BhavnagarHub_BVG ,30278,30278,12516238
2, 7-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-SilvassaHub_AMD ,45074,45074,18632502
2, 7-MotherHub_AMD-14   , end                   , -               ,45074, undef           ,18632502
,,,,,,
3, 9-MotherHub_AMD-14   , start                 , -               , undef           ,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-PorbandarHub_POR ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-MundraHub_MUD ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-JunagadhHub_IXK ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-MorbiHub_MRB ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-SurendraNagarHub_SDR ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-KalawadRoadHub_RAJ ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-GandhidhamHub_GDM ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-BhujHub_BHJ ,0,0,0
3, 9-MotherHub_AMD-14   , pickupShipment        , MotherHub_AMD-JamnagarHub_QGR ,0,0,0
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-SurendraNagarHub_SDR ,7680,7680,3174639
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-MorbiHub_MRB ,14527,14527,6004987
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-KalawadRoadHub_RAJ ,19226,19226,7947765
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-JunagadhHub_IXK ,26404,26404,10915007
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-PorbandarHub_POR ,33191,33191,13720553
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-JamnagarHub_QGR ,41129,41129,17001779
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-MundraHub_MUD ,45252,45252,18706301
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-BhujHub_BHJ ,48846,48846,20191847
3, 9-MotherHub_AMD-14   , deliverShipment       , MotherHub_AMD-GandhidhamHub_GDM ,52784,52784,21819739
3, 9-MotherHub_AMD-14   , end                   , -               ,52784, undef           ,21819739
