type,Concat,Lat Source,Long Source,Lat Dest ,Long Dest ,Source,Dest ,Ready Time,Load
Shipment,MotherHub_BAM-AmbalaHub_UMB,28.545321,77.02914,30.334201,76.877595,MotherHub_BAM,AmbalaHub_UMB,0,95
Shipment,MotherHub_BAM-AmritsarHub_ATQ,28.545321,77.02914,31.651302,74.864281,MotherHub_BAM,AmritsarHub_ATQ,0,260
Shipment,MotherHub_BAM-BhatindaHub_BUP,28.545321,77.02914,30.194219,74.9632534,MotherHub_BAM,BhatindaHub_BUP,0,78
Shipment,MotherHub_BAM-ChandigarhHub_DEL,28.545321,77.02914,30.7089676,76.8031809,MotherHub_BAM,ChandigarhHub_DEL,0,198
Shipment,MotherHub_BAM-GobindgarhHub_LUH,28.545321,77.02914,30.659566,76.300198,MotherHub_BAM,GobindgarhHub_LUH,0,49
Shipment,MotherHub_BAM-GurdaspurHub_GDS,28.545321,77.02914,32.03059,75.392885,MotherHub_BAM,GurdaspurHub_GDS,0,45
Shipment,MotherHub_BAM-HoshiarpurHub_HAP,28.545321,77.02914,31.5199815,75.9261826,MotherHub_BAM,HoshiarpurHub_HAP,0,42
Shipment,MotherHub_BAM-JalandharHub_JLR,28.545321,77.02914,31.316522,75.6339017,MotherHub_BAM,JalandharHub_JLR,0,211
Shipment,MotherHub_BAM-LudhianaHub_LUH,28.545321,77.02914,30.881086,75.862738,MotherHub_BAM,LudhianaHub_LUH,0,360
Shipment,MotherHub_BAM-MohaliHub_IXC,28.545321,77.02914,30.711382,76.692488,MotherHub_BAM,MohaliHub_IXC,0,557
Shipment,MotherHub_BAM-PanchkulaHub_PKL,28.545321,77.02914,30.683538,76.830649,MotherHub_BAM,PanchkulaHub_PKL,0,102
Shipment,MotherHub_BAM-PatialaHub_PTA,28.545321,77.02914,30.335038,76.4062069,MotherHub_BAM,PatialaHub_PTA,0,189
Shipment,MotherHub_BAM-RupnagarHub_RUP,28.545321,77.02914,30.952567,76.506966,MotherHub_BAM,RupnagarHub_RUP,0,45
Shipment,MotherHub_BAM-ShimlaHub_SHM,28.545321,77.02914,31.074597,77.182889,MotherHub_BAM,ShimlaHub_SHM,0,56
Shipment,MotherHub_BAM-AliganjHub_LKO,28.545321,77.02914,26.895454,80.94361,MotherHub_BAM,AliganjHub_LKO,0,179
Shipment,MotherHub_BAM-AllahabadHub_ALD,28.545321,77.02914,25.462258,81.824071,MotherHub_BAM,AllahabadHub_ALD,0,191
Shipment,MotherHub_BAM-AzamgarhHub_AZM,28.545321,77.02914,26.073757,83.170997,MotherHub_BAM,AzamgarhHub_AZM,0,35
Shipment,MotherHub_BAM-GeorgeTownHub_ALD,28.545321,77.02914,25.449615,81.859503,MotherHub_BAM,GeorgeTownHub_ALD,0,134
Shipment,MotherHub_BAM-GumtiHub_KNU,28.545321,77.02914,26.449935,80.331861,MotherHub_BAM,GumtiHub_KNU,0,354
Shipment,MotherHub_BAM-MedicalRoadHub_GOP,28.545321,77.02914,26.808722,83.3955019,MotherHub_BAM,MedicalRoadHub_GOP,0,167
Shipment,MotherHub_BAM-MotherHub_LKO,28.545321,77.02914,26.755912,80.910939,MotherHub_BAM,MotherHub_LKO,0,722
Shipment,MotherHub_BAM-OrderlyBazarHub_VNS,28.545321,77.02914,25.352635,82.983728,MotherHub_BAM,OrderlyBazarHub_VNS,0,170
