 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 4-MotherHub_BAM-24   , start                 , -               , undef           ,0,0
1, 4-MotherHub_BAM-24   , pickupShipment        , MotherHub_BAM-AligarhHub_ALG ,0,0,0
1, 4-MotherHub_BAM-24   , pickupShipment        , MotherHub_BAM-AgraHub_AGR ,0,0,0
1, 4-MotherHub_BAM-24   , pickupShipment        , MotherHub_BAM-JhansiHub_JHS ,0,0,0
1, 4-MotherHub_BAM-24   , pickupShipment        , MotherHub_BAM-FirozabadHub_FIR ,0,0,0
1, 4-MotherHub_BAM-24   , pickupShipment        , MotherHub_BAM-PalwalHub_PLW ,0,0,0
1, 4-MotherHub_BAM-24   , pickupShipment        , MotherHub_BAM-MeerutHub_MEE ,0,0,0
1, 4-MotherHub_BAM-24   , pickupShipment        , MotherHub_BAM-MathuraHub_MTH ,0,0,0
1, 4-MotherHub_BAM-24   , deliverShipment       , MotherHub_BAM-MeerutHub_MEE ,1895,1895,859419
1, 4-MotherHub_BAM-24   , deliverShipment       , MotherHub_BAM-PalwalHub_PLW ,5287,5287,2397276
1, 4-MotherHub_BAM-24   , deliverShipment       , MotherHub_BAM-AligarhHub_ALG ,11162,11162,5061124
1, 4-MotherHub_BAM-24   , deliverShipment       , MotherHub_BAM-MathuraHub_MTH ,15667,15667,7103771
1, 4-MotherHub_BAM-24   , deliverShipment       , MotherHub_BAM-AgraHub_AGR ,19172,19172,8692934
1, 4-MotherHub_BAM-24   , deliverShipment       , MotherHub_BAM-FirozabadHub_FIR ,22501,22501,10202252
1, 4-MotherHub_BAM-24   , deliverShipment       , MotherHub_BAM-JhansiHub_JHS ,37588,37588,17042783
1, 4-MotherHub_BAM-24   , end                   , -               ,37588, undef           ,17042783
,,,,,,
2, 4-MotherHub_BAM-14   , start                 , -               , undef           ,0,0
2, 4-MotherHub_BAM-14   , pickupShipment        , MotherHub_BAM-MuzaffarnagarHub_MFN ,0,0,0
2, 4-MotherHub_BAM-14   , pickupShipment        , MotherHub_BAM-AmritsarHub_ATQ ,0,0,0
2, 4-MotherHub_BAM-14   , pickupShipment        , MotherHub_BAM-HaridwarHub_HRD ,0,0,0
