Type,Key,src_lat,src_long,dest_lat,dest_long,MH,DH,Ready_time,Load,dist,time,Ready_Time_12,Del_time_12
Shipment,Motherhub_BIL-AhmedNagarHub_AHN,19.2374987,73.0362352,19.120066,74.748246,Motherhub_BIL,AhmedNagarHub_AHN,10,569,225,5.625,86400,118800
Shipment,Motherhub_BIL-AjwaHub_BDQ,19.2374987,73.0362352,22.3116149,73.238837,Motherhub_BIL,AjwaHub_BDQ,10,605,405,10.125,104400,205200
Shipment,Motherhub_BIL-AkolaHub_AKD,19.2374987,73.0362352,20.6881142,77.0033407,Motherhub_BIL,AkolaHub_AKD,10,337,538,13.45,104400,205200
Shipment,Motherhub_BIL-AkotaHub_BDQ,19.2374987,73.0362352,22.3058105,73.1799038,Motherhub_BIL,AkotaHub_BDQ,10,750,403,10.075,104400,205200
Shipment,Motherhub_BIL-AmravatiHub_AMI,19.2374987,73.0362352,20.9246248,77.7514448,Motherhub_BIL,AmravatiHub_AMI,10,475,623,15.575,104400,205200
Shipment,Motherhub_BIL-AnandHub_AMD,19.2374987,73.0362352,22.556447,72.963939,Motherhub_BIL,AnandHub_AMD,10,425,449,11.225,104400,205200
Shipment,Motherhub_BIL-AurangabadHub_IXU,19.2374987,73.0362352,19.8668866,75.3479589,Motherhub_BIL,AurangabadHub_IXU,10,579,305,7.625,86400,118800
Shipment,Motherhub_BIL-BaramatiHub_BRM,19.2374987,73.0362352,18.1803202,74.6079639,Motherhub_BIL,BaramatiHub_BRM,10,314,255,6.375,86400,118800
Shipment,Motherhub_BIL-BeedHub_BED,19.2374987,73.0362352,18.9861908,75.7443401,Motherhub_BIL,BeedHub_BED,10,238,351,8.775,86400,118800
Shipment,Motherhub_BIL-BharuchHub_BRH,19.2374987,73.0362352,21.718804,72.985729,Motherhub_BIL,BharuchHub_BRH,10,792,326,8.15,86400,118800
Shipment,Motherhub_BIL-BhusawalHub_JGO,19.2374987,73.0362352,21.0455,75.8011,Motherhub_BIL,BhusawalHub_JGO,10,316,412,10.3,104400,205200
Shipment,Motherhub_BIL-CollegeRoadHub_NSK,19.2374987,73.0362352,20.0012664,73.7626319,Motherhub_BIL,CollegeRoadHub_NSK,10,564,138,3.45,86400,118800
Shipment,Motherhub_BIL-CornerRoadHub_IXU,19.2374987,73.0362352,19.884946,75.318143,Motherhub_BIL,CornerRoadHub_IXU,10,1136,302,7.55,86400,118800
Shipment,Motherhub_BIL-DhuleHub_DHL,19.2374987,73.0362352,20.8967048,74.7634276,Motherhub_BIL,DhuleHub_DHL,10,266,293,7.325,86400,118800
Shipment,Motherhub_BIL-IchalkaranjiHub_KHL,19.2374987,73.0362352,16.687849,74.473834,Motherhub_BIL,IchalkaranjiHub_KHL,10,309,386,9.65,104400,205200
Shipment,Motherhub_BIL-IslampurHub_SNG,19.2374987,73.0362352,26.2546,88.1974,Motherhub_BIL,IslampurHub_SNG,10,233,2282,57.05,104400,205200
Shipment,Motherhub_BIL-JalgaonHub_JGO,19.2374987,73.0362352,21.0061599,75.5807333,Motherhub_BIL,JalgaonHub_JGO,10,444,384,9.6,104400,205200
Shipment,Motherhub_BIL-JalnaHub_JLN,19.2374987,73.0362352,19.8236752,75.8799406,Motherhub_BIL,JalnaHub_JLN,10,241,363,9.075,104400,205200
Shipment,Motherhub_BIL-KaradHub_KRD,19.2374987,73.0362352,17.2808646,74.1723004,Motherhub_BIL,KaradHub_KRD,10,353,305,7.625,86400,118800
Shipment,Motherhub_BIL-KolhapurHub_KHL,19.2374987,73.0362352,16.700753,74.2376312,Motherhub_BIL,KolhapurHub_KHL,10,799,379,9.475,104400,205200
Shipment,Motherhub_BIL-KopargaonHub_KPG,19.2374987,73.0362352,19.8917,74.4791,Motherhub_BIL,KopargaonHub_KPG,10,31,211,5.275,86400,118800
