 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 3-MotherHub_BLR-22   , start                 , -               , undef           ,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-TuticorinHub_TUT ,0,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KaraikudiHub_KRK ,0,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-PudukottaiHub_PDK ,0,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-TrichyHub_TRZ ,0,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-NagercoilHub_NGL ,0,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ThirunelveliHub_TVL ,0,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-MaduraiHub_IXM ,0,0,0
1, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-SivakasiHub_SVK ,0,0,0
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-TrichyHub_TRZ ,20362,72000,8629403
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-PudukottaiHub_PDK ,76002,76002,10325541
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KaraikudiHub_KRK ,79389,79389,11760861
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-MaduraiHub_IXM ,84110,84110,13761528
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-SivakasiHub_SVK ,88904,88904,15793544
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-TuticorinHub_TUT ,95370,95370,18533788
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ThirunelveliHub_TVL ,99042,99042,20089727
1, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-NagercoilHub_NGL ,104413,104413,22365973
1, 3-MotherHub_BLR-22   , end                   , -               ,104413, undef           ,22365973
,,,,,,
2, 4-MotherHub_BLR-22   , start                 , -               , undef           ,0,0
2, 4-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ShimogaHub_SMG ,0,0,0
2, 4-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-TumkurHub_TKR ,0,0,0
2, 4-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-HassanHub_HSN ,0,0,0
2, 4-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-MangaloreHub_IXE ,0,0,0
2, 4-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-SurathkalHub_IXE ,0,0,0
2, 4-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ManipalHub_MPL ,0,0,0
2, 4-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-TumkurHub_TKR ,6822,72000,2891380
2, 4-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-HassanHub_HSN ,81165,81165,6775648
2, 4-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ShimogaHub_SMG ,90710,90710,10820816
2, 4-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ManipalHub_MPL ,99205,99205,14421012
2, 4-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-SurathkalHub_IXE ,102410,102410,15779089
2, 4-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-MangaloreHub_IXE ,103072,103072,16059828
2, 4-MotherHub_BLR-22   , end                   , -               ,103072, undef           ,16059828
,,,,,,
3, 7-MotherHub_BLR-22   , start                 , -               , undef           ,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ThanjavurHub_TNJ ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ChittoorHub_COR ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KanchipuramHub_KCH ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ThiruvallurHub_TRL ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ChidambaramHub_CDM ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-CuddaloreHub_CDL ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KumbakonamHub_TNJ ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-VelloreHub_VLR ,0,0,0
3, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-LawspetHub_PDY ,0,0,0
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ChittoorHub_COR ,10929,72000,4631563
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-VelloreHub_VLR ,74138,74138,5537487
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ThiruvallurHub_TRL ,80756,80756,8342279
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KanchipuramHub_KCH ,83792,83792,9628955
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-LawspetHub_PDY ,91498,91498,12894913
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-CuddaloreHub_CDL ,93541,93541,13760467
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ChidambaramHub_CDM ,96618,96618,15064507
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KumbakonamHub_TNJ ,101133,101133,16978186
3, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ThanjavurHub_TNJ ,104054,104054,18216267
3, 7-MotherHub_BLR-22   , end                   , -               ,104054, undef           ,18216267
,,,,,,
4, 5-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
4, 5-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TiruvallaHub_TIR ,0,0,0
4, 5-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KayamkulamHub_KKM ,0,0,0
4, 5-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KollamHub_QLN ,0,0,0
4, 5-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TrivandrumHub_TRV ,0,0,0
4, 5-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PalaHub_PLA ,0,0,0
4, 5-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KottayamHub_KTY ,0,0,0
4, 5-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-ThodupuzhaHub_THP ,0,0,0
4, 5-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-ThodupuzhaHub_THP ,32073,72000,14543695
4, 5-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PalaHub_PLA ,74002,74002,15451349
4, 5-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KottayamHub_KTY ,75771,75771,16253896
4, 5-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TiruvallaHub_TIR ,77930,77930,17232700
4, 5-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KayamkulamHub_KKM ,79518,79518,17953020
4, 5-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TrivandrumHub_TRV ,82927,82927,19498636
4, 5-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KollamHub_QLN ,82987,82987,19525871
4, 5-MotherHub_BLR-32   , end                   , -               ,82987, undef           ,19525871
,,,,,,
5, 6-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-OotyHub_OTY ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MalaPuramHub_MLP ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MandyaHub_MNY ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-JaydevNagarHub_MYS ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MysoreHub_MYS ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KunnamangalamHub_KNM ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KannurHub_KAN ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-CalicutHub_CCJ ,0,0,0
5, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-ThalasseryHub_THL ,0,0,0
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MandyaHub_MNY ,10044,72000,4554653
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-JaydevNagarHub_MYS ,75016,75016,5922378
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MysoreHub_MYS ,75683,75683,6224743
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-OotyHub_OTY ,84314,84314,10138752
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MalaPuramHub_MLP ,90882,90882,13116887
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KunnamangalamHub_KNM ,93276,93276,14202459
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-CalicutHub_CCJ ,94319,94319,14675385
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-ThalasseryHub_THL ,99906,99906,17208970
5, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KannurHub_KAN ,101864,101864,18096780
5, 6-MotherHub_BLR-32   , end                   , -               ,101864, undef           ,18096780
,,,,,,
6, 8-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
6, 8-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PalakkadHub_PKD ,0,0,0
6, 8-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TirupurHub_TPR ,0,0,0
6, 8-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TripunithuraHub_TRT ,0,0,0
6, 8-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-AluvaHub_ALU ,0,0,0
6, 8-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KochiHub_COK ,0,0,0
6, 8-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-ErnakulamHub_COK ,0,0,0
6, 8-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PollachiHub_CJB ,0,0,0
6, 8-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TirupurHub_TPR ,19113,72000,8666951
6, 8-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PollachiHub_CJB ,77160,77160,11006701
6, 8-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PalakkadHub_PKD ,80733,80733,12626875
6, 8-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-AluvaHub_ALU ,87888,87888,15871544
6, 8-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-ErnakulamHub_COK ,89014,89014,16382350
6, 8-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KochiHub_COK ,89552,89552,16626111
6, 8-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TripunithuraHub_TRT ,90194,90194,16917222
6, 8-MotherHub_BLR-32   , end                   , -               ,90194, undef           ,16917222
,,,,,,
7, 9-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PNPalayamHub_CJB ,0,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-SapthagiriHub_TPT ,0,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KovaipudurHub_KVP ,0,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-AvinashiRdHub_CJB ,0,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-IrinjalakudaHub_IJK ,0,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-AlleppeyHub_ALP ,0,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TrissurHub_TCR ,0,0,0
7, 9-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PeelameduHub_CJB ,0,0,0
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-SapthagiriHub_TPT ,19279,72000,8742391
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PeelameduHub_CJB ,74357,74357,9811050
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PNPalayamHub_CJB ,75815,75815,10472337
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KovaipudurHub_KVP ,77219,77219,11109231
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-AvinashiRdHub_CJB ,77439,77439,11208878
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-IrinjalakudaHub_IJK ,87097,87097,15588182
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TrissurHub_TCR ,87097,87097,15588182
7, 9-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-AlleppeyHub_ALP ,95573,95573,19431948
7, 9-MotherHub_BLR-32   , end                   , -               ,95573, undef           ,19431948
,,,,,,
8, 1-MotherHub_BLR-14   , start                 , -               , undef           ,0,0
8, 1-MotherHub_BLR-14   , pickupShipment        , MotherHub_BLR-PallipalayamHub_ERD ,0,0,0
