Type,key,zonal_del_src_lat,zonal_del_src_long,zonal_del_dest_lat,zonal_del_dest_long,zonal_del_src,zonal_del_dest,modified_ready_time,load
Shipment,MOTHERHUB_BLR-ANANTHAPURHUB_ATP-10.26444444,12.9842798,77.8242648,14.6683137,77.5819832,MOTHERHUB_BLR,ANANTHAPURHUB_ATP,36952,22
Shipment,MOTHERHUB_BLR-ANANTHAPURHUB_ATP-18.75472222,12.9842798,77.8242648,14.6683137,77.5819832,MOTHERHUB_BLR,ANANTHAPURHUB_ATP,67517,196
Shipment,MOTHERHUB_BLR-ANANTHAPURHUB_ATP-22.7475,12.9842798,77.8242648,14.6683137,77.5819832,MOTHERHUB_BLR,ANANTHAPURHUB_ATP,81891,33
Shipment,MOTHERHUB_BLR-ANANTHAPURHUB_ATP-3.22777778,12.9842798,77.8242648,14.6683137,77.5819832,MOTHERHUB_BLR,ANANTHAPURHUB_ATP,11620,97
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-10.26444444,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,36952,32
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-18.75472222,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,67517,300
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-22.7475,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,81891,59
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-3.22777778,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,11620,160
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-10.26444444,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,36952,44
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-18.75472222,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,67517,329
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-22.7475,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,81891,100
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-3.22777778,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,11620,146
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-10.26444444,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,36952,56
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-18.75472222,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,67517,508
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-22.7475,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,81891,98
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-3.22777778,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,11620,272
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-10.26444444,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,36952,11
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-18.75472222,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,67517,139
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-22.7475,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,81891,22
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-3.22777778,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,11620,72
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-10.26444444,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,36952,46
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-18.75472222,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,67517,512
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-22.7475,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,81891,82
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-3.22777778,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,11620,278
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-10.26444444,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,36952,33
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-18.75472222,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,67517,247
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-22.7475,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,81891,38
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-3.22777778,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,11620,112
Shipment,MOTHERHUB_BLR-DAVANAGEREHUB_DVG-10.26444444,12.9842798,77.8242648,14.4610463,75.929815,MOTHERHUB_BLR,DAVANAGEREHUB_DVG,36952,54
Shipment,MOTHERHUB_BLR-DAVANAGEREHUB_DVG-18.75472222,12.9842798,77.8242648,14.4610463,75.929815,MOTHERHUB_BLR,DAVANAGEREHUB_DVG,67517,429
Shipment,MOTHERHUB_BLR-DAVANAGEREHUB_DVG-22.7475,12.9842798,77.8242648,14.4610463,75.929815,MOTHERHUB_BLR,DAVANAGEREHUB_DVG,81891,79
Shipment,MOTHERHUB_BLR-DAVANAGEREHUB_DVG-3.22777778,12.9842798,77.8242648,14.4610463,75.929815,MOTHERHUB_BLR,DAVANAGEREHUB_DVG,11620,218
Shipment,MOTHERHUB_BLR-DHARWADHUB_HBX-10.26444444,12.9842798,77.8242648,15.463547,74.999768,MOTHERHUB_BLR,DHARWADHUB_HBX,36952,24
