Type,Key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_Time,Load,Time,Ready_Time_10,Del_time_10,Ready_Time_11,Del_time_11,Ready_Time_12,Del_time_12,Ready_Time_1,Del_time_1,Ready_Time_2,Del_time_2,Ready_Time_2,Del_time_2
Shipment,Motherhub_BLR-CalicutHub_CCJ,12.9842798,77.8242648,11.264533,75.776766,Motherhub_BLR,CalicutHub_CCJ,10,1410,10.225,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-KannurHub_KAN,12.9842798,77.8242648,11.896797,75.3521253,Motherhub_BLR,KannurHub_KAN,10,1081,10.1,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-KunnamangalamHub_KNM,12.9842798,77.8242648,11.30493,75.877052,Motherhub_BLR,KunnamangalamHub_KNM,10,598,9.9,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-MalaPuramHub_MLP,12.9842798,77.8242648,11.1447586,76.0647811,Motherhub_BLR,MalaPuramHub_MLP,10,1491,9.65,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-PalakkadHub_PKD,12.9842798,77.8242648,10.78673,76.654793,Motherhub_BLR,PalakkadHub_PKD,10,948,10.175,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-ThalasseryHub_THL,12.9842798,77.8242648,11.7707,75.5102,Motherhub_BLR,ThalasseryHub_THL,10,595,9.65,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-CochinTCHub_KAM-0,12.9842798,77.8242648,10.0435449,76.3367287,Motherhub_BLR,CochinTCHub_KAM,10,3300,13.225,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-CochinTCHub_KAM-1,12.9842798,77.8242648,10.0435449,76.3367287,Motherhub_BLR,CochinTCHub_KAM,10,3300,13.225,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-CochinTCHub_KAM-2,12.9842798,77.8242648,10.0435449,76.3367287,Motherhub_BLR,CochinTCHub_KAM,10,3300,13.225,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-CochinTCHub_KAM-3,12.9842798,77.8242648,10.0435449,76.3367287,Motherhub_BLR,CochinTCHub_KAM,10,3300,13.225,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_BLR-CochinTCHub_KAM-4,12.9842798,77.8242648,10.0435449,76.3367287,Motherhub_BLR,CochinTCHub_KAM,10,1306,13.225,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
