 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 1-MotherHub_BLR-22   , start                 , -               , undef           ,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ChittoorHub_COR ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-VelloreHub_VLR ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ThiruvallurHub_TRL ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KanchipuramHub_KCH ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-LawspetHub_PDY ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-CuddaloreHub_CDL ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ChidambaramHub_CDM ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KumbakonamHub_TNJ ,0,0,0
1, 1-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ThanjavurHub_TNJ ,0,0,0
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ChittoorHub_COR ,10929,10929,4631563
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-VelloreHub_VLR ,13066,13066,5537487
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ThiruvallurHub_TRL ,19684,19684,8342279
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KanchipuramHub_KCH ,22720,22720,9628955
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-LawspetHub_PDY ,30427,30427,12894913
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-CuddaloreHub_CDL ,32469,32469,13760467
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ChidambaramHub_CDM ,35546,35546,15064507
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KumbakonamHub_TNJ ,40062,40062,16978186
1, 1-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ThanjavurHub_TNJ ,42983,42983,18216267
1, 1-MotherHub_BLR-22   , end                   , -               ,42983, undef           ,18216267
,,,,,,
2, 3-MotherHub_BLR-22   , start                 , -               , undef           ,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-ShimogaHub_SMG ,0,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-HassanHub_HSN ,0,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KarwarHub_KWR ,0,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-DavanagereHub_DVG ,0,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-HubliHub_HBX ,0,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-TumkurHub_TKR ,0,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-BelgaumHub_IXG ,0,0,0
2, 3-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-DharwadHub_HBX ,0,0,0
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-TumkurHub_TKR ,6822,6822,2891380
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-HassanHub_HSN ,15988,15988,6775648
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-ShimogaHub_SMG ,25533,25533,10820816
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-DavanagereHub_DVG ,31006,31006,13140209
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-HubliHub_HBX ,41305,41305,17505231
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-DharwadHub_HBX ,42843,42843,18156946
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-BelgaumHub_IXG ,48225,48225,20437794
2, 3-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KarwarHub_KWR ,57919,57919,24545956
2, 3-MotherHub_BLR-22   , end                   , -               ,57919, undef           ,24545956
,,,,,,
3, 9-MotherHub_BLR-22   , start                 , -               , undef           ,0,0
3, 9-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-PNPalayamHub_CJB ,0,0,0
3, 9-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-MalaPuramHub_MLP ,0,0,0
3, 9-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-OotyHub_OTY ,0,0,0
3, 9-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KunnamangalamHub_KNM ,0,0,0
3, 9-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-HosurHub_HOS ,0,0,0
3, 9-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-CalicutHub_CCJ ,0,0,0
3, 9-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-HosurHub_HOS ,2277,2277,965120
3, 9-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-PNPalayamHub_CJB ,17955,17955,7609526
3, 9-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-OotyHub_OTY ,21012,21012,8904991
3, 9-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-MalaPuramHub_MLP ,26888,26888,11395337
3, 9-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KunnamangalamHub_KNM ,29030,29030,12303104
3, 9-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-CalicutHub_CCJ ,29964,29964,12698570
3, 9-MotherHub_BLR-22   , end                   , -               ,29964, undef           ,12698570
,,,,,,
4, 1-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KochiHub_COK ,0,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-IrinjalakudaHub_IJK ,0,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KovaipudurHub_KVP ,0,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TripunithuraHub_TRT ,0,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-ErnakulamHub_COK ,0,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PalakkadHub_PKD ,0,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-AluvaHub_ALU ,0,0,0
4, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TrissurHub_TCR ,0,0,0
4, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KovaipudurHub_KVP ,21021,21021,9532375
4, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PalakkadHub_PKD ,24695,24695,11198466
4, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TrissurHub_TCR ,30539,30539,13848174
4, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-IrinjalakudaHub_IJK ,30539,30539,13848174
