route, vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 7-MotherHub_BLR-22   , start                 , -               , undef           ,0,0
1, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-OotyHub_OTY ,0,0,0
1, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-CalicutHub_CCJ ,0,0,0
1, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-KunnamangalamHub_KNM ,0,0,0
1, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-TrissurHub_TCR ,0,0,0
1, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-IrinjalakudaHub_IJK ,0,0,0
1, 7-MotherHub_BLR-22   , pickupShipment        , MotherHub_BLR-MalaPuramHub_MLP ,0,0,0
1, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-OotyHub_OTY ,16909,86400,7166139
1, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-KunnamangalamHub_KNM ,93479,93479,10166252
1, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-CalicutHub_CCJ ,94412,94412,10561717
1, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-MalaPuramHub_MLP ,97105,97105,11703120
1, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-TrissurHub_TCR ,104308,104308,14755544
1, 7-MotherHub_BLR-22   , deliverShipment       , MotherHub_BLR-IrinjalakudaHub_IJK ,104308,104308,14755544
1, 7-MotherHub_BLR-22   , end                   , -               ,104308, undef           ,14755544
,,,,,,
2, 1-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
2, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-AvinashiRdHub_CJB ,0,0,0
2, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KovaipudurHub_KVP ,0,0,0
2, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PeelameduHub_CJB ,0,0,0
2, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-SapthagiriHub_TPT ,0,0,0
2, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TirupurHub_TPR ,0,0,0
2, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PollachiHub_CJB ,0,0,0
2, 1-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-HosurHub_HOS ,0,0,0
2, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-HosurHub_HOS ,2545,86400,1154160
2, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TirupurHub_TPR ,103051,103051,8704875
2, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-SapthagiriHub_TPT ,103831,103831,9058312
2, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PeelameduHub_CJB ,106187,106187,10126971
2, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-AvinashiRdHub_CJB ,106705,106705,10361681
2, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KovaipudurHub_KVP ,106925,106925,10461328
2, 1-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PollachiHub_CJB ,110235,110235,11962579
2, 1-MotherHub_BLR-32   , end                   , -               ,110235, undef           ,11962579
,,,,,,
3, 2-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
3, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-ThodupuzhaHub_THP ,0,0,0
3, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TrivandrumHub_TRV ,0,0,0
3, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KottayamHub_KTY ,0,0,0
3, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TiruvallaHub_TIR ,0,0,0
3, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KayamkulamHub_KKM ,0,0,0
3, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-NagercoilHub_NGL ,0,0,0
3, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KollamHub_QLN ,0,0,0
3, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-ThodupuzhaHub_THP ,32073,86400,14543695
3, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KottayamHub_KTY ,89997,89997,16174998
3, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TiruvallaHub_TIR ,92156,92156,17153802
3, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KayamkulamHub_KKM ,93744,93744,17874122
3, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TrivandrumHub_TRV ,97153,97153,19419738
3, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KollamHub_QLN ,97213,97213,19446973
3, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-NagercoilHub_NGL ,107828,107828,24260292
3, 2-MotherHub_BLR-32   , end                   , -               ,107828, undef           ,24260292
,,,,,,
4, 7-MotherHub_BLR-32   , start                 , -               , undef           ,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PalaHub_PLA ,0,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PNPalayamHub_CJB ,0,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-TripunithuraHub_TRT ,0,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-ErnakulamHub_COK ,0,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-PalakkadHub_PKD ,0,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-AluvaHub_ALU ,0,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-AlleppeyHub_ALP ,0,0,0
4, 7-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-KochiHub_COK ,0,0,0
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PNPalayamHub_CJB ,19793,86400,8975170
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PalakkadHub_PKD ,90994,90994,11058570
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-AluvaHub_ALU ,98150,98150,14303239
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-ErnakulamHub_COK ,99276,99276,14814045
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-KochiHub_COK ,99814,99814,15057806
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-TripunithuraHub_TRT ,100456,100456,15348917
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-PalaHub_PLA ,104347,104347,17113270
4, 7-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-AlleppeyHub_ALP ,108239,108239,18878310
4, 7-MotherHub_BLR-32   , end                   , -               ,108239, undef           ,18878310
,,,,,,
5, 0-MotherHub_BLR-14   , start                 , -               , undef           ,0,0
5, 0-MotherHub_BLR-14   , pickupShipment        , MotherHub_BLR-TumkurHub_TKR ,0,0,0
5, 0-MotherHub_BLR-14   , pickupShipment        , MotherHub_BLR-MysoreHub_MYS ,0,0,0
5, 0-MotherHub_BLR-14   , pickupShipment        , MotherHub_BLR-KannurHub_KAN ,0,0,0
5, 0-MotherHub_BLR-14   , pickupShipment        , MotherHub_BLR-JaydevNagarHub_MYS ,0,0,0
