Type,key,src_lat,src_long,dest_lat,dest_long,dest_mh,dh_name,Ready_time,Load,dist,Cluster,Ready_Time_9,Del_time_9,Ready_Time_10,Del_time_10,Ready_Time_11,Del_time_11,Ready_Time_12,Del_time_12,Ready_Time_1,Del_time_1
Shipment,MOTHERHUB_GAU-AIZAWLHUB_AJL,26.043197,91.705232,23.7271,92.7176,MOTHERHUB_GAU,AizawlHub_AJL,72000,1121,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-BONGAIGAONHUB_BGG,26.043197,91.705232,26.500999,90.535236,MOTHERHUB_GAU,BongaigaonHub_BGG,72000,782,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-DIBRUGARHHUB_DIB,26.043197,91.705232,27.461571,94.918297,MOTHERHUB_GAU,DibrugarhHub_DIB,72000,1167,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-DULIAJANHUB_DLN,26.043197,91.705232,27.3667,95.3167,MOTHERHUB_GAU,DuliajanHub_DLN,72000,650,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-GOALPARAHUB_GLP,26.043197,91.705232,26.1641,90.6252,MOTHERHUB_GAU,GoalparaHub_GLP,72000,338,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-HOWLYHUB_BPR,26.043197,91.705232,26.4232,90.9801,MOTHERHUB_GAU,HowlyHub_BPR,72000,591,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-ITANAGARHUB_ITO,26.043197,91.705232,27.0696601,93.550854,MOTHERHUB_GAU,ItanagarHub_ITO,72000,616,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-JORHATHUB_JRH,26.043197,91.705232,26.7465,94.2026,MOTHERHUB_GAU,JorhatHub_JRH,72000,1799,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-MARGHERITAHUB_MRG,26.043197,91.705232,27.2911,95.6695,MOTHERHUB_GAU,MargheritaHub_MRG,72000,232,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-NAGAONHUB_NGN,26.043197,91.705232,26.2006043,92.9375739,MOTHERHUB_GAU,NagaonHub_NGN,72000,797,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-NAHARLAGUNHUB_NHL,26.043197,91.705232,27.0986,93.6949,MOTHERHUB_GAU,NaharlagunHub_NHL,72000,455,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-NORTHLAKHIMPURHUB_NLP,26.043197,91.705232,27.232028,94.096028,MOTHERHUB_GAU,NorthLakhimpurHub_NLP,72000,977,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-SHILLONGHUB_SHL,26.043197,91.705232,25.565616,91.882242,MOTHERHUB_GAU,ShillongHub_SHL,72000,1571,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-SIBSAGARCLAWBACKHUB_SBS,26.043197,91.705232,26.9826,94.6425,MOTHERHUB_GAU,SibsagarClawbackHub_SBS,72000,252,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-SIBSAGARHUB_SBS,26.043197,91.705232,26.98261,94.642452,MOTHERHUB_GAU,SibsagarHub_SBS,72000,713,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-SILCHARHUB_IXS,26.043197,91.705232,24.8333,92.7789,MOTHERHUB_GAU,SilcharHub_IXS,72000,1099,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-TEZPURHUB_TZR,26.043197,91.705232,26.62778,92.789712,MOTHERHUB_GAU,TezpurHub_TZR,72000,915,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-TINSUKIAHUB_TSK,26.043197,91.705232,27.49075,95.36452,MOTHERHUB_GAU,TinsukiaHub_TSK,72000,660,,TRANS_GAU,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-AGARTALAHUB_IXA,26.043197,91.705232,23.8315,91.2868,MOTHERHUB_GAU,AgartalaHub_IXA,72000,911,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-GANGTOKHUB_GGT,26.043197,91.705232,27.312638,88.595769,MOTHERHUB_GAU,GangtokHub_GGT,72000,861,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
Shipment,MOTHERHUB_GAU-RANGPOHUB_RNG,26.043197,91.705232,27.1761,88.5287,MOTHERHUB_GAU,RangpoHub_RNG,72000,308,,Trans_GAU1,75600,118800,79200,118800,82800,118800,86400,118800,90000,118800
