Type,key,src_lat,src_long,dest_lat,dest_long,MH,DH/PH,ready_time,Load
Shipment,CochinTCHub_KAM-AlleppeyHub_ALP,10.0435449,76.3284354,9.4837391,76.3284354,CochinTCHub_KAM,AlleppeyHub_ALP,72000,683
Shipment,CochinTCHub_KAM-AluvaHub_ALU,10.0435449,76.373885,10.111613,76.373885,CochinTCHub_KAM,AluvaHub_ALU,72000,1100
Shipment,CochinTCHub_KAM-IrinjalakudaHub_IJK,10.0435449,76.249005,10.344324,76.249005,CochinTCHub_KAM,IrinjalakudaHub_IJK,72000,470
Shipment,CochinTCHub_KAM-KayamkulamHub_KKM,10.0435449,76.515012,9.208077,76.515012,CochinTCHub_KAM,KayamkulamHub_KKM,72000,372
Shipment,CochinTCHub_KAM-KollamHub_QLN,10.0435449,76.608681,8.879079,76.608681,CochinTCHub_KAM,KollamHub_QLN,72000,858
Shipment,CochinTCHub_KAM-KottayamHub_KTY,10.0435449,76.5235,9.587114,76.5235,CochinTCHub_KAM,KottayamHub_KTY,72000,742
Shipment,CochinTCHub_KAM-PalaHub_PLA,10.0435449,76.664169,9.702529,76.664169,CochinTCHub_KAM,PalaHub_PLA,72000,588
Shipment,CochinTCHub_KAM-ThodupuzhaHub_THP,10.0435449,76.71859,9.89941,76.71859,CochinTCHub_KAM,ThodupuzhaHub_THP,72000,734
Shipment,CochinTCHub_KAM-TiruvallaHub_TIR,10.0435449,76.5419499,9.3678185,76.5419499,CochinTCHub_KAM,TiruvallaHub_TIR,72000,838
Shipment,CochinTCHub_KAM-TripunithuraHub_TRT,10.0435449,76.337804,9.9347282,76.337804,CochinTCHub_KAM,TripunithuraHub_TRT,72000,495
Shipment,CochinTCHub_KAM-TrissurHub_TCR,10.0435449,76.249005,10.344324,76.249005,CochinTCHub_KAM,TrissurHub_TCR,72000,940
Shipment,CochinTCHub_KAM-TrivandrumHub_TRV,10.0435449,76.6123883,8.8741725,76.6123883,CochinTCHub_KAM,TrivandrumHub_TRV,72000,1809
