 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 6-MotherHub_KOL-22   , start                 , -               , undef           ,0,0
1, 6-MotherHub_KOL-22   , pickupShipment        , MotherHub_KOL-KorbaHub_KOR ,0,0,0
1, 6-MotherHub_KOL-22   , pickupShipment        , MotherHub_KOL-RourkelaHub_RRK ,0,0,0
1, 6-MotherHub_KOL-22   , pickupShipment        , MotherHub_KOL-MowaHub_RPR ,0,0,0
1, 6-MotherHub_KOL-22   , pickupShipment        , MotherHub_KOL-RaigarhHub_RGH ,0,0,0
1, 6-MotherHub_KOL-22   , pickupShipment        , MotherHub_KOL-BhilaiHub_BIA ,0,0,0
1, 6-MotherHub_KOL-22   , pickupShipment        , MotherHub_KOL-RatanpurHub_PAB ,0,0,0
1, 6-MotherHub_KOL-22   , pickupShipment        , MotherHub_KOL-RaipurHub_RPR ,0,0,0
1, 6-MotherHub_KOL-22   , deliverShipment       , MotherHub_KOL-RourkelaHub_RRK ,28108,28108,11912058
1, 6-MotherHub_KOL-22   , deliverShipment       , MotherHub_KOL-RaigarhHub_RGH ,40391,40391,17117755
1, 6-MotherHub_KOL-22   , deliverShipment       , MotherHub_KOL-KorbaHub_KOR ,47019,47019,19926880
1, 6-MotherHub_KOL-22   , deliverShipment       , MotherHub_KOL-RatanpurHub_PAB ,51899,51899,21994820
1, 6-MotherHub_KOL-22   , deliverShipment       , MotherHub_KOL-MowaHub_RPR ,61638,61638,26122365
1, 6-MotherHub_KOL-22   , deliverShipment       , MotherHub_KOL-RaipurHub_RPR ,61960,61960,26258557
1, 6-MotherHub_KOL-22   , deliverShipment       , MotherHub_KOL-BhilaiHub_BIA ,64295,64295,27248307
1, 6-MotherHub_KOL-22   , end                   , -               ,64295, undef           ,27248307
,,,,,,
2, 2-MotherHub_KOL-32   , start                 , -               , undef           ,0,0
2, 2-MotherHub_KOL-32   , pickupShipment        , MotherHub_KOL-TezpurHub_TZR ,0,0,0
2, 2-MotherHub_KOL-32   , pickupShipment        , MotherHub_KOL-NagaonHub_NGN ,0,0,0
2, 2-MotherHub_KOL-32   , pickupShipment        , MotherHub_KOL-ShillongHub_SHL ,0,0,0
2, 2-MotherHub_KOL-32   , pickupShipment        , MotherHub_KOL-BongaigaonHub_BGG ,0,0,0
2, 2-MotherHub_KOL-32   , pickupShipment        , MotherHub_KOL-MaligaonHub_GAU ,0,0,0
2, 2-MotherHub_KOL-32   , pickupShipment        , MotherHub_KOL-SixMileHub_GAU ,0,0,0
2, 2-MotherHub_KOL-32   , pickupShipment        , MotherHub_KOL-UlubariHub_GAU ,0,0,0
2, 2-MotherHub_KOL-32   , deliverShipment       , MotherHub_KOL-BongaigaonHub_BGG ,42266,42266,19166269
2, 2-MotherHub_KOL-32   , deliverShipment       , MotherHub_KOL-UlubariHub_GAU ,53338,53338,24186836
2, 2-MotherHub_KOL-32   , deliverShipment       , MotherHub_KOL-MaligaonHub_GAU ,54125,54125,24543682
