tripType,tripID,Fleet-Size,Cost,src_lat,src_long,dest_lat,dest_long,Transit Time
Surface,MotherHub_AMD-MotherHub_PTI-IHL,28,24800,22.8978044,72.5902141,28.294166,76.855804,31
Surface,MotherHub_AMD-MotherHub_BLR-STCS,22,34750,22.8978044,72.5902141,12.9842798,77.8242648,31
Surface,MotherHub_AMD-MotherHub_PTI-TF,22,35000,22.8978044,72.5902141,28.294166,76.855804,31
Surface,MotherHub_BBI-MotherHub_MED-SVC,20,18000,20.295471,85.84707,17.580519,78.469527,13
Surface,MotherHub_BBI-MotherHub_MED-Harsha-Transport,17,17000,20.295471,85.84707,17.580519,78.469527,16
Surface,MotherHub_BIL-MotherHub_IDR-Multi-Mode,19,15000,19.2374987,73.0362352,22.777113,75.9021171,31
Surface,MotherHub_BIL-MotherHub_AMD-TF,22,35000,19.2374987,73.0362352,22.8978044,72.5902141,31
Surface,MotherHub_BIL-MotherHub_BLR-SVC,22,22400,19.2374987,73.0362352,12.9842798,77.8242648,31
Surface,MotherHub_BIL-MotherHub_BLR-SVC,32,28500,19.2374987,73.0362352,12.9842798,77.8242648,31
Surface,MotherHub_BIL-MotherHub_MED-SVC,32,17000,19.2374987,73.0362352,17.580519,78.469527,31
Surface,MotherHub_BIL-MotherHub_PUNE-IHL,28,41168,19.2374987,73.0362352,18.6087917,73.7268817,31
Surface,MotherHub_BLR-MotherHub_PTI-SIL,32,52500,12.9842798,77.8242648,28.294166,76.855804,31
Surface,MotherHub_BLR-MotherHub_AMD-STCS,22,34750,12.9842798,77.8242648,22.8978044,72.5902141,31
Surface,MotherHub_BLR-MotherHub_BIL-SVC,22,22400,12.9842798,77.8242648,19.2374987,73.0362352,31
Surface,MotherHub_BLR-MotherHub_BIL-SVC,32,28500,12.9842798,77.8242648,19.2374987,73.0362352,31
Surface,MotherHub_KOL-MotherHub_PAT-FT,32,45000,22.708183,88.28565,25.587197,85.185842,30
Surface,MotherHub_KOL-MotherHub_PTI-FT,32,42500,22.708183,88.28565,28.294166,76.855804,30
Surface,MotherHub_KOL-MotherHub_MED-TF,32,49750,22.708183,88.28565,17.580519,78.469527,30
Surface,MotherHub_MED-MotherHub_PTI-FT,32,42500,17.580519,78.469527,28.294166,76.855804,31
Surface,MotherHub_MED-MotherHub_KOL-TF,32,49750,17.580519,78.469527,22.708183,88.28565,31
Surface,MotherHub_MED-MotherHub_BIL-SVC,32,17000,17.580519,78.469527,19.2374987,73.0362352,31
Surface,MotherHub_MED-MotherHub_BBI-SVC,20,18000,17.580519,78.469527,20.295471,85.84707,16
Surface,MotherHub_MED-MotherHub_BBI-Harsha-Transport,17,17000,17.580519,78.469527,20.295471,85.84707,15
Surface,MotherHub_MED-MotherHub_CHN-TF,32,82500,17.580519,78.469527,13.04591,80.067723,11
Surface,MotherHub_PAT-MotherHub_PTI-FT,32,45000,25.587197,85.185842,28.294166,76.855804,30
Surface,MotherHub_PTI-MotherHub_AMD-IHL,28,24800,28.294166,76.855804,22.8978044,72.5902141,30
Surface,MotherHub_PTI-MotherHub_BIL-IHL,28,41168,28.294166,76.855804,19.2374987,73.0362352,31
Surface,MotherHub_PTI-MotherHub_BLR-SIL,32,52500,28.294166,76.855804,12.9842798,77.8242648,29
Surface,MotherHub_PTI-MotherHub_BLR-SIL,32,52500,28.294166,76.855804,12.9842798,77.8242648,31
Surface,MotherHub_PTI-MotherHub_KOL-SIL,32,80000,28.294166,76.855804,22.708183,88.28565,31
Surface,MotherHub_PTI-MotherHub_KOL-FT,32,42500,28.294166,76.855804,22.708183,88.28565,31
Surface,MotherHub_PTI-MotherHub_KOL-FT,32,42500,28.294166,76.855804,22.708183,88.28565,29
Surface,MotherHub_PTI-MotherHub_MED-FT,32,42500,28.294166,76.855804,17.580519,78.469527,31
Surface,MotherHub_PTI-MotherHub_AMD-Zast-Logistics,22,27400,28.294166,76.855804,22.8978044,72.5902141,31
Surface,MotherHub_PTI-MotherHub_IDR-Multi-Mode,19,25000,28.294166,76.855804,22.777113,75.9021171,31
Surface,MotherHub_PTI-MotherHub_BIL-TF,22,35000,28.294166,76.855804,19.2374987,73.0362352,29
Surface,MotherHub_PTI-MotherHub_MAA-TF,22,82500,28.294166,76.855804,13.04591,80.067723,20
Surface,MotherHub_PTI-MotherHub_MED-TF,32,82500,28.294166,76.855804,17.580519,78.469527,11
Surface,MotherHub_PUNE-MotherHub_PTI-IHL,28,41168,18.6087917,73.7268817,28.294166,76.855804,31
Surface,MotherHub_AMD-MotherHub_BIL-ABC,22,11000,22.8978044,72.5902141,19.2374987,73.0362352,16
Surface,MotherHub_AMD-MotherHub_MUM-ABC,22,11000,22.8978044,72.5902141,19.1170238,72.8580558,16
Surface,MotherHub_AMD-MotherHub_STV-ABC,22,6000,22.8978044,72.5902141,21.0895987,72.900005,8
Surface,MotherHub_ABL-MotherHub_BNO-ABC,22,6600,30.396612,76.8116,28.544563,77.031259,6
Surface,MotherHub_BNO-MotherHub_ABL-ABC,22,6600,28.544563,77.031259,30.396612,76.8116,6
Surface,MotherHub_PTI-MotherHub_ABL-ABC,22,6600,28.294166,76.855804,30.396612,76.8116,6
Surface,MotherHub_BNO-MotherHub_LKO-ABC,22,50000,28.544563,77.031259,26.755912,80.910939,16
Surface,MotherHub_PTI-MotherHub_LKO-ABC,22,50000,28.294166,76.855804,26.755912,80.910939,16
Surface,MotherHub_BNO-MotherHub_JAI-ABC,20,11800,28.544563,77.031259,26.948928,75.761927,5
