Lane,Fleet,Cost/Trip,Src_lat,Src_long,Dest_lat,Dest_long
IHL-AMD-PTI,28,24800,22.88998,72.594151,28.307612,76.81791
IHL-PTI-AMD,28,24800,28.307612,76.81791,22.88998,72.594151
SIL-BLR-PTI,32,52500,13.063051,77.741323,28.307612,76.81791
SIL-PTI-BLR,32,52500,28.307612,76.81791,13.063051,77.741323
SIL-PTI-BLR1,32,52500,28.307612,76.81791,13.063051,77.741323
SIL-PTI-PAT,32,80000,28.307612,76.81791,25.585908,85.182063
FT-PTI-KOL1,32,42500,28.307612,76.81791,22.693624,88.487686
FT-PTI-KOL,32,42500,28.307612,76.81791,22.693624,88.487686
FT-HYD-PTI,32,42500,17.580668,78.469767,28.307612,76.81791
FT-KOL-PTI,32,42500,22.693624,88.487686,28.307612,76.81791
FT-KOL-HYD,32,50000,22.693624,88.487686,17.580668,78.469767
FT-HYD-KOL,32,50000,17.580668,78.469767,22.693624,88.487686
FT-PTI-HYD,32,42500,28.307612,76.81791,17.580668,78.469767
ZastLogistics-PTI-AMD,22,27400,28.307612,76.81791,22.88998,72.594151
MultiMode-PTI-IDR,19,25000,28.307612,76.81791,22.768738,75.903691
MultiMode-BHI-IDR,19,15000,19.238673,73.036094,22.768738,75.903691
STCS-AMD-BLR,22,34750,22.88998,72.594151,13.063051,77.741323
STCS-BLR-AMD,22,34750,13.063051,77.741323,22.88998,72.594151
TF-PTI-BHI,22,35000,28.307612,76.81791,19.238673,73.036094
TF-HYD-KOL,32,49750,17.580668,78.469767,22.693624,88.487686
TF-KOL-HYD,32,49750,22.693624,88.487686,17.580668,78.469767
SVC-BHI-BLR,22,22400,19.238673,73.036094,13.063051,77.741323
SVC-BHI-BLR,32,28500,19.238673,73.036094,13.063051,77.741323
SVC-BLR-BHI,22,22400,13.063051,77.741323,19.238673,73.036094
SVC-BLR-BHI,32,28500,13.063051,77.741323,19.238673,73.036094
SVC-BHI-HYD,32,17000,19.238673,73.036094,17.580668,78.469767
