Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load,SLA
Shipment,ECO-MotherHub_ABL-CochinTCHub_KAM,30.396612,76.8116,10.0435449,76.3367287,MotherHub_ABL,CochinTCHub_KAM,86340,26,172856
Shipment,ECO-MotherHub_ABL-MotherHub_AMD,30.396612,76.8116,22.8978044,72.5902141,MotherHub_ABL,MotherHub_AMD,86340,22,190150
Shipment,ECO-MotherHub_ABL-MotherHub_BBI,30.396612,76.8116,20.295471,85.84707,MotherHub_ABL,MotherHub_BBI,86340,16,154233
Shipment,ECO-MotherHub_ABL-MotherHub_BIL,30.396612,76.8116,19.2374987,73.0362352,MotherHub_ABL,MotherHub_BIL,86340,20,177971
Shipment,ECO-MotherHub_ABL-MotherHub_BLR,30.396612,76.8116,12.9842798,77.8242648,MotherHub_ABL,MotherHub_BLR,86340,114,155666
Shipment,ECO-MotherHub_ABL-MotherHub_CHN,30.396612,76.8116,13.04591,80.067723,MotherHub_ABL,MotherHub_CHN,86340,26,120742
Shipment,ECO-MotherHub_ABL-MotherHub_CJB,30.396612,76.8116,11.0633423,77.0910944,MotherHub_ABL,MotherHub_CJB,86340,9,185533
Shipment,ECO-MotherHub_ABL-MotherHub_GAU,30.396612,76.8116,26.043197,91.705232,MotherHub_ABL,MotherHub_GAU,86340,29,192533
Shipment,ECO-MotherHub_ABL-MotherHub_GOA,30.396612,76.8116,15.3682554,73.946764,MotherHub_ABL,MotherHub_GOA,86340,13,170721
Shipment,ECO-MotherHub_ABL-MotherHub_IXR,30.396612,76.8116,23.352715,85.343538,MotherHub_ABL,MotherHub_IXR,86340,10,167575
Shipment,ECO-MotherHub_ABL-MotherHub_KOL,30.396612,76.8116,22.708183,88.28565,MotherHub_ABL,MotherHub_KOL,86340,57,153325
Shipment,ECO-MotherHub_ABL-MotherHub_MED,30.396612,76.8116,17.580519,78.469527,MotherHub_ABL,MotherHub_MED,86340,49,172041
Shipment,ECO-MotherHub_ABL-MotherHub_MUM,30.396612,76.8116,19.1170238,72.8580558,MotherHub_ABL,MotherHub_MUM,86340,22,154628
Shipment,ECO-MotherHub_ABL-MotherHub_PAT,30.396612,76.8116,25.587197,85.185842,MotherHub_ABL,MotherHub_PAT,86340,20,165071
Shipment,ECO-MotherHub_ABL-MotherHub_PUNE,30.396612,76.8116,18.6087917,73.7268817,MotherHub_ABL,MotherHub_PUNE,86340,33,171912
Shipment,ECO-MotherHub_ABL-MotherHub_RAI,30.396612,76.8116,22.056106,82.171855,MotherHub_ABL,MotherHub_RAI,86340,7,173643
Shipment,ECO-MotherHub_ABL-MotherHub_STV,30.396612,76.8116,21.0895987,72.900005,MotherHub_ABL,MotherHub_STV,86340,5,174006
Shipment,ECO-MotherHub_AMD-CochinTCHub_KAM,22.8978044,72.5902141,10.0435449,76.3367287,MotherHub_AMD,CochinTCHub_KAM,86340,27,124464
Shipment,ECO-MotherHub_AMD-MotherHub_BBI,22.8978044,72.5902141,20.295471,85.84707,MotherHub_AMD,MotherHub_BBI,86340,21,122892
Shipment,ECO-MotherHub_AMD-MotherHub_BLR,22.8978044,72.5902141,12.9842798,77.8242648,MotherHub_AMD,MotherHub_BLR,86340,122,104996
Shipment,ECO-MotherHub_AMD-MotherHub_BNO,22.8978044,72.5902141,28.544563,77.031259,MotherHub_AMD,MotherHub_BNO,86340,48,77898
Shipment,ECO-MotherHub_AMD-MotherHub_CHN,22.8978044,72.5902141,13.04591,80.067723,MotherHub_AMD,MotherHub_CHN,86340,28,87083
Shipment,ECO-MotherHub_AMD-MotherHub_CJB,22.8978044,72.5902141,11.0633423,77.0910944,MotherHub_AMD,MotherHub_CJB,86340,10,131702
Shipment,ECO-MotherHub_AMD-MotherHub_GAU,22.8978044,72.5902141,26.043197,91.705232,MotherHub_AMD,MotherHub_GAU,86340,31,182412
Shipment,ECO-MotherHub_AMD-MotherHub_IXR,22.8978044,72.5902141,23.352715,85.343538,MotherHub_AMD,MotherHub_IXR,86340,12,142927
Shipment,ECO-MotherHub_AMD-MotherHub_JAI,22.8978044,72.5902141,26.948928,75.761927,MotherHub_AMD,MotherHub_JAI,86340,16,108590
Shipment,ECO-MotherHub_AMD-MotherHub_KOL,22.8978044,72.5902141,22.708183,88.28565,MotherHub_AMD,MotherHub_KOL,86340,70,135386
Shipment,ECO-MotherHub_AMD-MotherHub_LKO,22.8978044,72.5902141,26.755912,80.910939,MotherHub_AMD,MotherHub_LKO,86340,10,91940
Shipment,ECO-MotherHub_AMD-MotherHub_MED,22.8978044,72.5902141,17.580519,78.469527,MotherHub_AMD,MotherHub_MED,86340,53,120261
Shipment,ECO-MotherHub_AMD-MotherHub_PAT,22.8978044,72.5902141,25.587197,85.185842,MotherHub_AMD,MotherHub_PAT,86340,23,148124
Shipment,ECO-MotherHub_AMD-MotherHub_PTI,22.8978044,72.5902141,28.294166,76.855804,MotherHub_AMD,MotherHub_PTI,86340,59,126760
Shipment,ECO-MotherHub_AMD-MotherHub_RAI,22.8978044,72.5902141,22.056106,82.171855,MotherHub_AMD,MotherHub_RAI,86340,7,168142
Shipment,ECO-MotherHub_BBI-CochinTCHub_KAM,20.295471,85.84707,10.0435449,76.3367287,MotherHub_BBI,CochinTCHub_KAM,86340,0,502200
Shipment,ECO-MotherHub_BBI-MotherHub_AMD,20.295471,85.84707,22.8978044,72.5902141,MotherHub_BBI,MotherHub_AMD,86340,0,302400
Shipment,ECO-MotherHub_BBI-MotherHub_BIL,20.295471,85.84707,19.2374987,73.0362352,MotherHub_BBI,MotherHub_BIL,86340,0,393600
Shipment,ECO-MotherHub_BBI-MotherHub_BLR,20.295471,85.84707,12.9842798,77.8242648,MotherHub_BBI,MotherHub_BLR,86340,0,284488
Shipment,ECO-MotherHub_BBI-MotherHub_BNO,20.295471,85.84707,28.544563,77.031259,MotherHub_BBI,MotherHub_BNO,86340,0,388800
Shipment,ECO-MotherHub_BBI-MotherHub_CHN,20.295471,85.84707,13.04591,80.067723,MotherHub_BBI,MotherHub_CHN,86340,0,356400
Shipment,ECO-MotherHub_BBI-MotherHub_CJB,20.295471,85.84707,11.0633423,77.0910944,MotherHub_BBI,MotherHub_CJB,86340,0,576000
Shipment,ECO-MotherHub_BBI-MotherHub_GOA,20.295471,85.84707,15.3682554,73.946764,MotherHub_BBI,MotherHub_GOA,86340,0,518400
Shipment,ECO-MotherHub_BBI-MotherHub_IDR,20.295471,85.84707,22.777113,75.9021171,MotherHub_BBI,MotherHub_IDR,86340,0,469029
Shipment,ECO-MotherHub_BBI-MotherHub_JAI,20.295471,85.84707,26.948928,75.761927,MotherHub_BBI,MotherHub_JAI,86340,0,302400
Shipment,ECO-MotherHub_BBI-MotherHub_MED,20.295471,85.84707,17.580519,78.469527,MotherHub_BBI,MotherHub_MED,86340,0,219927
Shipment,ECO-MotherHub_BBI-MotherHub_MUM,20.295471,85.84707,19.1170238,72.8580558,MotherHub_BBI,MotherHub_MUM,86340,0,162000
Shipment,ECO-MotherHub_BBI-MotherHub_PTI,20.295471,85.84707,28.294166,76.855804,MotherHub_BBI,MotherHub_PTI,86340,0,282071
Shipment,ECO-MotherHub_BBI-MotherHub_PUNE,20.295471,85.84707,18.6087917,73.7268817,MotherHub_BBI,MotherHub_PUNE,86340,0,271543
Shipment,ECO-MotherHub_BHI-CochinTCHub_KAM,19.2374896,73.0361464,10.0435449,76.3367287,MotherHub_BHI,CochinTCHub_KAM,86340,58,27610
Shipment,ECO-MotherHub_BHI-MotherHub_BBI,19.2374896,73.0361464,20.295471,85.84707,MotherHub_BHI,MotherHub_BBI,86340,33,28356
Shipment,ECO-MotherHub_BHI-MotherHub_BLR,19.2374896,73.0361464,12.9842798,77.8242648,MotherHub_BHI,MotherHub_BLR,86340,218,25528
Shipment,ECO-MotherHub_BHI-MotherHub_BNO,19.2374896,73.0361464,28.544563,77.031259,MotherHub_BHI,MotherHub_BNO,86340,78,27765
Shipment,ECO-MotherHub_BHI-MotherHub_CHN,19.2374896,73.0361464,13.04591,80.067723,MotherHub_BHI,MotherHub_CHN,86340,45,25022
Shipment,ECO-MotherHub_BHI-MotherHub_CJB,19.2374896,73.0361464,11.0633423,77.0910944,MotherHub_BHI,MotherHub_CJB,86340,14,38159
Shipment,ECO-MotherHub_BHI-MotherHub_GAU,19.2374896,73.0361464,26.043197,91.705232,MotherHub_BHI,MotherHub_GAU,86340,53,51027
Shipment,ECO-MotherHub_BHI-MotherHub_IXR,19.2374896,73.0361464,23.352715,85.343538,MotherHub_BHI,MotherHub_IXR,86340,16,56434
Shipment,ECO-MotherHub_BHI-MotherHub_JAI,19.2374896,73.0361464,26.948928,75.761927,MotherHub_BHI,MotherHub_JAI,86340,32,38244
Shipment,ECO-MotherHub_BHI-MotherHub_KOL,19.2374896,73.0361464,22.708183,88.28565,MotherHub_BHI,MotherHub_KOL,86340,72,49197
Shipment,ECO-MotherHub_BHI-MotherHub_LKO,19.2374896,73.0361464,26.755912,80.910939,MotherHub_BHI,MotherHub_LKO,86340,14,25836
Shipment,ECO-MotherHub_BHI-MotherHub_MED,19.2374896,73.0361464,17.580519,78.469527,MotherHub_BHI,MotherHub_MED,86340,106,22648
Shipment,ECO-MotherHub_BHI-MotherHub_PAT,19.2374896,73.0361464,25.587197,85.185842,MotherHub_BHI,MotherHub_PAT,86340,40,51409
Shipment,ECO-MotherHub_BHI-MotherHub_PTI,19.2374896,73.0361464,28.294166,76.855804,MotherHub_BHI,MotherHub_PTI,86340,105,41872
Shipment,ECO-MotherHub_BHI-MotherHub_RAI,19.2374896,73.0361464,22.056106,82.171855,MotherHub_BHI,MotherHub_RAI,86340,18,40246
Shipment,ECO-MotherHub_BIL-CochinTCHub_KAM,19.2374987,73.0362352,10.0435449,76.3367287,MotherHub_BIL,CochinTCHub_KAM,86340,96,931
Shipment,ECO-MotherHub_BIL-MotherHub_AMD,19.2374987,73.0362352,22.8978044,72.5902141,MotherHub_BIL,MotherHub_AMD,86340,0,0
Shipment,ECO-MotherHub_BIL-MotherHub_BBI,19.2374987,73.0362352,20.295471,85.84707,MotherHub_BIL,MotherHub_BBI,86340,61,1185
Shipment,ECO-MotherHub_BIL-MotherHub_BLR,19.2374987,73.0362352,12.9842798,77.8242648,MotherHub_BIL,MotherHub_BLR,86340,401,706
Shipment,ECO-MotherHub_BIL-MotherHub_BNO,19.2374987,73.0362352,28.544563,77.031259,MotherHub_BIL,MotherHub_BNO,86340,167,402
Shipment,ECO-MotherHub_BIL-MotherHub_CHN,19.2374987,73.0362352,13.04591,80.067723,MotherHub_BIL,MotherHub_CHN,86340,92,531
Shipment,ECO-MotherHub_BIL-MotherHub_CJB,19.2374987,73.0362352,11.0633423,77.0910944,MotherHub_BIL,MotherHub_CJB,86340,33,681
Shipment,ECO-MotherHub_BIL-MotherHub_GAU,19.2374987,73.0362352,26.043197,91.705232,MotherHub_BIL,MotherHub_GAU,86340,83,685
Shipment,ECO-MotherHub_BIL-MotherHub_IXR,19.2374987,73.0362352,23.352715,85.343538,MotherHub_BIL,MotherHub_IXR,86340,33,1136
Shipment,ECO-MotherHub_BIL-MotherHub_JAI,19.2374987,73.0362352,26.948928,75.761927,MotherHub_BIL,MotherHub_JAI,86340,51,743
Shipment,ECO-MotherHub_BIL-MotherHub_KOL,19.2374987,73.0362352,22.708183,88.28565,MotherHub_BIL,MotherHub_KOL,86340,204,422
Shipment,ECO-MotherHub_BIL-MotherHub_LKO,19.2374987,73.0362352,26.755912,80.910939,MotherHub_BIL,MotherHub_LKO,86340,28,1010
Shipment,ECO-MotherHub_BIL-MotherHub_MED,19.2374987,73.0362352,17.580519,78.469527,MotherHub_BIL,MotherHub_MED,86340,171,770
Shipment,ECO-MotherHub_BIL-MotherHub_PAT,19.2374987,73.0362352,25.587197,85.185842,MotherHub_BIL,MotherHub_PAT,86340,68,897
Shipment,ECO-MotherHub_BIL-MotherHub_PTI,19.2374987,73.0362352,28.294166,76.855804,MotherHub_BIL,MotherHub_PTI,86340,187,840
Shipment,ECO-MotherHub_BIL-MotherHub_RAI,19.2374987,73.0362352,22.056106,82.171855,MotherHub_BIL,MotherHub_RAI,86340,22,1002
Shipment,ECO-MotherHub_BLP-CochinTCHub_KAM,28.294166,76.855804,10.0435449,76.3367287,MotherHub_BLP,CochinTCHub_KAM,86340,52,41444
Shipment,ECO-MotherHub_BLP-MotherHub_AMD,28.294166,76.855804,22.8978044,72.5902141,MotherHub_BLP,MotherHub_AMD,86340,70,21606
Shipment,ECO-MotherHub_BLP-MotherHub_BBI,28.294166,76.855804,20.295471,85.84707,MotherHub_BLP,MotherHub_BBI,86340,42,27999
Shipment,ECO-MotherHub_BLP-MotherHub_BIL,28.294166,76.855804,19.2374987,73.0362352,MotherHub_BLP,MotherHub_BIL,86340,51,28779
Shipment,ECO-MotherHub_BLP-MotherHub_BLR,28.294166,76.855804,12.9842798,77.8242648,MotherHub_BLP,MotherHub_BLR,86340,201,33890
Shipment,ECO-MotherHub_BLP-MotherHub_CHN,28.294166,76.855804,13.04591,80.067723,MotherHub_BLP,MotherHub_CHN,86340,37,25144
Shipment,ECO-MotherHub_BLP-MotherHub_CJB,28.294166,76.855804,11.0633423,77.0910944,MotherHub_BLP,MotherHub_CJB,86340,14,42205
Shipment,ECO-MotherHub_BLP-MotherHub_GAU,28.294166,76.855804,26.043197,91.705232,MotherHub_BLP,MotherHub_GAU,86340,84,31946
Shipment,ECO-MotherHub_BLP-MotherHub_GOA,28.294166,76.855804,15.3682554,73.946764,MotherHub_BLP,MotherHub_GOA,86340,19,37128
Shipment,ECO-MotherHub_BLP-MotherHub_IXR,28.294166,76.855804,23.352715,85.343538,MotherHub_BLP,MotherHub_IXR,86340,42,19722
Shipment,ECO-MotherHub_BLP-MotherHub_KOL,28.294166,76.855804,22.708183,88.28565,MotherHub_BLP,MotherHub_KOL,86340,169,19064
Shipment,ECO-MotherHub_BLP-MotherHub_MED,28.294166,76.855804,17.580519,78.469527,MotherHub_BLP,MotherHub_MED,86340,88,33510
Shipment,ECO-MotherHub_BLP-MotherHub_MUM,28.294166,76.855804,19.1170238,72.8580558,MotherHub_BLP,MotherHub_MUM,86340,51,23774
Shipment,ECO-MotherHub_BLP-MotherHub_PAT,28.294166,76.855804,25.587197,85.185842,MotherHub_BLP,MotherHub_PAT,86340,146,8564
Shipment,ECO-MotherHub_BLP-MotherHub_PUNE,28.294166,76.855804,18.6087917,73.7268817,MotherHub_BLP,MotherHub_PUNE,86340,68,34591
Shipment,ECO-MotherHub_BLP-MotherHub_RAI,28.294166,76.855804,22.056106,82.171855,MotherHub_BLP,MotherHub_RAI,86340,19,34158
Shipment,ECO-MotherHub_BLP-MotherHub_STV,28.294166,76.855804,21.0895987,72.900005,MotherHub_BLP,MotherHub_STV,86340,15,19284
Shipment,ECO-MotherHub_BLR-CochinTCHub_KAM,12.9842798,77.8242648,10.0435449,76.3367287,MotherHub_BLR,CochinTCHub_KAM,86340,1,0
Shipment,ECO-MotherHub_BLR-MotherHub_AMD,12.9842798,77.8242648,22.8978044,72.5902141,MotherHub_BLR,MotherHub_AMD,86340,5,0
Shipment,ECO-MotherHub_BLR-MotherHub_BBI,12.9842798,77.8242648,20.295471,85.84707,MotherHub_BLR,MotherHub_BBI,86340,7,0
Shipment,ECO-MotherHub_BLR-MotherHub_BIL,12.9842798,77.8242648,19.2374987,73.0362352,MotherHub_BLR,MotherHub_BIL,86340,6,0
Shipment,ECO-MotherHub_BLR-MotherHub_BLR,12.9842798,77.8242648,12.9842798,77.8242648,MotherHub_BLR,MotherHub_BLR,86340,0,0
Shipment,ECO-MotherHub_BLR-MotherHub_BNO,12.9842798,77.8242648,28.544563,77.031259,MotherHub_BLR,MotherHub_BNO,86340,21,0
Shipment,ECO-MotherHub_BLR-MotherHub_GAU,12.9842798,77.8242648,26.043197,91.705232,MotherHub_BLR,MotherHub_GAU,86340,10,0
Shipment,ECO-MotherHub_BLR-MotherHub_GOA,12.9842798,77.8242648,15.3682554,73.946764,MotherHub_BLR,MotherHub_GOA,86340,4,0
Shipment,ECO-MotherHub_BLR-MotherHub_IDR,12.9842798,77.8242648,22.777113,75.9021171,MotherHub_BLR,MotherHub_IDR,86340,5,0
Shipment,ECO-MotherHub_BLR-MotherHub_IXR,12.9842798,77.8242648,23.352715,85.343538,MotherHub_BLR,MotherHub_IXR,86340,4,0
Shipment,ECO-MotherHub_BLR-MotherHub_JAI,12.9842798,77.8242648,26.948928,75.761927,MotherHub_BLR,MotherHub_JAI,86340,7,0
Shipment,ECO-MotherHub_BLR-MotherHub_KOL,12.9842798,77.8242648,22.708183,88.28565,MotherHub_BLR,MotherHub_KOL,86340,19,0
Shipment,ECO-MotherHub_BLR-MotherHub_LKO,12.9842798,77.8242648,26.755912,80.910939,MotherHub_BLR,MotherHub_LKO,86340,3,0
Shipment,ECO-MotherHub_BLR-MotherHub_MUM,12.9842798,77.8242648,19.1170238,72.8580558,MotherHub_BLR,MotherHub_MUM,86340,7,0
Shipment,ECO-MotherHub_BLR-MotherHub_PAT,12.9842798,77.8242648,25.587197,85.185842,MotherHub_BLR,MotherHub_PAT,86340,9,0
Shipment,ECO-MotherHub_BLR-MotherHub_PTI,12.9842798,77.8242648,28.294166,76.855804,MotherHub_BLR,MotherHub_PTI,86340,24,0
Shipment,ECO-MotherHub_BLR-MotherHub_PUNE,12.9842798,77.8242648,18.6087917,73.7268817,MotherHub_BLR,MotherHub_PUNE,86340,11,0
Shipment,ECO-MotherHub_BLR-MotherHub_RAI,12.9842798,77.8242648,22.056106,82.171855,MotherHub_BLR,MotherHub_RAI,86340,3,0
Shipment,ECO-MotherHub_BLR-MotherHub_STV,12.9842798,77.8242648,21.0895987,72.900005,MotherHub_BLR,MotherHub_STV,86340,1,0
Shipment,ECO-MotherHub_CHN-CochinTCHub_KAM,13.04591,80.067723,10.0435449,76.3367287,MotherHub_CHN,CochinTCHub_KAM,86340,3,47583
Shipment,ECO-MotherHub_CHN-MotherHub_AMD,13.04591,80.067723,22.8978044,72.5902141,MotherHub_CHN,MotherHub_AMD,86340,13,141874
Shipment,ECO-MotherHub_CHN-MotherHub_BBI,13.04591,80.067723,20.295471,85.84707,MotherHub_CHN,MotherHub_BBI,86340,14,88029
Shipment,ECO-MotherHub_CHN-MotherHub_BIL,13.04591,80.067723,19.2374987,73.0362352,MotherHub_CHN,MotherHub_BIL,86340,11,102081
Shipment,ECO-MotherHub_CHN-MotherHub_BNO,13.04591,80.067723,28.544563,77.031259,MotherHub_CHN,MotherHub_BNO,86340,26,102888
Shipment,ECO-MotherHub_CHN-MotherHub_GAU,13.04591,80.067723,26.043197,91.705232,MotherHub_CHN,MotherHub_GAU,86340,19,167641
Shipment,ECO-MotherHub_CHN-MotherHub_GOA,13.04591,80.067723,15.3682554,73.946764,MotherHub_CHN,MotherHub_GOA,86340,10,92180
Shipment,ECO-MotherHub_CHN-MotherHub_IDR,13.04591,80.067723,22.777113,75.9021171,MotherHub_CHN,MotherHub_IDR,86340,6,163647
Shipment,ECO-MotherHub_CHN-MotherHub_IXR,13.04591,80.067723,23.352715,85.343538,MotherHub_CHN,MotherHub_IXR,86340,7,147665
