Type,key_new,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load
Shipment,MOTHERHUB_BIL-BADLAPURHUB_BAP,19.2374987,73.0362352,19.180241,73.230829,MOTHERHUB_BIL,BADLAPURHUB_BAP,72000,166
Shipment,MOTHERHUB_BIL-BHIWANDIHUB_BHI,19.2374987,73.0362352,19.240438,73.0449505,MOTHERHUB_BIL,BHIWANDIHUB_BHI,72000,85
Shipment,MOTHERHUB_BIL-BHIWANDIMPHUB_BHI,19.2374987,73.0362352,19.240438,73.0449505,MOTHERHUB_BIL,BHIWANDIMPHUB_BHI,72000,183
Shipment,MOTHERHUB_BIL-DOMBIVLIHUB_MUM,19.2374987,73.0362352,19.2192145,73.1196119,MOTHERHUB_BIL,DOMBIVLIHUB_MUM,72000,529
Shipment,MOTHERHUB_BIL-GHANSOLIHUB_MUM,19.2374987,73.0362352,19.116972,73.004523,MOTHERHUB_BIL,GHANSOLIHUB_MUM,72000,775
Shipment,MOTHERHUB_BIL-GHODBUNDERHUB_MUM,19.2374987,73.0362352,19.228795,72.982964,MOTHERHUB_BIL,GHODBUNDERHUB_MUM,72000,460
Shipment,MOTHERHUB_BIL-KALYANHUB_MUM,19.2374987,73.0362352,19.250139,73.124082,MOTHERHUB_BIL,KALYANHUB_MUM,72000,624
Shipment,MOTHERHUB_BIL-KALYANMPHUB_MUM,19.2374987,73.0362352,19.250139,73.124082,MOTHERHUB_BIL,KALYANMPHUB_MUM,72000,50
Shipment,MOTHERHUB_BIL-KHARGHARHUB_MUM,19.2374987,73.0362352,19.027478,73.060775,MOTHERHUB_BIL,KHARGHARHUB_MUM,72000,703
Shipment,MOTHERHUB_BIL-KHOPOLIHUB_KPL,19.2374987,73.0362352,18.7849547,73.3458623,MOTHERHUB_BIL,KHOPOLIHUB_KPL,72000,387
Shipment,MOTHERHUB_BIL-MOTHERHUB_BIL,19.2374987,73.0362352,19.2374987,73.0362352,MOTHERHUB_BIL,MOTHERHUB_BIL,72000,874
Shipment,MOTHERHUB_BIL-PANVELHUB_PNV,19.2374987,73.0362352,19.026009,73.089823,MOTHERHUB_BIL,PANVELHUB_PNV,72000,642
Shipment,MOTHERHUB_BIL-THANEHUB_MUM,19.2374987,73.0362352,19.186752,72.954549,MOTHERHUB_BIL,THANEHUB_MUM,72000,896
Shipment,MOTHERHUB_BIL-THANEMPHUB_MUM,19.2374987,73.0362352,19.186752,72.954549,MOTHERHUB_BIL,THANEMPHUB_MUM,72000,25
Shipment,MOTHERHUB_BIL-ULHASNAGARHUB_MUM,19.2374987,73.0362352,19.2215,73.1645,MOTHERHUB_BIL,ULHASNAGARHUB_MUM,72000,274
Shipment,MOTHERHUB_BIL-VASAIHUB_MUM,19.2374987,73.0362352,19.4057556,72.8523072,MOTHERHUB_BIL,VASAIHUB_MUM,72000,596
Shipment,MOTHERHUB_BIL-VASAIMPHUB_MUM,19.2374987,73.0362352,19.4057556,72.8523072,MOTHERHUB_BIL,VASAIMPHUB_MUM,72000,66
Shipment,MOTHERHUB_BIL-VASHIHUB_NBM,19.2374987,73.0362352,19.060814,73.002852,MOTHERHUB_BIL,VASHIHUB_NBM,72000,357
Shipment,MOTHERHUB_BIL-VASHIMPHUB_MUM,19.2374987,73.0362352,19.060814,73.002852,MOTHERHUB_BIL,VASHIMPHUB_MUM,72000,87
Shipment,MOTHERHUB_BIL-VIRARHUB_MUM,19.2374987,73.0362352,19.466742,72.810639,MOTHERHUB_BIL,VIRARHUB_MUM,72000,414
