Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,COCHINTCHUB_KAM-ALLEPPEYHUB_ALP-c,10.0435449,76.3367287,9.4837391,76.3284354,COCHINTCHUB_KAM,ALLEPPEYHUB_ALP,72000,198,14400
Shipment,COCHINTCHUB_KAM-ALLEPPEYHUB_ALP-p,10.0435449,76.3367287,9.4837391,76.3284354,COCHINTCHUB_KAM,ALLEPPEYHUB_ALP,72000,485,0
Shipment,COCHINTCHUB_KAM-ALUVAHUB_ALU-c,10.0435449,76.3367287,10.111613,76.373885,COCHINTCHUB_KAM,ALUVAHUB_ALU,72000,230,14400
Shipment,COCHINTCHUB_KAM-ALUVAHUB_ALU-p,10.0435449,76.3367287,10.111613,76.373885,COCHINTCHUB_KAM,ALUVAHUB_ALU,72000,870,0
Shipment,COCHINTCHUB_KAM-ERNAKULAMHUB_COK-c,10.0435449,76.3367287,9.999502,76.348626,COCHINTCHUB_KAM,ERNAKULAMHUB_COK,72000,217,14400
Shipment,COCHINTCHUB_KAM-ERNAKULAMHUB_COK-p,10.0435449,76.3367287,9.999502,76.348626,COCHINTCHUB_KAM,ERNAKULAMHUB_COK,72000,492,0
Shipment,COCHINTCHUB_KAM-IRINJALAKUDAHUB_IJK-c,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,IRINJALAKUDAHUB_IJK,72000,194,14400
Shipment,COCHINTCHUB_KAM-IRINJALAKUDAHUB_IJK-p,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,IRINJALAKUDAHUB_IJK,72000,276,0
Shipment,COCHINTCHUB_KAM-KOCHIHUB_COK-c,10.0435449,76.3367287,9.984803,76.29502,COCHINTCHUB_KAM,KOCHIHUB_COK,72000,197,14400
Shipment,COCHINTCHUB_KAM-KOCHIHUB_COK-p,10.0435449,76.3367287,9.984803,76.29502,COCHINTCHUB_KAM,KOCHIHUB_COK,72000,936,0
Shipment,COCHINTCHUB_KAM-KOTTAYAMHUB_KTY-c,10.0435449,76.3367287,9.587114,76.5235,COCHINTCHUB_KAM,KOTTAYAMHUB_KTY,72000,214,14400
