Type,key_new,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load
Shipment,COCHINTCHUB_KAM-ALLEPPEYHUB_ALP,10.0435449,76.3367287,9.4837391,76.3284354,COCHINTCHUB_KAM,ALLEPPEYHUB_ALP,72000,683
Shipment,COCHINTCHUB_KAM-ALUVAHUB_ALU,10.0435449,76.3367287,10.111613,76.373885,COCHINTCHUB_KAM,ALUVAHUB_ALU,72000,1100
Shipment,COCHINTCHUB_KAM-ERNAKULAMHUB_COK,10.0435449,76.3367287,9.999502,76.348626,COCHINTCHUB_KAM,ERNAKULAMHUB_COK,72000,709
Shipment,COCHINTCHUB_KAM-IRINJALAKUDAHUB_IJK,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,IRINJALAKUDAHUB_IJK,72000,470
Shipment,COCHINTCHUB_KAM-KOCHIHUB_COK,10.0435449,76.3367287,9.984803,76.29502,COCHINTCHUB_KAM,KOCHIHUB_COK,72000,1133
Shipment,COCHINTCHUB_KAM-KOTTAYAMHUB_KTY,10.0435449,76.3367287,9.587114,76.5235,COCHINTCHUB_KAM,KOTTAYAMHUB_KTY,72000,742
Shipment,COCHINTCHUB_KAM-PALAHUB_PLA,10.0435449,76.3367287,9.702529,76.664169,COCHINTCHUB_KAM,PALAHUB_PLA,72000,588
Shipment,COCHINTCHUB_KAM-THODUPUZHAHUB_THP,10.0435449,76.3367287,9.89941,76.71859,COCHINTCHUB_KAM,THODUPUZHAHUB_THP,72000,734
Shipment,COCHINTCHUB_KAM-TRIPUNITHURAHUB_TRT,10.0435449,76.3367287,9.9347282,76.337804,COCHINTCHUB_KAM,TRIPUNITHURAHUB_TRT,72000,495
Shipment,COCHINTCHUB_KAM-TRISSURHUB_TCR,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,TRISSURHUB_TCR,72000,940
Shipment,MOTHERHUB_ABL-AMBALAHUB_UMB,30.396612,76.8116,30.334201,76.877595,MOTHERHUB_ABL,AMBALAHUB_UMB,72000,535
Shipment,MOTHERHUB_ABL-AMBALAMPHUB_UMB,30.396612,76.8116,30.334201,76.877595,MOTHERHUB_ABL,AMBALAMPHUB_UMB,72000,23
Shipment,MOTHERHUB_AMD-AJWAHUB_BDQ,22.8978044,72.5902141,22.3116149,73.238837,MOTHERHUB_AMD,AJWAHUB_BDQ,72000,51
Shipment,MOTHERHUB_AMD-AKOTAHUB_BDQ,22.8978044,72.5902141,22.3058105,73.1799038,MOTHERHUB_AMD,AKOTAHUB_BDQ,72000,1130
Shipment,MOTHERHUB_AMD-ANANDHUB_AMD,22.8978044,72.5902141,22.556447,72.963939,MOTHERHUB_AMD,ANANDHUB_AMD,72000,357
Shipment,MOTHERHUB_AMD-BAPUNAGARHUB_AMD,22.8978044,72.5902141,23.0387,72.6308,MOTHERHUB_AMD,BAPUNAGARHUB_AMD,72000,386
Shipment,MOTHERHUB_AMD-CGROADHUB_ADI,22.8978044,72.5902141,23.0386028,72.5633219,MOTHERHUB_AMD,CGROADHUB_ADI,72000,465
Shipment,MOTHERHUB_AMD-GANDHINAGARHUB_GAN,22.8978044,72.5902141,23.2019832,72.6147011,MOTHERHUB_AMD,GANDHINAGARHUB_GAN,72000,562
Shipment,MOTHERHUB_AMD-MANINAGARHUB_ADI,22.8978044,72.5902141,22.9893473,72.6426503,MOTHERHUB_AMD,MANINAGARHUB_ADI,72000,777
Shipment,MOTHERHUB_AMD-MANINAGARMPHUB_AMD,22.8978044,72.5902141,22.9893473,72.64265,MOTHERHUB_AMD,MANINAGARMPHUB_AMD,72000,230
Shipment,MOTHERHUB_AMD-NADIADHUB_AMD,22.8978044,72.5902141,23.471,88.5565,MOTHERHUB_AMD,NADIADHUB_AMD,72000,113
Shipment,MOTHERHUB_AMD-RANIPHUB_AMD,22.8978044,72.5902141,23.0803,72.5719,MOTHERHUB_AMD,RANIPHUB_AMD,72000,547
Shipment,MOTHERHUB_AMD-VEJALPURHUB_ADI,22.8978044,72.5902141,23.0096118,72.5243393,MOTHERHUB_AMD,VEJALPURHUB_ADI,72000,449
Shipment,MOTHERHUB_BAM-ALIPURHUB_DEL,28.545321,77.02914,28.711593,77.175141,MOTHERHUB_BAM,ALIPURHUB_DEL,72000,583
Shipment,MOTHERHUB_BAM-ALIPURMPHUB_DEL,28.545321,77.02914,28.711593,77.175141,MOTHERHUB_BAM,ALIPURMPHUB_DEL,72000,421
Shipment,MOTHERHUB_BAM-ANANDVIHARHUB_DEL,28.545321,77.02914,28.644665,77.315615,MOTHERHUB_BAM,ANANDVIHARHUB_DEL,72000,1529
Shipment,MOTHERHUB_BAM-BADSHAHPURHUB_DEL,28.545321,77.02914,28.396851,77.046063,MOTHERHUB_BAM,BADSHAHPURHUB_DEL,72000,1214
Shipment,MOTHERHUB_BAM-BADSHAHPURMPHUB_DEL,28.545321,77.02914,28.396851,77.046063,MOTHERHUB_BAM,BADSHAHPURMPHUB_DEL,72000,30
Shipment,MOTHERHUB_BAM-BAHADURGARHHUB_BHD,28.545321,77.02914,28.70882,76.886508,MOTHERHUB_BAM,BAHADURGARHHUB_BHD,72000,164
Shipment,MOTHERHUB_BAM-BRITANIACHOWKMPHUB_DEL,28.545321,77.02914,28.678493,77.149203,MOTHERHUB_BAM,BRITANIACHOWKMPHUB_DEL,72000,1919
Shipment,MOTHERHUB_BAM-CHHATARPURHUB_DEL,28.545321,77.02914,28.45273,77.186017,MOTHERHUB_BAM,CHHATARPURHUB_DEL,72000,723
Shipment,MOTHERHUB_BAM-DARYAGANJMPHUB_DEL,28.545321,77.02914,28.6,77.2,MOTHERHUB_BAM,DARYAGANJMPHUB_DEL,72000,667
Shipment,MOTHERHUB_BAM-DHARUHERAHUB_DRH,28.545321,77.02914,28.209118,76.77549,MOTHERHUB_BAM,DHARUHERAHUB_DRH,72000,800
Shipment,MOTHERHUB_BAM-DILSHADGARDENHUB_DEL,28.545321,77.02914,28.673815,77.313828,MOTHERHUB_BAM,DILSHADGARDENHUB_DEL,72000,1971
Shipment,MOTHERHUB_BAM-DLFPHASE1HUB_DEL,28.545321,77.02914,28.472774,77.093271,MOTHERHUB_BAM,DLFPHASE1HUB_DEL,72000,761
Shipment,MOTHERHUB_BAM-DLFPHASE1MPHUB_DEL,28.545321,77.02914,28.472774,77.093271,MOTHERHUB_BAM,DLFPHASE1MPHUB_DEL,72000,129
Shipment,MOTHERHUB_BAM-DWARKAHUB_DEL,28.545321,77.02914,28.581638,77.015229,MOTHERHUB_BAM,DWARKAHUB_DEL,72000,2063
Shipment,MOTHERHUB_BAM-FARIDABADHUB_DEL,28.545321,77.02914,28.4527269,77.3140897,MOTHERHUB_BAM,FARIDABADHUB_DEL,72000,1608
Shipment,MOTHERHUB_BAM-FARIDABADMPHUB_DEL,28.545321,77.02914,28.4527269,77.3140897,MOTHERHUB_BAM,FARIDABADMPHUB_DEL,72000,186
Shipment,MOTHERHUB_BAM-GHAZIABADHUB_DEL,28.545321,77.02914,28.68712,77.43751,MOTHERHUB_BAM,GHAZIABADHUB_DEL,72000,1277
Shipment,MOTHERHUB_BAM-GHAZIABADMPHUB_DEL,28.545321,77.02914,28.68712,77.43751,MOTHERHUB_BAM,GHAZIABADMPHUB_DEL,72000,97
Shipment,MOTHERHUB_BAM-GREATERNOIDAHUB_DEL,28.545321,77.02914,28.460267,77.523498,MOTHERHUB_BAM,GREATERNOIDAHUB_DEL,72000,850
Shipment,MOTHERHUB_BAM-GURGAONHUB_DEL,28.545321,77.02914,28.494505,77.069283,MOTHERHUB_BAM,GURGAONHUB_DEL,72000,1128
Shipment,MOTHERHUB_BAM-GURGAONMANESARHUB_DEL,28.545321,77.02914,28.439369,77.011105,MOTHERHUB_BAM,GURGAONMANESARHUB_DEL,72000,962
Shipment,MOTHERHUB_BAM-GURGAONMANESARMPHUB_DEL,28.545321,77.02914,28.439369,77.011105,MOTHERHUB_BAM,GURGAONMANESARMPHUB_DEL,72000,169
Shipment,MOTHERHUB_BAM-GURGAONMPHUB_DEL,28.545321,77.02914,28.494505,77.069283,MOTHERHUB_BAM,GURGAONMPHUB_DEL,72000,76
Shipment,MOTHERHUB_BAM-JHILMILMPHUB_DEL,28.545321,77.02914,28.7,77.3,MOTHERHUB_BAM,JHILMILMPHUB_DEL,72000,810
Shipment,MOTHERHUB_BAM-JINDHUB_JND,28.545321,77.02914,28.878246,76.587201,MOTHERHUB_BAM,JINDHUB_JND,72000,255
Shipment,MOTHERHUB_BAM-KAROLBAGHHUB_DEL,28.545321,77.02914,28.661687,77.15516,MOTHERHUB_BAM,KAROLBAGHHUB_DEL,72000,1823
Shipment,MOTHERHUB_BAM-KILOKARIHUB_DEL,28.545321,77.02914,28.509882,77.2981478,MOTHERHUB_BAM,KILOKARIHUB_DEL,72000,1372
Shipment,MOTHERHUB_BAM-MAYURVIHARMPHUB_DEL,28.545321,77.02914,28.6,77.3,MOTHERHUB_BAM,MAYURVIHARMPHUB_DEL,72000,789
Shipment,MOTHERHUB_BAM-MEERUTHUB_MEE,28.545321,77.02914,28.5342317,77.2746536,MOTHERHUB_BAM,MEERUTHUB_MEE,72000,892
Shipment,MOTHERHUB_BAM-MEERUTMPHUB_MEE,28.545321,77.02914,28.5342317,77.2746536,MOTHERHUB_BAM,MEERUTMPHUB_MEE,72000,80
Shipment,MOTHERHUB_BAM-MODELTOWNHUB_DEL,28.545321,77.02914,28.720928,77.17626,MOTHERHUB_BAM,MODELTOWNHUB_DEL,72000,1463
Shipment,MOTHERHUB_BAM-MODELTOWNMPHUB_DEL,28.545321,77.02914,28.720928,77.17626,MOTHERHUB_BAM,MODELTOWNMPHUB_DEL,72000,164
Shipment,MOTHERHUB_BAM-NARAINAHUB_DEL,28.545321,77.02914,28.644308,77.146477,MOTHERHUB_BAM,NARAINAHUB_DEL,72000,1501
Shipment,MOTHERHUB_BAM-NARAINAMPHUB_DEL,28.545321,77.02914,28.644308,77.146477,MOTHERHUB_BAM,NARAINAMPHUB_DEL,72000,450
Shipment,MOTHERHUB_BAM-NOIDAHUB_DEL,28.545321,77.02914,28.557544,77.357027,MOTHERHUB_BAM,NOIDAHUB_DEL,72000,809
Shipment,MOTHERHUB_BAM-NOIDAMPHUB_DEL,28.545321,77.02914,28.557544,77.357027,MOTHERHUB_BAM,NOIDAMPHUB_DEL,72000,103
Shipment,MOTHERHUB_BAM-OKHLAHUB_DEL,28.545321,77.02914,28.5342317,77.2746536,MOTHERHUB_BAM,OKHLAHUB_DEL,72000,2290
Shipment,MOTHERHUB_BAM-PALWALHUB_PLW,28.545321,77.02914,28.151348,77.334179,MOTHERHUB_BAM,PALWALHUB_PLW,72000,199
Shipment,MOTHERHUB_BAM-PATAUDIMPHUB_DEL,28.545321,77.02914,28.3,76.8,MOTHERHUB_BAM,PATAUDIMPHUB_DEL,72000,23
Shipment,MOTHERHUB_BAM-PEERAGARHI_PRG,28.545321,77.02914,28.682213,77.090671,MOTHERHUB_BAM,PEERAGARHI_PRG,72000,2429
Shipment,MOTHERHUB_BAM-PEERAGARHIMPHUB_DEL,28.545321,77.02914,28.7,77.1,MOTHERHUB_BAM,PEERAGARHIMPHUB_DEL,72000,780
Shipment,MOTHERHUB_BAM-PRAHLADPURMPHUB_DEL,28.545321,77.02914,28.501376,77.282889,MOTHERHUB_BAM,PRAHLADPURMPHUB_DEL,72000,513
Shipment,MOTHERHUB_BAM-REWARIHUB_RWR,28.545321,77.02914,28.197577,76.6242022,MOTHERHUB_BAM,REWARIHUB_RWR,72000,351
Shipment,MOTHERHUB_BAM-ROHTAKHUB_ROH,28.545321,77.02914,28.882957,76.619906,MOTHERHUB_BAM,ROHTAKHUB_ROH,72000,687
Shipment,MOTHERHUB_BAM-SAHIBABADHUB_DEL,28.545321,77.02914,28.653727,77.362186,MOTHERHUB_BAM,SAHIBABADHUB_DEL,72000,779
Shipment,MOTHERHUB_BAM-SONEPATHUB_SOP,28.545321,77.02914,28.999545,77.032738,MOTHERHUB_BAM,SONEPATHUB_SOP,72000,481
Shipment,MOTHERHUB_BAM-SONEPATMPHUB_SOP,28.545321,77.02914,28.999545,77.032738,MOTHERHUB_BAM,SONEPATMPHUB_SOP,72000,23
Shipment,MOTHERHUB_BAM-VASANTKUNJHUB_DEL,28.545321,77.02914,28.540972,77.117725,MOTHERHUB_BAM,VASANTKUNJHUB_DEL,72000,1030
Shipment,MOTHERHUB_BBI-BHUBANESWARHUB_BBI,20.295471,85.84707,20.2746209,85.8448786,MOTHERHUB_BBI,BHUBANESWARHUB_BBI,72000,1018
Shipment,MOTHERHUB_BBI-CHANDRASEKHARPURHUB_BBI,20.295471,85.84707,20.325572,85.810221,MOTHERHUB_BBI,CHANDRASEKHARPURHUB_BBI,72000,931
Shipment,MOTHERHUB_BBI-CUTTACKHUB_BBI,20.295471,85.84707,28.7040592,77.1024902,MOTHERHUB_BBI,CUTTACKHUB_BBI,72000,1254
Shipment,MOTHERHUB_BBI-GAUTAMNAGARHUB_BBI,20.295471,85.84707,28.5621,77.2139,MOTHERHUB_BBI,GAUTAMNAGARHUB_BBI,72000,299
Shipment,MOTHERHUB_BBI-KHANDAGIRIHUB_BBI,20.295471,85.84707,20.2705,85.8064,MOTHERHUB_BBI,KHANDAGIRIHUB_BBI,72000,848
Shipment,MOTHERHUB_BBI-PURIHUB_PUR,20.295471,85.84707,19.8162,85.8341,MOTHERHUB_BBI,PURIHUB_PUR,72000,270
Shipment,MOTHERHUB_BIL-BADLAPURHUB_BAP,19.2374987,73.0362352,19.180241,73.230829,MOTHERHUB_BIL,BADLAPURHUB_BAP,72000,166
Shipment,MOTHERHUB_BIL-BHIWANDIHUB_BHI,19.2374987,73.0362352,19.240438,73.0449505,MOTHERHUB_BIL,BHIWANDIHUB_BHI,72000,85
Shipment,MOTHERHUB_BIL-BHIWANDIMPHUB_BHI,19.2374987,73.0362352,19.240438,73.0449505,MOTHERHUB_BIL,BHIWANDIMPHUB_BHI,72000,183
Shipment,MOTHERHUB_BIL-DOMBIVLIHUB_MUM,19.2374987,73.0362352,19.2192145,73.1196119,MOTHERHUB_BIL,DOMBIVLIHUB_MUM,72000,529
Shipment,MOTHERHUB_BIL-GHANSOLIHUB_MUM,19.2374987,73.0362352,19.116972,73.004523,MOTHERHUB_BIL,GHANSOLIHUB_MUM,72000,775
Shipment,MOTHERHUB_BIL-GHODBUNDERHUB_MUM,19.2374987,73.0362352,19.228795,72.982964,MOTHERHUB_BIL,GHODBUNDERHUB_MUM,72000,460
Shipment,MOTHERHUB_BIL-KALYANHUB_MUM,19.2374987,73.0362352,19.250139,73.124082,MOTHERHUB_BIL,KALYANHUB_MUM,72000,624
Shipment,MOTHERHUB_BIL-KALYANMPHUB_MUM,19.2374987,73.0362352,19.250139,73.124082,MOTHERHUB_BIL,KALYANMPHUB_MUM,72000,50
Shipment,MOTHERHUB_BIL-KHARGHARHUB_MUM,19.2374987,73.0362352,19.027478,73.060775,MOTHERHUB_BIL,KHARGHARHUB_MUM,72000,703
Shipment,MOTHERHUB_BIL-KHOPOLIHUB_KPL,19.2374987,73.0362352,18.7849547,73.3458623,MOTHERHUB_BIL,KHOPOLIHUB_KPL,72000,387
Shipment,MOTHERHUB_BIL-MOTHERHUB_BIL,19.2374987,73.0362352,19.2374987,73.0362352,MOTHERHUB_BIL,MOTHERHUB_BIL,72000,874
Shipment,MOTHERHUB_BIL-PANVELHUB_PNV,19.2374987,73.0362352,19.026009,73.089823,MOTHERHUB_BIL,PANVELHUB_PNV,72000,642
