 vehicle              , activity              , job             , arrTime         , endTime         , costs           ,
,,,,,,
1, 6-MotherHub_MED-28   , start                 , -               , undef           ,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-KurnoolHub_KRN ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-BiwiNagarHub_NLR ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-SrikalahastiHub_SKH ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-KadapaHub_KDP ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-MahbubnagarHub_MBN ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-TenaliHub_TNL ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-VijayawadaHub_VJA ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-SitaramNagarHub_GTR ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-VikarabadHub_VKB ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-EluruHub_ELU ,0,0,0
1, 6-MotherHub_MED-28   , pickupShipment        , MotherHub_MED-OngoleHub_ONG ,0,0,0
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-VikarabadHub_VKB ,5762,5762,2586071
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-MahbubnagarHub_MBN ,11761,11761,5278493
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-KurnoolHub_KRN ,20680,20680,9281179
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-KadapaHub_KDP ,35977,35977,16146676
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-SrikalahastiHub_SKH ,46631,46631,20928201
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-BiwiNagarHub_NLR ,53716,53716,24107736
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-OngoleHub_ONG ,64514,64514,28953814
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-SitaramNagarHub_GTR ,73220,73220,32861015
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-TenaliHub_TNL ,75133,75133,33719793
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-VijayawadaHub_VJA ,77919,77919,34970146
1, 6-MotherHub_MED-28   , deliverShipment       , MotherHub_MED-EluruHub_ELU ,82092,82092,36842888
