Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,Delivery_Start_time,Delivery_end_time
Shipment,MotherHub_BNL_MotherHub_KOL_0,28.544869,77.128134,22.708183,88.28565,MotherHub_BNL,MotherHub_KOL,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_KOL_1,28.544869,77.128134,22.708183,88.28565,MotherHub_BNL,MotherHub_KOL,97200,8274,97200,345600
Shipment,MotherHub_BNL_MotherHub_BLR_0,28.544869,77.128134,12.983737,77.824387,MotherHub_BNL,MotherHub_BLR,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_BLR_1,28.544869,77.128134,12.983737,77.824387,MotherHub_BNL,MotherHub_BLR,97200,6615,97200,345600
Shipment,MotherHub_BNL_MotherHub_BIL_0,28.544869,77.128134,19.2374987,73.0362352,MotherHub_BNL,MotherHub_BIL,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_BIL_1,28.544869,77.128134,19.2374987,73.0362352,MotherHub_BNL,MotherHub_BIL,97200,6365,97200,345600
Shipment,MotherHub_BNL_MotherHub_ABL_0,28.544869,77.128134,30.396612,76.8116,MotherHub_BNL,MotherHub_ABL,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_ABL_1,28.544869,77.128134,30.396612,76.8116,MotherHub_BNL,MotherHub_ABL,97200,3976,97200,345600
Shipment,MotherHub_BNL_MotherHub_PAT_0,28.544869,77.128134,25.587197,85.185842,MotherHub_BNL,MotherHub_PAT,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_PAT_1,28.544869,77.128134,25.587197,85.185842,MotherHub_BNL,MotherHub_PAT,97200,3115,97200,345600
Shipment,MotherHub_BNL_MotherHub_AMD_0,28.544869,77.128134,22.8978044,72.5902141,MotherHub_BNL,MotherHub_AMD,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_AMD_1,28.544869,77.128134,22.8978044,72.5902141,MotherHub_BNL,MotherHub_AMD,97200,3011,97200,345600
Shipment,MotherHub_BNL_MotherHub_MED_0,28.544869,77.128134,17.580519,78.469527,MotherHub_BNL,MotherHub_MED,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_MED_1,28.544869,77.128134,17.580519,78.469527,MotherHub_BNL,MotherHub_MED,97200,2782,97200,345600
Shipment,MotherHub_BNL_KOCHIHUB_COK_0,28.544869,77.128134,9.984803,76.29502,MotherHub_BNL,KOCHIHUB_COK,97200,9000,97200,345600
Shipment,MotherHub_BNL_KOCHIHUB_COK_1,28.544869,77.128134,9.984803,76.29502,MotherHub_BNL,KOCHIHUB_COK,97200,2198,97200,345600
Shipment,MotherHub_BNL_MotherHub_GAU_0,28.544869,77.128134,26.043197,91.705232,MotherHub_BNL,MotherHub_GAU,97200,9000,97200,345600
Shipment,MotherHub_BNL_MotherHub_GAU_1,28.544869,77.128134,26.043197,91.705232,MotherHub_BNL,MotherHub_GAU,97200,1559,97200,345600
Shipment,MotherHub_BNL_MOTHERHUB_LKO,28.544869,77.128134,26.755912,80.910939,MotherHub_BNL,MOTHERHUB_LKO,97200,8510,97200,345600
Shipment,MotherHub_BLR_KOCHIHUB_COK,12.983737,77.824387,9.984803,76.29502,MotherHub_BLR,KOCHIHUB_COK,97200,8310,97200,345600
