Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load
Shipment,MOTHERHUB_IXR-DHANBADHUB_DBD,23.352715,85.343538,23.8234168,86.4348351,MOTHERHUB_IXR,DHANBADHUB_DBD,72000,1474
Shipment,MOTHERHUB_IXR-JAMSHEDPURHUB_IXW,23.352715,85.343538,22.8085525,86.2052305,MOTHERHUB_IXR,JAMSHEDPURHUB_IXW,72000,1846
Shipment,MOTHERHUB_AMD-BOPALHUB_AMD,22.8978044,72.5902141,23.2599,77.4126,MOTHERHUB_AMD,BOPALHUB_AMD,72000,385
Shipment,MOTHERHUB_IXR-BOKAROHUB_BKO,23.352715,85.343538,23.666672,86.147785,MOTHERHUB_IXR,BOKAROHUB_BKO,72000,902
Shipment,MOTHERHUB_IXR-ADITYAPURHUB_IXW,23.352715,85.343538,22.7908,86.1661,MOTHERHUB_IXR,ADITYAPURHUB_IXW,72000,572
Shipment,MOTHERHUB_IXR-HAZARIBAGHHUB_HZB,23.352715,85.343538,24.026039,85.37874,MOTHERHUB_IXR,HAZARIBAGHHUB_HZB,72000,736
Shipment,MOTHERHUB_JAI-SRIGANGANAGARHUB_SGN,26.948928,75.761927,29.9077666,73.8765929,MOTHERHUB_JAI,SRIGANGANAGARHUB_SGN,72000,667
Shipment,MOTHERHUB_JAI-BHILWARAHUB_BLW,26.948928,75.761927,25.342893,74.621331,MOTHERHUB_JAI,BHILWARAHUB_BLW,72000,628
Shipment,MOTHERHUB_JAI-JHUNJHUNUHUB_JNJ,26.948928,75.761927,28.122801,75.382531,MOTHERHUB_JAI,JHUNJHUNUHUB_JNJ,72000,346
Shipment,MOTHERHUB_JAI-BIKANERHUB_BKB,26.948928,75.761927,28.016302,73.322003,MOTHERHUB_JAI,BIKANERHUB_BKB,72000,1098
Shipment,MOTHERHUB_JAI-UDAIPURHUB_UDR,26.948928,75.761927,24.608698,73.68845,MOTHERHUB_JAI,UDAIPURHUB_UDR,72000,1272
Shipment,MOTHERHUB_JAI-AJMERHUB_AJM,26.948928,75.761927,26.473342,74.613093,MOTHERHUB_JAI,AJMERHUB_AJM,72000,1026
Shipment,MOTHERHUB_BAM-AGRAHUB_AGR,28.545321,77.02914,27.205372,77.970991,MOTHERHUB_BAM,AGRAHUB_AGR,72000,816
Shipment,MOTHERHUB_JAI-BHARATPURHUB_BTP,26.948928,75.761927,27.22137,77.483628,MOTHERHUB_JAI,BHARATPURHUB_BTP,72000,394
Shipment,MOTHERHUB_BAM-ALIGARHHUB_ALG,28.545321,77.02914,27.89074,78.03265,MOTHERHUB_BAM,ALIGARHHUB_ALG,72000,645
Shipment,MOTHERHUB_JAI-ALWARHUB_ALW,26.948928,75.761927,27.559011,76.611801,MOTHERHUB_JAI,ALWARHUB_ALW,72000,682
Shipment,MOTHERHUB_BAM-BAREILLYHUB_BRY,28.545321,77.02914,28.381579,79.435057,MOTHERHUB_BAM,BAREILLYHUB_BRY,72000,670
Shipment,MOTHERHUB_JAI-KOTAHUB_KTU,26.948928,75.761927,25.12776,75.851217,MOTHERHUB_JAI,KOTAHUB_KTU,72000,1872
Shipment,MOTHERHUB_BAM-BHIWANIHUB_DEL,28.545321,77.02914,28.791677,76.157361,MOTHERHUB_BAM,BHIWANIHUB_DEL,72000,367
Shipment,MOTHERHUB_JAI-PILANIHUB_PIL,26.948928,75.761927,28.364591,75.595035,MOTHERHUB_JAI,PILANIHUB_PIL,72000,452
