Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load
Shipment,MOTHERHUB_BIL-JALGAONHUB_JGO,19.2374987,73.0362352,21.0061599,75.5807333,MOTHERHUB_BIL,JALGAONHUB_JGO,72000,1013
Shipment,MOTHERHUB_PUNE-WARDHAMANNAGAR_NAG,18.6087917,73.7268817,21.15,79.1376,MOTHERHUB_PUNE,WARDHAMANNAGAR_NAG,72000,1561
Shipment,MOTHERHUB_PUNE-SATARAHUB_STR,18.6087917,73.7268817,17.7143153,74.0257892,MOTHERHUB_PUNE,SATARAHUB_STR,72000,568
Shipment,MOTHERHUB_PUNE-SANGLIHUB_SNG,18.6087917,73.7268817,16.8614942,74.569716,MOTHERHUB_PUNE,SANGLIHUB_SNG,72000,1100
Shipment,MOTHERHUB_PUNE-KOLHAPURHUB_KHL,18.6087917,73.7268817,16.700753,74.2376312,MOTHERHUB_PUNE,KOLHAPURHUB_KHL,72000,1226
Shipment,MOTHERHUB_PUNE-KARADHUB_KRD,18.6087917,73.7268817,17.2808646,74.1723004,MOTHERHUB_PUNE,KARADHUB_KRD,72000,420
Shipment,MOTHERHUB_PUNE-ICHALKARANJIHUB_KHL,18.6087917,73.7268817,16.687849,74.473834,MOTHERHUB_PUNE,ICHALKARANJIHUB_KHL,72000,498
Shipment,MOTHERHUB_PUNE-BARAMATIHUB_BRM,18.6087917,73.7268817,18.1803202,74.6079639,MOTHERHUB_PUNE,BARAMATIHUB_BRM,72000,470
Shipment,MOTHERHUB_PUNE-TRIMURTINAGARHUB_NAG,18.6087917,73.7268817,21.1266402,79.0613126,MOTHERHUB_PUNE,TRIMURTINAGARHUB_NAG,72000,1449
Shipment,MOTHERHUB_PUNE-AMRAVATIHUB_AMI,18.6087917,73.7268817,20.9246248,77.7514448,MOTHERHUB_PUNE,AMRAVATIHUB_AMI,72000,692
Shipment,MOTHERHUB_PUNE-AHMEDNAGARHUB_AHN,18.6087917,73.7268817,19.120066,74.748246,MOTHERHUB_PUNE,AHMEDNAGARHUB_AHN,72000,846
Shipment,MOTHERHUB_PUNE-AKOLAHUB_AKD,18.6087917,73.7268817,20.6881142,77.0033407,MOTHERHUB_PUNE,AKOLAHUB_AKD,72000,488
Shipment,MOTHERHUB_PUNE-WADIHUB_NAG,18.6087917,73.7268817,17.0624,76.9816,MOTHERHUB_PUNE,WADIHUB_NAG,72000,1076
Shipment,MOTHERHUB_PUNE-NANDEDHUB_NDC,18.6087917,73.7268817,19.1574438,77.3097367,MOTHERHUB_PUNE,NANDEDHUB_NDC,72000,948
Shipment,MOTHERHUB_PUNE-BEEDHUB_BED,18.6087917,73.7268817,18.9861908,75.7443401,MOTHERHUB_PUNE,BEEDHUB_BED,72000,394
Shipment,MOTHERHUB_PUNE-JALNAHUB_JLN,18.6087917,73.7268817,19.8236752,75.8799406,MOTHERHUB_PUNE,JALNAHUB_JLN,72000,414
Shipment,MOTHERHUB_PUNE-AURANGABADHUB_IXU,18.6087917,73.7268817,19.8668866,75.3479589,MOTHERHUB_PUNE,AURANGABADHUB_IXU,72000,1008
Shipment,MOTHERHUB_PUNE-CORNERROADHUB_IXU,18.6087917,73.7268817,19.884946,75.318143,MOTHERHUB_PUNE,CORNERROADHUB_IXU,72000,1984
Shipment,MOTHERHUB_PUNE-SOLAPURHUB_SSE,18.6087917,73.7268817,17.6529454,75.9116644,MOTHERHUB_PUNE,SOLAPURHUB_SSE,72000,1070
Shipment,MOTHERHUB_PUNE-LATURHUB_LTU,18.6087917,73.7268817,18.3838654,76.5680813,MOTHERHUB_PUNE,LATURHUB_LTU,72000,768
Shipment,MOTHERHUB_BIL-VALSADHUB_AMD,19.2374987,73.0362352,20.594504,72.934177,MOTHERHUB_BIL,VALSADHUB_AMD,72000,656
Shipment,MOTHERHUB_BIL-VAPIHUB_AMD,19.2374987,73.0362352,20.366241,72.922447,MOTHERHUB_BIL,VAPIHUB_AMD,72000,1560
Shipment,MOTHERHUB_BIL-BHUSAWALHUB_JGO,19.2374987,73.0362352,21.0455,75.8011,MOTHERHUB_BIL,BHUSAWALHUB_JGO,72000,71
Shipment,MOTHERHUB_BIL-DHULEHUB_DHL,19.2374987,73.0362352,20.8967048,74.7634276,MOTHERHUB_BIL,DHULEHUB_DHL,72000,404
Shipment,MOTHERHUB_BIL-PANCHAVATIHUB_NSK,19.2374987,73.0362352,20.0059,73.7934,MOTHERHUB_BIL,PANCHAVATIHUB_NSK,72000,598
Shipment,MOTHERHUB_BIL-NASHIKHUB_NSK,19.2374987,73.0362352,19.997453,73.789802,MOTHERHUB_BIL,NASHIKHUB_NSK,72000,706
Shipment,MOTHERHUB_BIL-COLLEGEROADHUB_NSK,19.2374987,73.0362352,20.0012664,73.7626319,MOTHERHUB_BIL,COLLEGEROADHUB_NSK,72000,1104
