type,vehicleID,src_lat,src_long,Fleet_Type,Capacity ,connectionTime
Air,MotherHub_BNO_6E_494,28.544563,77.031259,6E_494,1000000000,2
Air,MotherHub_BNO_6E_652,28.544563,77.031259,6E_652,1000000000,3.75
Air,MotherHub_BNO_6E_5126,28.544563,77.031259,6E_5126,1000000000,7.33
Air,MotherHub_BNO_6E_581,28.544563,77.031259,6E_581,1000000000,9.25
Air,MotherHub_BNO_6E_493,28.544563,77.031259,6E_493,1000000000,10.67
Air,MotherHub_BNO_6E_5192,28.544563,77.031259,6E_5192,1000000000,10.75
Air,MotherHub_BNO_6E_6819,28.544563,77.031259,6E_6819,1000000000,0.42
Air,MotherHub_BNO_6E_135,28.544563,77.031259,6E_135,1000000000,5.42
Air,MotherHub_BNO_6E_929,28.544563,77.031259,6E_929,1000000000,9.83
Air,MotherHub_BNO_6E_436,28.544563,77.031259,6E_436,1000000000,11.83
Air,MotherHub_BNO_6E_221,28.544563,77.031259,6E_221,1000000000,14.92
Air,MotherHub_BNO_6E_894,28.544563,77.031259,6E_894,1000000000,16.17
Air,MotherHub_BNO_6E_6213,28.544563,77.031259,6E_6213,1000000000,1.67
Air,MotherHub_BNO_6E_985,28.544563,77.031259,6E_985,1000000000,1.67
Air,MotherHub_BNO_6E_3752,28.544563,77.031259,6E_3752,1000000000,8.83
Air,MotherHub_BNO_6E_177,28.544563,77.031259,6E_177,1000000000,9.58
Air,MotherHub_BNO_6E_757,28.544563,77.031259,6E_757,1000000000,2.67
Air,MotherHub_BNO_6E_393,28.544563,77.031259,6E_393,1000000000,3.25
Air,MotherHub_BNO_6E_201,28.544563,77.031259,6E_201,1000000000,7.83
Air,MotherHub_BNO_6E_4999,28.544563,77.031259,6E_4999,1000000000,12.5
Air,MotherHub_BNO_6E_421,28.544563,77.031259,6E_421,1000000000,2.42
Air,MotherHub_BNO_6E_509,28.544563,77.031259,6E_509,1000000000,6.83
Air,MotherHub_BNO_6E_209,28.544563,77.031259,6E_209,1000000000,12.92
Air,MotherHub_BNO_SG152,28.544563,77.031259,SG152,1000000000,5.5
Air,MotherHub_BNO_SG475,28.544563,77.031259,SG475,1000000000,11
Air,MotherHub_BNO_6E_251,28.544563,77.031259,6E_251,1000000000,1.75
Air,MotherHub_BNO_6E_939,28.544563,77.031259,6E_939,1000000000,2.83
Air,MotherHub_BNO_6E_3645,28.544563,77.031259,6E_3645,1000000000,5.75
Air,MotherHub_BNO_6E_5193,28.544563,77.031259,6E_5193,1000000000,12.33
Air,MotherHub_BNO_6E_701,28.544563,77.031259,6E_701,1000000000,2.17
Air,MotherHub_BNO_6E_669,28.544563,77.031259,6E_669,1000000000,4.83
Air,MotherHub_BNO_6E_6132,28.544563,77.031259,6E_6132,1000000000,7.25
Air,MotherHub_BNO_6E_211,28.544563,77.031259,6E_211,1000000000,10.83
Air,MotherHub_BNO_6E_887,28.544563,77.031259,6E_887,1000000000,13.42
Air,MotherHub_BNO_6E_111,28.544563,77.031259,6E_111,1000000000,17.42
Air,MotherHub_BNO_6E_719,28.544563,77.031259,6E_719,1000000000,0.5
Air,MotherHub_BNO_6E_5313,28.544563,77.031259,6E_5313,1000000000,7.5
Air,MotherHub_BNO_6E_554,28.544563,77.031259,6E_554,1000000000,2.67
Air,MotherHub_BNO_6E_4062,28.544563,77.031259,6E_4062,1000000000,4.75
Air,MotherHub_BNO_6E_653,28.544563,77.031259,6E_653,1000000000,5.08
Air,MotherHub_BNO_6E_5114,28.544563,77.031259,6E_5114,1000000000,9.33
Air,MotherHub_BNO_SG160,28.544563,77.031259,SG160,1000000000,3.83
Air,MotherHub_BNO_6E_4961,28.544563,77.031259,6E_4961,1000000000,8
Air,MotherHub_CHN_6E557,13.04591,80.067723,6E557,1000000000,1.67
Air,MotherHub_CHN_6E384,13.04591,80.067723,6E384,1000000000,0.92
Air,MotherHub_CHN_6E315,13.04591,80.067723,6E315,1000000000,8.08
Air,MotherHub_CHN_6E503,13.04591,80.067723,6E503,1000000000,2.83
Air,MotherHub_CHN_6E527,13.04591,80.067723,6E527,1000000000,0.58
Air,MotherHub_CHN_6E292',13.04591,80.067723,6E292',1000000000,8.42
Air,MotherHub_CHN_6E112',13.04591,80.067723,6E112',1000000000,0.17
Air,MotherHub_MUM_6E801,19.1170238,72.8580558,6E801,1000000000,4.42
Air,MotherHub_MUM_6E_252,19.1170238,72.8580558,6E_252,1000000000,8.17
Air,MotherHub_MUM_6E184',19.1170238,72.8580558,6E184',1000000000,1.33
Air,MotherHub_MUM_G8381,19.1170238,72.8580558,G8381,1000000000,3.58
Air,MotherHub_MUM_G8389,19.1170238,72.8580558,G8389,1000000000,6.42
Air,MotherHub_MUM_6E958,19.1170238,72.8580558,6E958,1000000000,2.42
Air,MotherHub_MUM_6E321,19.1170238,72.8580558,6E321,1000000000,4.42
Air,MotherHub_MUM_6E5126,19.1170238,72.8580558,6E5126,1000000000,4.5
Air,MotherHub_MUM_6E787,19.1170238,72.8580558,6E787,1000000000,7.5
Air,MotherHub_KOL_6E_238,22.708183,88.28565,6E_238,1000000000,1
Air,MotherHub_AMD_6E_259,22.8978044,72.5902141,6E_259,1000000000,0
Air,MotherHub_AMD_6E_466,22.8978044,72.5902141,6E_466,1000000000,10.75
Air,MotherHub_MED_6E384,17.580519,78.469527,6E384,1000000000,2.58
Air,MotherHub_MED_6E466,17.580519,78.469527,6E466,1000000000,12.25
Air,MotherHub_MED_6E3732,17.580519,78.469527,6E3732,1000000000,1.08
Air,MotherHub_MED_6E883,17.580519,78.469527,6E883,1000000000,14.83
Air,MotherHub_MED_6E822,17.580519,78.469527,6E822,1000000000,17.17
Air,MotherHUb_RAI_6E791,22.056106,82.171855,6E791,1000000000,4.75
Air,MotherHUb_RAI_6E486,22.056106,82.171855,6E486,1000000000,4.33
Air,MotherHUb_RAI_6E802,22.056106,82.171855,6E802,1000000000,7.33
Air,MotherHub_BLR_6E_166,12.9842798,77.8242648,6E_166,1000000000,12
Air,MotherHub_BLR_6E_146,12.9842798,77.8242648,6E_146,1000000000,18.08
Air,MotherHub_BLR_6E_586,12.9842798,77.8242648,6E_586,1000000000,1.25
Air,MotherHub_BLR_6E_714,12.9842798,77.8242648,6E_714,1000000000,4.75
Air,MotherHub_BLR_6E_246,12.9842798,77.8242648,6E_246,1000000000,8.25
Air,MotherHub_BLR_6E_572,12.9842798,77.8242648,6E_572,1000000000,14.92
Air,MotherHub_BLR_6E_106,12.9842798,77.8242648,6E_106,1000000000,16
Air,MotherHub_BLR_6E_142,12.9842798,77.8242648,6E_142,1000000000,17.08
Air,MotherHub_BLR_6E_944,12.9842798,77.8242648,6E_944,1000000000,11.25
Air,MotherHub_BLR_6E_132,12.9842798,77.8242648,6E_132,1000000000,1.08
Air,MotherHub_BLR_6E_774,12.9842798,77.8242648,6E_774,1000000000,3
Air,MotherHub_BLR_6E_122,12.9842798,77.8242648,6E_122,1000000000,12.08
Air,MotherHub_BLR_6E_768,12.9842798,77.8242648,6E_768,1000000000,13
Air,MotherHub_BLR_6E_119,12.9842798,77.8242648,6E_119,1000000000,10.75
Air,MotherHub_BLR_6E_457,12.9842798,77.8242648,6E_457,1000000000,2.75
Air,MotherHub_BLR_6E_110,12.9842798,77.8242648,6E_110,1000000000,10.75
Air,MotherHub_BLR_6E_602,12.9842798,77.8242648,6E_602,1000000000,0.58
Air,MotherHub_BLR_6E 641,12.9842798,77.8242648,6E 641,1000000000,1.17
Air,MotherHub_BLR_6E_469,12.9842798,77.8242648,6E_469,1000000000,12.33
Air,MotherHub_BLR_6E_164,12.9842798,77.8242648,6E_164,1000000000,18.5
Air,MotherHub_BLR_6E_641,12.9842798,77.8242648,6E_641,1000000000,1.17
Air,MotherHub_BLR_6E_461,12.9842798,77.8242648,6E_461,1000000000,1.17
Air,MotherHub_BLR_6E_422,12.9842798,77.8242648,6E_422,1000000000,7.13
Air,MotherHub_BLR_6E_713_,12.9842798,77.8242648,6E_713_,1000000000,0.5
Air,MotherHub_BLR_6E_135,12.9842798,77.8242648,6E_135,1000000000,11.25
Air,MotherHub_BLR_6E_676,12.9842798,77.8242648,6E_676,1000000000,13.83
Air,MotherHub_BLR_6E_529,12.9842798,77.8242648,6E_529,1000000000,17.92
Air,MotherHub_BLR_6E_713,12.9842798,77.8242648,6E_713,1000000000,0.5
Air,MotherHub_BLR_6E_433,12.9842798,77.8242648,6E_433,1000000000,5.58
Air,MotherHub_BLR_6E_233,12.9842798,77.8242648,6E_233,1000000000,1.33
Air,MotherHub_BLR_6E_614,12.9842798,77.8242648,6E_614,1000000000,9.75
Air,MotherHub_BLR_6E_474,12.9842798,77.8242648,6E_474,1000000000,16.5
Air,MotherHub_BLR_6E_456,12.9842798,77.8242648,6E_456,1000000000,0.33
Air,MotherHub_BLR_6E_464,12.9842798,77.8242648,6E_464,1000000000,4.42
Air,MotherHub_BLR_6E_414,12.9842798,77.8242648,6E_414,1000000000,7.58
Air,MotherHub_BLR_6E_378,12.9842798,77.8242648,6E_378,1000000000,10.58
Air,MotherHub_BLR_6E_202,12.9842798,77.8242648,6E_202,1000000000,11.17
Air,MotherHub_BLR_6E_509,12.9842798,77.8242648,6E_509,1000000000,1.08
Air,MotherHub_BLR_6E_637,12.9842798,77.8242648,6E_637,1000000000,7
Air,MotherHub_BLR_6E_339,12.9842798,77.8242648,6E_339,1000000000,1.33
Air,MotherHub_BLR_6E_718,12.9842798,77.8242648,6E_718,1000000000,15.42
Air,MotherHub_BLR_6E_806,12.9842798,77.8242648,6E_806,1000000000,17.75
Air,MotherHub_BLR_6E_682,12.9842798,77.8242648,6E_682,1000000000,7.25
Air,MotherHub_BLR_6E_102,12.9842798,77.8242648,6E_102,1000000000,4.58
Air,MotherHub_BLR_6E_528,12.9842798,77.8242648,6E_528,1000000000,12
Air,MotherHub_BLR_6E_408,12.9842798,77.8242648,6E_408,1000000000,0.5
Air,MotherHub_BLR_6E_288,12.9842798,77.8242648,6E_288,1000000000,0.92
Air,MotherHub_BLR_6E_622,12.9842798,77.8242648,6E_622,1000000000,14.33
Air,MotherHub_MED_6E_372,17.580519,78.469527,6E_372,1000000000,0.67
Air,MotherHub_MED_6E_276,17.580519,78.469527,6E_276,1000000000,17.17
Air,MotherHub_MED_6E_545,17.580519,78.469527,6E_545,1000000000,0.08
Air,MotherHub_MED_6E_778,17.580519,78.469527,6E_778,1000000000,9.67
Air,MotherHub_MED_6E778_,17.580519,78.469527,6E778_,1000000000,9.67
Air,MotherHub_MED_6E_302,17.580519,78.469527,6E_302,1000000000,12.67
Air,MotherHub_MED_6E_564,17.580519,78.469527,6E_564,1000000000,16.17
Air,MotherHub_MED_6E_738,17.580519,78.469527,6E_738,1000000000,0.08
Air,MotherHub_MED_6E_845,17.580519,78.469527,6E_845,1000000000,6.92
Air,MotherHub_MED_6E_312,17.580519,78.469527,6E_312,1000000000,6.92
Air,MotherHub_MED_6E_667,17.580519,78.469527,6E_667,1000000000,13.08
Air,MotherHub_MED_6E_539,17.580519,78.469527,6E_539,1000000000,16.33
Air,MotherHub_MED_6E_353,17.580519,78.469527,6E_353,1000000000,1.25
Air,MotherHub_MED_6E_872,17.580519,78.469527,6E_872,1000000000,0
Air,MotherHub_MED_6E_809,17.580519,78.469527,6E_809,1000000000,9.67
Air,MotherHub_MED_6E_269,17.580519,78.469527,6E_269,1000000000,12.67
Air,MotherHub_MED_6E_231,17.580519,78.469527,6E_231,1000000000,14.17
Air,MotherHub_MED_6E_428,17.580519,78.469527,6E_428,1000000000,11.75
Air,MotherHub_MED_6E_241,17.580519,78.469527,6E_241,1000000000,7.33
Air,MotherHub_MED_6E_974,17.580519,78.469527,6E_974,1000000000,2.17
Air,MotherHub_MED_6E_385,17.580519,78.469527,6E_385,1000000000,15.08
Air,MotherHub_MED_6E_496,17.580519,78.469527,6E_496,1000000000,9.33
Air,MotherHub_CHN_6E_271,13.04591,80.067723,6E_271,1000000000,4.08
Air,MotherHub_CHN_6E_704,13.04591,80.067723,6E_704,1000000000,17.58
Air,MotherHub_CHN_6E_386,13.04591,80.067723,6E_386,1000000000,9.75
Air,MotherHub_CHN_ 6E952,13.04591,80.067723, 6E952,1000000000,11.25
Air,MotherHub_CHN_6E_112,13.04591,80.067723,6E_112,1000000000,0.17
Air,MotherHub_CHN_6E_384,13.04591,80.067723,6E_384,1000000000,1
Air,MotherHub_CHN_6E_729,13.04591,80.067723,6E_729,1000000000,15.92
Air,MotherHub_CHN_6E_527,13.04591,80.067723,6E_527,1000000000,0.58
Air,MotherHub_CHN_6E_964,13.04591,80.067723,6E_964,1000000000,0.33
Air,MotherHub_CHN_6E_557,13.04591,80.067723,6E_557,1000000000,1.75
Air,MotherHub_BNO_6E_961,28.544563,77.031259,6E_961,1000000000,11.75
Air,MotherHub_BNO_6E_517,28.544563,77.031259,6E_517,1000000000,1.42
Air,MotherHub_BNO_6E_153,28.544563,77.031259,6E_153,1000000000,13.42
Air,MotherHub_BNO_6E_157,28.544563,77.031259,6E_157,1000000000,15.67
Air,MotherHub_BNO_6E_133,28.544563,77.031259,6E_133,1000000000,0.33
Air,MotherHub_BNO_6E_481,28.544563,77.031259,6E_481,1000000000,12
Air,MotherHub_BNO_6E_839,28.544563,77.031259,6E_839,1000000000,9.67
Air,MotherHub_BNO_6E_765,28.544563,77.031259,6E_765,1000000000,0.17
Air,MotherHub_BNO_6E_747,28.544563,77.031259,6E_747,1000000000,11.08
Air,MotherHub_BNO_6E_679,28.544563,77.031259,6E_679,1000000000,9.08
Air,MotherHub_BNO_6E_861,28.544563,77.031259,6E_861,1000000000,1.17
Air,MotherHub_BNO_6E_203,28.544563,77.031259,6E_203,1000000000,10.08
Air,MotherHub_BNO_6E_663,28.544563,77.031259,6E_663,1000000000,11.58
Air,MotherHub_BNO_6E_621,28.544563,77.031259,6E_621,1000000000,0.58
Air,MotherHub_BNO_6E_105,28.544563,77.031259,6E_105,1000000000,9.75
