Type,Key,src_lat,src_long,dest_lat,dest_long,MH_name,DH_name,ready_time,Load,dist,time,Ready_Time_10,Del_time_10,Ready_Time_11,Del_time_11,Ready_Time_12,Del_time_12,Ready_Time_1,Del_time_1,Ready_Time_2,Del_time_2,Ready_Time_2,Del_time_2
Shipment,Motherhub_AMD-BhavnagarHub_BVG,22.8978044,72.5902141,21.7619982,72.1540159,Motherhub_AMD,BhavnagarHub_BVG,10,393,172,4.3,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-BhujHub_BHJ,22.8978044,72.5902141,23.242865,69.6398817,Motherhub_AMD,BhujHub_BHJ,10,294,344,8.6,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400
Shipment,Motherhub_AMD-GandhidhamHub_GDM,22.8978044,72.5902141,23.0803778,70.0947859,Motherhub_AMD,GandhidhamHub_GDM,10,466,301,7.525,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,126000
Shipment,Motherhub_AMD-GandhiNagarHub_GAN,22.8978044,72.5902141,23.2019832,72.6147011,Motherhub_AMD,GandhiNagarHub_GAN,10,618,42,1.05,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-GodhraHub_GHR,22.8978044,72.5902141,22.84282,73.76371,Motherhub_AMD,GodhraHub_GHR,10,171,160,4,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-HimmatnagarHub_HMT,22.8978044,72.5902141,23.6036,72.9639,Motherhub_AMD,HimmatnagarHub_HMT,10,127,94.9,2.3725,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-JamnagarHub_QGR,22.8978044,72.5902141,22.468992,70.0412043,Motherhub_AMD,JamnagarHub_QGR,10,567,313,7.825,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,126000
Shipment,Motherhub_AMD-JunagadhHub_IXK,22.8978044,72.5902141,21.5219366,70.4552781,Motherhub_AMD,JunagadhHub_IXK,10,439,322,8.05,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400
Shipment,Motherhub_AMD-KalawadRoadHub_RAJ,22.8978044,72.5902141,22.2850443,70.7723721,Motherhub_AMD,KalawadRoadHub_RAJ,10,1340,232,5.8,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-MehsanaHub_MHN,22.8978044,72.5902141,23.5972549,72.3793129,Motherhub_AMD,MehsanaHub_MHN,10,331,98.2,2.455,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-MorbiHub_MRB,22.8978044,72.5902141,22.8185931,70.821625,Motherhub_AMD,MorbiHub_MRB,10,257,234,5.85,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-MundraHub_MUD,22.8978044,72.5902141,22.8422969,69.7320994,Motherhub_AMD,MundraHub_MUD,10,154,353,8.825,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400
Shipment,Motherhub_AMD-PalanpurHub_PLN,22.8978044,72.5902141,24.1743804,72.4089852,Motherhub_AMD,PalanpurHub_PLN,10,201,166,4.15,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-PorbandarHub_POR,22.8978044,72.5902141,21.6468447,69.6345955,Motherhub_AMD,PorbandarHub_POR,10,195,399,9.975,79200,126000,82800,126000,86400,126000,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_AMD-SurendraNagarHub_SDR,22.8978044,72.5902141,22.7196472,71.6608486,Motherhub_AMD,SurendraNagarHub_SDR,10,156,130,3.25,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-UnaHub_UNA,22.8978044,72.5902141,31.4684,76.2708,Motherhub_AMD,UnaHub_UNA,10,61,1289,32.225,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_AMD-NavsariHub_STV,22.8978044,72.5902141,20.9473683,72.9622133,Motherhub_AMD,NavsariHub_STV,10,436,276,6.9,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-SilvassaHub_AMD,22.8978044,72.5902141,20.2763,73.0083,Motherhub_AMD,SilvassaHub_AMD,10,311,368,9.2,79200,126000,82800,126000,86400,126000,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_AMD-ValsadHub_AMD,22.8978044,72.5902141,20.594504,72.934177,Motherhub_AMD,ValsadHub_AMD,10,422,330,8.25,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400
Shipment,Motherhub_AMD-VapiHub_AMD,22.8978044,72.5902141,20.366241,72.922447,Motherhub_AMD,VapiHub_AMD,10,645,355,8.875,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400
Shipment,Motherhub_AMD-AjwaHub_BDQ,22.8978044,72.5902141,22.3116149,73.238837,Motherhub_AMD,AjwaHub_BDQ,10,605,108,2.7,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-AkotaHub_BDQ,22.8978044,72.5902141,22.3058105,73.1799038,Motherhub_AMD,AkotaHub_BDQ,10,750,103,2.575,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_AMD-AnandHub_AMD,22.8978044,72.5902141,22.556447,72.963939,Motherhub_AMD,AnandHub_AMD,10,425,64.8,1.62,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
