Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time,Load,Del_time,flag,Ready_time_10,del_time,Ready_time_11,dist,time,Ready_time_10,del_time_10,Ready_time_11,del_time_11,Ready_time_12,del_time_12,Ready_time_1,del_time_1,Ready_time_2,del_time_2,Ready_time_3,del_time_3
Shipment,MotherHub_BAM-AboharHub_ABH,28.545321,77.02914,30.14926,74.19493,MotherHub_BAM,AboharHub_ABH,79200,150,118800,1,79200,126000,82800,425.7539510167,14.1917983672,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-AgraHub_AGR,28.545321,77.02914,27.20537,77.97099,MotherHub_BAM,AgraHub_AGR,79200,1151,118800,1,79200,126000,82800,228.0359326041,7.6011977535,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
Shipment,MotherHub_BAM-AligarhHub_ALG,28.545321,77.02914,27.89074,78.03265,MotherHub_BAM,AligarhHub_ALG,79200,737,118800,1,79200,126000,82800,159.0317209961,5.3010573665,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-AmritsarHub_ATQ,28.545321,77.02914,31.6513,74.86428,MotherHub_BAM,AmritsarHub_ATQ,79200,1039,122400,1,79200,126000,82800,524.2581204731,17.4752706824,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-BarabankiHub_BBK,28.545321,77.02914,26.9955,81.2519,MotherHub_BAM,BarabankiHub_BBK,79200,176,118800,1,79200,126000,82800,584.67557493,19.489185831,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-BareillyHub_BRY,28.545321,77.02914,28.38158,79.43506,MotherHub_BAM,BareillyHub_BRY,79200,667,118800,1,79200,126000,82800,306.6537979301,10.2217932643,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-BarnalaHub_BRN,28.545321,77.02914,30.37839,75.54076,MotherHub_BAM,BarnalaHub_BRN,79200,114,118800,1,79200,126000,82800,324.4963269896,10.816544233,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-BhatindaHub_BUP,28.545321,77.02914,30.19422,74.96325,MotherHub_BAM,BhatindaHub_BUP,79200,494,118800,1,79200,126000,82800,352.8899898498,11.7629996617,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-BhiwaniHub_DEL,28.545321,77.02914,28.79168,76.15736,MotherHub_BAM,BhiwaniHub_DEL,79200,426,118800,1,79200,126000,82800,116.1631649826,3.8721054994,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-ChandigarhHub_DEL,28.545321,77.02914,30.70897,76.80318,MotherHub_BAM,ChandigarhHub_DEL,79200,1304,118800,1,79200,126000,82800,314.0486524215,10.4682884141,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-CityCenterHub_GWL,28.545321,77.02914,26.2183,78.1828,MotherHub_BAM,CityCenterHub_GWL,79200,1160,205200,2,104400,212400,108000,367.523035421,12.2507678474,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-DasuaHub_DSU,28.545321,77.02914,31.81333,75.66827,MotherHub_BAM,DasuaHub_DSU,79200,188,118800,1,79200,126000,82800,502.0616099454,16.7353869982,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-DehradunHub_DED,28.545321,77.02914,30.30657,78.00573,MotherHub_BAM,DehradunHub_DED,79200,1747,118800,1,79200,126000,82800,282.7268520097,9.4242284003,79200,118800,82800,118800,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-DharuheraHub_DRH,28.545321,77.02914,28.20912,76.77549,MotherHub_BAM,DharuheraHub_DRH,79200,932,118800,1,79200,126000,82800,58.3315591453,1.9443853048,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-FatehabadHub_FHB,28.545321,77.02914,29.5148,75.4407,MotherHub_BAM,FatehabadHub_FHB,79200,140,118800,1,79200,126000,82800,244.8356785119,8.1611892837,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-FirozabadHub_FIR,28.545321,77.02914,27.1603,78.39434,MotherHub_BAM,FirozabadHub_FIR,79200,282,118800,1,79200,126000,82800,265.5650826034,8.8521694201,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-GobindgarhHub_LUH,28.545321,77.02914,30.65957,76.3002,MotherHub_BAM,GobindgarhHub_LUH,79200,384,118800,1,79200,126000,82800,319.0556916538,10.6351897218,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-GurdaspurHub_GDS,28.545321,77.02914,32.03059,75.39289,MotherHub_BAM,GurdaspurHub_GDS,79200,441,122400,1,79200,126000,82800,543.6076566669,18.1202552222,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-HaridwarHub_HRD,28.545321,77.02914,29.94569,78.16425,MotherHub_BAM,HaridwarHub_HRD,79200,807,118800,1,79200,126000,82800,247.936166568,8.2645388856,79200,118800,82800,118800,86400,118800,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-HissarHub_HSS,28.545321,77.02914,29.13429,75.74821,MotherHub_BAM,HissarHub_HSS,79200,816,118800,1,79200,126000,82800,183.1821016115,6.1060700537,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,104400,205200
Shipment,MotherHub_BAM-HoshiarpurHub_HAP,28.545321,77.02914,31.51998,75.92618,MotherHub_BAM,HoshiarpurHub_HAP,79200,268,118800,1,79200,126000,82800,451.5985534041,15.0532851135,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-JalandharHub_JLR,28.545321,77.02914,31.31652,75.6339,MotherHub_BAM,JalandharHub_JLR,79200,1073,118800,1,79200,126000,82800,437.0442461508,14.5681415384,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-JhansiHub_JHS,28.545321,77.02914,25.44843,78.56846,MotherHub_BAM,JhansiHub_JHS,79200,367,118800,1,79200,126000,82800,489.5888249704,16.319627499,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-JindHub_JND,28.545321,77.02914,28.87825,76.5872,MotherHub_BAM,JindHub_JND,79200,291,118800,1,79200,126000,82800,73.8604665818,2.4620155527,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-KaithalHub_KTL,28.545321,77.02914,29.9781,76.58375,MotherHub_BAM,KaithalHub_KTL,79200,238,118800,1,79200,126000,82800,214.5932349464,7.1531078315,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
Shipment,MotherHub_BAM-KarnalHub_KAL,28.545321,77.02914,29.7003,76.99743,MotherHub_BAM,KarnalHub_KAL,79200,352,118800,1,79200,126000,82800,167.0041565237,5.5668052175,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BAM-KotkapuraHub_KKP,28.545321,77.02914,30.58372,74.82598,MotherHub_BAM,KotkapuraHub_KKP,79200,169,118800,1,79200,126000,82800,404.3994291645,13.4799809722,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BAM-KurukshetraHub_KUR,28.545321,77.02914,29.9786,76.85336,MotherHub_BAM,KurukshetraHub_KUR,79200,274,118800,1,79200,126000,82800,208.367720885,6.9455906962,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,104400,205200
