Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_BBI-ANGULHUB_ANG-p,20.295471,85.84707,2.09211E+1,8.48568E+1,MOTHERHUB_BBI,ANGULHUB_ANG,72000,1,0
Shipment,MOTHERHUB_BBI-ANGULHUB_ANG-c,20.295471,85.84707,2.09211E+1,8.48568E+1,MOTHERHUB_BBI,ANGULHUB_ANG,72000,22,14400
Shipment,MOTHERHUB_BBI-BALESHWARHUB_BAW-p,20.295471,85.84707,21.507531,86.892154,MOTHERHUB_BBI,BALESHWARHUB_BAW,72000,446,0
Shipment,MOTHERHUB_BBI-BALESHWARHUB_BAW-c,20.295471,85.84707,21.507531,86.892154,MOTHERHUB_BBI,BALESHWARHUB_BAW,72000,202,14400
Shipment,MOTHERHUB_BBI-BERHAMPURHUB_BMP-p,20.295471,85.84707,19.3149618,84.7940911,MOTHERHUB_BBI,BERHAMPURHUB_BMP,72000,732,0
Shipment,MOTHERHUB_BBI-BERHAMPURHUB_BMP-c,20.295471,85.84707,19.3149618,84.7940911,MOTHERHUB_BBI,BERHAMPURHUB_BMP,72000,149,14400
Shipment,MOTHERHUB_BBI-PARADIPHUB_PDP-p,20.295471,85.84707,20.30655,86.64136,MOTHERHUB_BBI,PARADIPHUB_PDP,72000,70,0
Shipment,MOTHERHUB_BBI-PARADIPHUB_PDP-c,20.295471,85.84707,20.30655,86.64136,MOTHERHUB_BBI,PARADIPHUB_PDP,72000,135,14400
Shipment,MOTHERHUB_BBI-PURIHUB_PUR-p,20.295471,85.84707,19.8162,85.8341,MOTHERHUB_BBI,PURIHUB_PUR,72000,86,0
Shipment,MOTHERHUB_BBI-PURIHUB_PUR-c,20.295471,85.84707,19.8162,85.8341,MOTHERHUB_BBI,PURIHUB_PUR,72000,184,14400
Shipment,MOTHERHUB_BBI-ROURKELAHUB_RRK-p,20.295471,85.84707,22.260423,84.853584,MOTHERHUB_BBI,ROURKELAHUB_RRK,72000,446,0
Shipment,MOTHERHUB_BBI-ROURKELAHUB_RRK-c,20.295471,85.84707,22.260423,84.853584,MOTHERHUB_BBI,ROURKELAHUB_RRK,72000,164,14400
Shipment,MOTHERHUB_BBI-SAMBALPURHUB_SBP-p,20.295471,85.84707,26,94.3333333,MOTHERHUB_BBI,SAMBALPURHUB_SBP,72000,550,0
Shipment,MOTHERHUB_BBI-SAMBALPURHUB_SBP-c,20.295471,85.84707,26,94.3333333,MOTHERHUB_BBI,SAMBALPURHUB_SBP,72000,216,14400
