Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_BIL-BHUSAWALHUB_JGO-p,19.2374987,73.0362352,2.10455E+1,7.58011E+1,MOTHERHUB_BIL,BHUSAWALHUB_JGO,72000,9,0
Shipment,MOTHERHUB_BIL-BHUSAWALHUB_JGO-c,19.2374987,73.0362352,2.10455E+1,7.58011E+1,MOTHERHUB_BIL,BHUSAWALHUB_JGO,72000,53,14400
Shipment,MOTHERHUB_BIL-COLLEGEROADHUB_NSK-p,19.2374987,73.0362352,20.0012664,73.7626319,MOTHERHUB_BIL,COLLEGEROADHUB_NSK,72000,365,0
Shipment,MOTHERHUB_BIL-COLLEGEROADHUB_NSK-c,19.2374987,73.0362352,20.0012664,73.7626319,MOTHERHUB_BIL,COLLEGEROADHUB_NSK,72000,187,14400
Shipment,MOTHERHUB_BIL-DHULEHUB_DHL-p,19.2374987,73.0362352,20.8967048,74.7634276,MOTHERHUB_BIL,DHULEHUB_DHL,72000,99,0
Shipment,MOTHERHUB_BIL-DHULEHUB_DHL-c,19.2374987,73.0362352,20.8967048,74.7634276,MOTHERHUB_BIL,DHULEHUB_DHL,72000,103,14400
Shipment,MOTHERHUB_BIL-JALGAONHUB_JGO-p,19.2374987,73.0362352,21.0061599,75.5807333,MOTHERHUB_BIL,JALGAONHUB_JGO,72000,437,0
Shipment,MOTHERHUB_BIL-JALGAONHUB_JGO-c,19.2374987,73.0362352,21.0061599,75.5807333,MOTHERHUB_BIL,JALGAONHUB_JGO,72000,139,14400
Shipment,MOTHERHUB_BIL-NASHIKHUB_NSK-p,19.2374987,73.0362352,19.997453,73.789802,MOTHERHUB_BIL,NASHIKHUB_NSK,72000,188,0
Shipment,MOTHERHUB_BIL-NASHIKHUB_NSK-c,19.2374987,73.0362352,19.997453,73.789802,MOTHERHUB_BIL,NASHIKHUB_NSK,72000,165,14400
Shipment,MOTHERHUB_BIL-PANCHAVATIHUB_NSK-p,19.2374987,73.0362352,2.00059E+1,7.37934E+1,MOTHERHUB_BIL,PANCHAVATIHUB_NSK,72000,149,0
Shipment,MOTHERHUB_BIL-PANCHAVATIHUB_NSK-c,19.2374987,73.0362352,2.00059E+1,7.37934E+1,MOTHERHUB_BIL,PANCHAVATIHUB_NSK,72000,150,14400
