 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 4-MotherHub_KNG-28   , start                 , -               , undef           ,0,0
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_KNG-OotyHub_OTY ,0,65040,0
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-PalakkadHub_PKD ,66116,66116,65853
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-KunnamangalamHub_KNM ,66116,66116,65853
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-CalicutHub_CCJ ,66116,66116,65853
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-ThalasseryHub_THL ,66116,66116,65853
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-OotyHub_OTY ,66116,70890,65853
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-MalaPuramHub_MLP ,70890,70890,65853
1, 4-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-KannurHub_KAN ,70890,70890,65853
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_KNG-OotyHub_OTY ,89789,89789,1222443
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-OotyHub_OTY ,89789,89789,1222443
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-PalakkadHub_PKD ,95878,95878,1595133
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-MalaPuramHub_MLP ,102558,102558,2003926
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-KunnamangalamHub_KNM ,104952,104952,2150437
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-CalicutHub_CCJ ,105995,105995,2214264
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-ThalasseryHub_THL ,111582,111582,2556200
1, 4-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-KannurHub_KAN ,113540,113540,2676020
1, 4-MotherHub_KNG-28   , end                   , -               ,113540, undef           ,2676020
,,,,,,
2, 6-MotherHub_KNG-28   , start                 , -               , undef           ,0,0
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_KNG-KarurHub_KAU ,0,64980,0
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_KNG-ErodeHub_ERD ,64980,64980,0
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_KNG-PallipalayamHub_ERD ,64980,65160,0
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_KNG-SalemHub_SXV ,65160,65220,0
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-HosurHub_HOS ,66296,66296,65853
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-KarurHub_KAU ,66296,70320,65853
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-ErodeHub_ERD ,70320,70500,65853
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-PallipalayamHub_ERD ,70500,70500,65853
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-SapthagiriHub_TPT ,70500,83850,65853
2, 6-MotherHub_KNG-28   , pickupShipment        , MotherHub_BLR-SalemHub_SXV ,83850,83850,65853
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-HosurHub_HOS ,86395,86395,221620
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_KNG-SalemHub_SXV ,97198,97198,882746
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-SalemHub_SXV ,97198,97198,882746
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_KNG-KarurHub_KAU ,104192,104192,1310811
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-KarurHub_KAU ,104192,104192,1310811
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_KNG-PallipalayamHub_ERD ,109273,109273,1621751
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-PallipalayamHub_ERD ,109273,109273,1621751
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_KNG-ErodeHub_ERD ,109963,109963,1663996
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-ErodeHub_ERD ,109963,109963,1663996
2, 6-MotherHub_KNG-28   , deliverShipment       , MotherHub_BLR-SapthagiriHub_TPT ,114712,114712,1954582
2, 6-MotherHub_KNG-28   , end                   , -               ,114712, undef           ,1954582
,,,,,,
3, 4-MotherHub_KNG-32   , start                 , -               , undef           ,0,0
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_KNG-TrichyHub_TRZ ,0,65340,0
3, 4-MotherHub_KNG-32   , pickupShipment        , MotherHub_KNG-MaduraiHub_IXM ,65340,65340,0
