Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,Ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_BLR-AIRPORTBLRHUB_BLR-p,12.9842798,77.8242648,12.9573002,77.6625524,MOTHERHUB_BLR,AIRPORTBLRHUB_BLR,72000,1056,0
Shipment,MOTHERHUB_BLR-AIRPORTBLRHUB_BLR-c,12.9842798,77.8242648,12.9573002,77.6625524,MOTHERHUB_BLR,AIRPORTBLRHUB_BLR,72000,143,14400
Shipment,MOTHERHUB_BLR-AIRPORTBLRMPHUB_BLR-p,12.9842798,77.8242648,12.9573002,77.6625524,MOTHERHUB_BLR,AIRPORTBLRMPHUB_BLR,72000,6,0
Shipment,MOTHERHUB_BLR-AIRPORTBLRMPHUB_BLR-c,12.9842798,77.8242648,12.9573002,77.6625524,MOTHERHUB_BLR,AIRPORTBLRMPHUB_BLR,72000,38,14400
Shipment,MOTHERHUB_BLR-BANASHANKARIHUB_BLR-p,12.9842798,77.8242648,12.9290073,77.5647677,MOTHERHUB_BLR,BANASHANKARIHUB_BLR,72000,1857,0
Shipment,MOTHERHUB_BLR-BANASHANKARIHUB_BLR-c,12.9842798,77.8242648,12.9290073,77.5647677,MOTHERHUB_BLR,BANASHANKARIHUB_BLR,72000,100,14400
Shipment,MOTHERHUB_BLR-BANASHANKARIMPHUB_BLR-p,12.9842798,77.8242648,12.9249,77.5662,MOTHERHUB_BLR,BANASHANKARIMPHUB_BLR,72000,14,0
Shipment,MOTHERHUB_BLR-BANASHANKARIMPHUB_BLR-c,12.9842798,77.8242648,12.9249,77.5662,MOTHERHUB_BLR,BANASHANKARIMPHUB_BLR,72000,53,14400
Shipment,MOTHERHUB_BLR-BILEKAHALLIHUB_BLR-p,12.9842798,77.8242648,12.93154,77.60873,MOTHERHUB_BLR,BILEKAHALLIHUB_BLR,72000,1067,0
Shipment,MOTHERHUB_BLR-BILEKAHALLIHUB_BLR-c,12.9842798,77.8242648,12.93154,77.60873,MOTHERHUB_BLR,BILEKAHALLIHUB_BLR,72000,149,14400
