Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_BLR-ANANTHAPURHUB_ATP-p,12.9842798,77.8242648,14.6683137,77.5819832,MOTHERHUB_BLR,ANANTHAPURHUB_ATP,50400,195,0
Shipment,MOTHERHUB_BLR-ANANTHAPURHUB_ATP-c,12.9842798,77.8242648,14.6683137,77.5819832,MOTHERHUB_BLR,ANANTHAPURHUB_ATP,50400,153,14400
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-p,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,50400,390,0
Shipment,MOTHERHUB_BLR-BAGALKOTHUB_BGK-c,12.9842798,77.8242648,16.164628,75.668542,MOTHERHUB_BLR,BAGALKOTHUB_BGK,50400,161,14400
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-p,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,50400,410,0
Shipment,MOTHERHUB_BLR-BELGAUMHUB_IXG-c,12.9842798,77.8242648,15.86925,74.522216,MOTHERHUB_BLR,BELGAUMHUB_IXG,50400,209,14400
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-p,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,50400,714,0
Shipment,MOTHERHUB_BLR-BELLARYHUB_BLY-c,12.9842798,77.8242648,15.15003,76.898174,MOTHERHUB_BLR,BELLARYHUB_BLY,50400,220,14400
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-p,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,50400,133,0
Shipment,MOTHERHUB_BLR-BIDARHUB_BDR-c,12.9842798,77.8242648,17.9149,77.5046,MOTHERHUB_BLR,BIDARHUB_BDR,50400,111,14400
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-p,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,50400,662,0
Shipment,MOTHERHUB_BLR-CALICUTHUB_CCJ-c,12.9842798,77.8242648,11.264533,75.776766,MOTHERHUB_BLR,CALICUTHUB_CCJ,50400,256,14400
Shipment,MOTHERHUB_BLR-CHIDAMBARAMHUB_CDM-p,12.9842798,77.8242648,11.387667,79.693237,MOTHERHUB_BLR,CHIDAMBARAMHUB_CDM,50400,36,0
Shipment,MOTHERHUB_BLR-CHIDAMBARAMHUB_CDM-c,12.9842798,77.8242648,11.387667,79.693237,MOTHERHUB_BLR,CHIDAMBARAMHUB_CDM,50400,128,14400
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-p,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,50400,304,0
Shipment,MOTHERHUB_BLR-CHITTOORHUB_COR-c,12.9842798,77.8242648,13.2014982,79.0830914,MOTHERHUB_BLR,CHITTOORHUB_COR,50400,126,14400
Shipment,MOTHERHUB_BLR-CUDDALOREHUB_CDL-p,12.9842798,77.8242648,11.7313395,79.7639738,MOTHERHUB_BLR,CUDDALOREHUB_CDL,50400,136,0
Shipment,MOTHERHUB_BLR-CUDDALOREHUB_CDL-c,12.9842798,77.8242648,11.7313395,79.7639738,MOTHERHUB_BLR,CUDDALOREHUB_CDL,50400,120,14400
Shipment,MOTHERHUB_BLR-DAVANAGEREHUB_DVG-p,12.9842798,77.8242648,14.4610463,75.929815,MOTHERHUB_BLR,DAVANAGEREHUB_DVG,50400,536,0
Shipment,MOTHERHUB_BLR-DAVANAGEREHUB_DVG-c,12.9842798,77.8242648,14.4610463,75.929815,MOTHERHUB_BLR,DAVANAGEREHUB_DVG,50400,244,14400
Shipment,MOTHERHUB_BLR-DHARWADHUB_HBX-p,12.9842798,77.8242648,15.463547,74.999768,MOTHERHUB_BLR,DHARWADHUB_HBX,50400,209,0
Shipment,MOTHERHUB_BLR-DHARWADHUB_HBX-c,12.9842798,77.8242648,15.463547,74.999768,MOTHERHUB_BLR,DHARWADHUB_HBX,50400,177,14400
Shipment,MOTHERHUB_BLR-DINDIGULHUB_DND-p,12.9842798,77.8242648,10.360816,77.979742,MOTHERHUB_BLR,DINDIGULHUB_DND,50400,241,0
Shipment,MOTHERHUB_BLR-DINDIGULHUB_DND-c,12.9842798,77.8242648,10.360816,77.979742,MOTHERHUB_BLR,DINDIGULHUB_DND,50400,195,14400
Shipment,MOTHERHUB_BLR-ERODEHUB_ERD-p,12.9842798,77.8242648,11.329166,77.698901,MOTHERHUB_BLR,ERODEHUB_ERD,50400,444,0
Shipment,MOTHERHUB_BLR-ERODEHUB_ERD-c,12.9842798,77.8242648,11.329166,77.698901,MOTHERHUB_BLR,ERODEHUB_ERD,50400,201,14400
Shipment,MOTHERHUB_BLR-GULBARGAHUB_GUL-p,12.9842798,77.8242648,17.3098466,76.3816097,MOTHERHUB_BLR,GULBARGAHUB_GUL,50400,512,0
Shipment,MOTHERHUB_BLR-GULBARGAHUB_GUL-c,12.9842798,77.8242648,17.3098466,76.3816097,MOTHERHUB_BLR,GULBARGAHUB_GUL,50400,214,14400
Shipment,MOTHERHUB_BLR-HASSANHUB_HSN-p,12.9842798,77.8242648,13.001051,76.099276,MOTHERHUB_BLR,HASSANHUB_HSN,50400,445,0
Shipment,MOTHERHUB_BLR-HASSANHUB_HSN-c,12.9842798,77.8242648,13.001051,76.099276,MOTHERHUB_BLR,HASSANHUB_HSN,50400,211,14400
Shipment,MOTHERHUB_BLR-HOSURHUB_HOS-p,12.9842798,77.8242648,12.724809,77.823444,MOTHERHUB_BLR,HOSURHUB_HOS,50400,589,0
Shipment,MOTHERHUB_BLR-HOSURHUB_HOS-c,12.9842798,77.8242648,12.724809,77.823444,MOTHERHUB_BLR,HOSURHUB_HOS,50400,175,14400
Shipment,MOTHERHUB_BLR-HUBLIHUB_HBX-p,12.9842798,77.8242648,15.353424,75.1411301,MOTHERHUB_BLR,HUBLIHUB_HBX,50400,439,0
Shipment,MOTHERHUB_BLR-HUBLIHUB_HBX-c,12.9842798,77.8242648,15.353424,75.1411301,MOTHERHUB_BLR,HUBLIHUB_HBX,50400,208,14400
Shipment,MOTHERHUB_BLR-JAYDEVNAGARHUB_MYS-p,12.9842798,77.8242648,12.3519896,76.6260603,MOTHERHUB_BLR,JAYDEVNAGARHUB_MYS,50400,462,0
Shipment,MOTHERHUB_BLR-JAYDEVNAGARHUB_MYS-c,12.9842798,77.8242648,12.3519896,76.6260603,MOTHERHUB_BLR,JAYDEVNAGARHUB_MYS,50400,234,14400
Shipment,MOTHERHUB_BLR-KANCHIPURAMHUB_KCH-p,12.9842798,77.8242648,12.827866,79.723161,MOTHERHUB_BLR,KANCHIPURAMHUB_KCH,50400,169,0
Shipment,MOTHERHUB_BLR-KANCHIPURAMHUB_KCH-c,12.9842798,77.8242648,12.827866,79.723161,MOTHERHUB_BLR,KANCHIPURAMHUB_KCH,50400,140,14400
Shipment,MOTHERHUB_BLR-KANNURHUB_KAN-p,12.9842798,77.8242648,11.896797,75.3521253,MOTHERHUB_BLR,KANNURHUB_KAN,50400,645,0
Shipment,MOTHERHUB_BLR-KANNURHUB_KAN-c,12.9842798,77.8242648,11.896797,75.3521253,MOTHERHUB_BLR,KANNURHUB_KAN,50400,269,14400
Shipment,MOTHERHUB_BLR-KARAIKUDIHUB_KRK-p,12.9842798,77.8242648,10.0478,78.6295,MOTHERHUB_BLR,KARAIKUDIHUB_KRK,50400,23,0
Shipment,MOTHERHUB_BLR-KARAIKUDIHUB_KRK-c,12.9842798,77.8242648,10.0478,78.6295,MOTHERHUB_BLR,KARAIKUDIHUB_KRK,50400,81,14400
Shipment,MOTHERHUB_BLR-KARURHUB_KAU-p,12.9842798,77.8242648,10.96063,78.068482,MOTHERHUB_BLR,KARURHUB_KAU,50400,128,0
Shipment,MOTHERHUB_BLR-KARURHUB_KAU-c,12.9842798,77.8242648,10.96063,78.068482,MOTHERHUB_BLR,KARURHUB_KAU,50400,113,14400
Shipment,MOTHERHUB_BLR-KARURMPHUB_CHN-p,12.9842798,77.8242648,10.96063,78.068482,MOTHERHUB_BLR,KARURMPHUB_CHN,50400,1,0
Shipment,MOTHERHUB_BLR-KARURMPHUB_CHN-c,12.9842798,77.8242648,10.96063,78.068482,MOTHERHUB_BLR,KARURMPHUB_CHN,50400,22,14400
Shipment,MOTHERHUB_BLR-KARWARHUB_KWR-p,12.9842798,77.8242648,14.828987,74.137373,MOTHERHUB_BLR,KARWARHUB_KWR,50400,136,0
Shipment,MOTHERHUB_BLR-KARWARHUB_KWR-c,12.9842798,77.8242648,14.828987,74.137373,MOTHERHUB_BLR,KARWARHUB_KWR,50400,122,14400
Shipment,MOTHERHUB_BLR-KUMBAKONAMHUB_TNJ-p,12.9842798,77.8242648,10.9673355,79.3908133,MOTHERHUB_BLR,KUMBAKONAMHUB_TNJ,50400,194,0
Shipment,MOTHERHUB_BLR-KUMBAKONAMHUB_TNJ-c,12.9842798,77.8242648,10.9673355,79.3908133,MOTHERHUB_BLR,KUMBAKONAMHUB_TNJ,50400,158,14400
Shipment,MOTHERHUB_BLR-KUNNAMANGALAMHUB_KNM-p,12.9842798,77.8242648,11.30493,75.877052,MOTHERHUB_BLR,KUNNAMANGALAMHUB_KNM,50400,255,0
Shipment,MOTHERHUB_BLR-KUNNAMANGALAMHUB_KNM-c,12.9842798,77.8242648,11.30493,75.877052,MOTHERHUB_BLR,KUNNAMANGALAMHUB_KNM,50400,173,14400
Shipment,MOTHERHUB_BLR-LAWSPETHUB_PDY-p,12.9842798,77.8242648,11.9556999,79.8270699,MOTHERHUB_BLR,LAWSPETHUB_PDY,50400,673,0
Shipment,MOTHERHUB_BLR-LAWSPETHUB_PDY-c,12.9842798,77.8242648,11.9556999,79.8270699,MOTHERHUB_BLR,LAWSPETHUB_PDY,50400,213,14400
Shipment,MOTHERHUB_BLR-MADURAIHUB_IXM-p,12.9842798,77.8242648,9.916129,78.099971,MOTHERHUB_BLR,MADURAIHUB_IXM,50400,937,0
Shipment,MOTHERHUB_BLR-MADURAIHUB_IXM-c,12.9842798,77.8242648,9.916129,78.099971,MOTHERHUB_BLR,MADURAIHUB_IXM,50400,205,14400
Shipment,MOTHERHUB_BLR-MALAPURAMHUB_MLP-p,12.9842798,77.8242648,11.1447586,76.0647811,MOTHERHUB_BLR,MALAPURAMHUB_MLP,50400,849,0
Shipment,MOTHERHUB_BLR-MALAPURAMHUB_MLP-c,12.9842798,77.8242648,11.1447586,76.0647811,MOTHERHUB_BLR,MALAPURAMHUB_MLP,50400,230,14400
Shipment,MOTHERHUB_BLR-MANDYAHUB_MNY-p,12.9842798,77.8242648,12.5272724,76.8847654,MOTHERHUB_BLR,MANDYAHUB_MNY,50400,132,0
Shipment,MOTHERHUB_BLR-MANDYAHUB_MNY-c,12.9842798,77.8242648,12.5272724,76.8847654,MOTHERHUB_BLR,MANDYAHUB_MNY,50400,100,14400
Shipment,MOTHERHUB_BLR-MANGALOREHUB_IXE-p,12.9842798,77.8242648,12.914142,74.855957,MOTHERHUB_BLR,MANGALOREHUB_IXE,50400,1163,0
Shipment,MOTHERHUB_BLR-MANGALOREHUB_IXE-c,12.9842798,77.8242648,12.914142,74.855957,MOTHERHUB_BLR,MANGALOREHUB_IXE,50400,119,14400
Shipment,MOTHERHUB_BLR-MANIPALHUB_MPL-p,12.9842798,77.8242648,13.3355918,74.7900721,MOTHERHUB_BLR,MANIPALHUB_MPL,50400,788,0
Shipment,MOTHERHUB_BLR-MANIPALHUB_MPL-c,12.9842798,77.8242648,13.3355918,74.7900721,MOTHERHUB_BLR,MANIPALHUB_MPL,50400,252,14400
Shipment,MOTHERHUB_BLR-MYSOREHUB_MYS-p,12.9842798,77.8242648,12.2840665,76.6288059,MOTHERHUB_BLR,MYSOREHUB_MYS,50400,638,0
Shipment,MOTHERHUB_BLR-MYSOREHUB_MYS-c,12.9842798,77.8242648,12.2840665,76.6288059,MOTHERHUB_BLR,MYSOREHUB_MYS,50400,227,14400
Shipment,MOTHERHUB_BLR-NAGERCOILHUB_NGL-p,12.9842798,77.8242648,8.1734,77.4382,MOTHERHUB_BLR,NAGERCOILHUB_NGL,50400,259,0
Shipment,MOTHERHUB_BLR-NAGERCOILHUB_NGL-c,12.9842798,77.8242648,8.1734,77.4382,MOTHERHUB_BLR,NAGERCOILHUB_NGL,50400,203,14400
Shipment,MOTHERHUB_BLR-OOTYHUB_OTY-p,12.9842798,77.8242648,11.4064,76.6932,MOTHERHUB_BLR,OOTYHUB_OTY,50400,185,0
Shipment,MOTHERHUB_BLR-OOTYHUB_OTY-c,12.9842798,77.8242648,11.4064,76.6932,MOTHERHUB_BLR,OOTYHUB_OTY,50400,134,14400
Shipment,MOTHERHUB_BLR-PALAKKADHUB_PKD-p,12.9842798,77.8242648,10.78673,76.654793,MOTHERHUB_BLR,PALAKKADHUB_PKD,50400,496,0
Shipment,MOTHERHUB_BLR-PALAKKADHUB_PKD-c,12.9842798,77.8242648,10.78673,76.654793,MOTHERHUB_BLR,PALAKKADHUB_PKD,50400,205,14400
Shipment,MOTHERHUB_BLR-PALLIPALAYAMHUB_ERD-p,12.9842798,77.8242648,11.375731,77.752714,MOTHERHUB_BLR,PALLIPALAYAMHUB_ERD,50400,199,0
Shipment,MOTHERHUB_BLR-PALLIPALAYAMHUB_ERD-c,12.9842798,77.8242648,11.375731,77.752714,MOTHERHUB_BLR,PALLIPALAYAMHUB_ERD,50400,158,14400
Shipment,MOTHERHUB_BLR-PUDUKOTTAIHUB_PDK-p,12.9842798,77.8242648,10.385915,78.818468,MOTHERHUB_BLR,PUDUKOTTAIHUB_PDK,50400,28,0
Shipment,MOTHERHUB_BLR-PUDUKOTTAIHUB_PDK-c,12.9842798,77.8242648,10.385915,78.818468,MOTHERHUB_BLR,PUDUKOTTAIHUB_PDK,50400,105,14400
Shipment,MOTHERHUB_BLR-RAICHURHUB_RCH-p,12.9842798,77.8242648,16.212003,77.343928,MOTHERHUB_BLR,RAICHURHUB_RCH,50400,308,0
Shipment,MOTHERHUB_BLR-RAICHURHUB_RCH-c,12.9842798,77.8242648,16.212003,77.343928,MOTHERHUB_BLR,RAICHURHUB_RCH,50400,129,14400
Shipment,MOTHERHUB_BLR-SALEMHUB_SXV-p,12.9842798,77.8242648,11.669623,78.146018,MOTHERHUB_BLR,SALEMHUB_SXV,50400,1018,0
Shipment,MOTHERHUB_BLR-SALEMHUB_SXV-c,12.9842798,77.8242648,11.669623,78.146018,MOTHERHUB_BLR,SALEMHUB_SXV,50400,198,14400
Shipment,MOTHERHUB_BLR-SAPTHAGIRIHUB_TPT-p,12.9842798,77.8242648,11.0961,77.2664,MOTHERHUB_BLR,SAPTHAGIRIHUB_TPT,50400,683,0
Shipment,MOTHERHUB_BLR-SAPTHAGIRIHUB_TPT-c,12.9842798,77.8242648,11.0961,77.2664,MOTHERHUB_BLR,SAPTHAGIRIHUB_TPT,50400,215,14400
Shipment,MOTHERHUB_BLR-SHIMOGAHUB_SMG-p,12.9842798,77.8242648,13.952498,75.557576,MOTHERHUB_BLR,SHIMOGAHUB_SMG,50400,198,0
Shipment,MOTHERHUB_BLR-SHIMOGAHUB_SMG-c,12.9842798,77.8242648,13.952498,75.557576,MOTHERHUB_BLR,SHIMOGAHUB_SMG,50400,161,14400
Shipment,MOTHERHUB_BLR-SIVAKASIHUB_SVK-p,12.9842798,77.8242648,9.458347,77.79752,MOTHERHUB_BLR,SIVAKASIHUB_SVK,50400,330,0
Shipment,MOTHERHUB_BLR-SIVAKASIHUB_SVK-c,12.9842798,77.8242648,9.458347,77.79752,MOTHERHUB_BLR,SIVAKASIHUB_SVK,50400,171,14400
Shipment,MOTHERHUB_BLR-SURATHKALHUB_IXE-p,12.9842798,77.8242648,12.970753,74.804737,MOTHERHUB_BLR,SURATHKALHUB_IXE,50400,217,0
Shipment,MOTHERHUB_BLR-SURATHKALHUB_IXE-c,12.9842798,77.8242648,12.970753,74.804737,MOTHERHUB_BLR,SURATHKALHUB_IXE,50400,159,14400
Shipment,MOTHERHUB_BLR-THALASSERYHUB_THL-p,12.9842798,77.8242648,11.7707,75.5102,MOTHERHUB_BLR,THALASSERYHUB_THL,50400,241,0
Shipment,MOTHERHUB_BLR-THALASSERYHUB_THL-c,12.9842798,77.8242648,11.7707,75.5102,MOTHERHUB_BLR,THALASSERYHUB_THL,50400,155,14400
