Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time,Load,Del_time,flag,Ready_time_10,del_time,Ready_time_11,dist,time,Ready_time_10,del_time_10,Ready_time_11,del_time_11,Ready_time_12,del_time_12,Ready_time_1,del_time_1,Ready_time_2,del_time_2,Ready_time_3,del_time_3
Shipment,MotherHub_BNL-AboharHub_ABH,28.3076,76.88272,30.14926,74.19493,MotherHub_BNL,AboharHub_ABH,79200,150,118800,1,79200,126000,82800,431.0576517579,14.3685883919,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-AgraHub_AGR,28.3076,76.88272,27.20537,77.97099,MotherHub_BNL,AgraHub_AGR,79200,1151,118800,1,79200,126000,82800,211.577711516,7.0525903839,79200,118800,82800,118800,86400,118800,90000,118800,104400,205200,104400,205200
Shipment,MotherHub_BNL-AligarhHub_ALG,28.3076,76.88272,27.89074,78.03265,MotherHub_BNL,AligarhHub_ALG,79200,737,118800,1,79200,126000,82800,158.5314817095,5.2843827236,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-AmritsarHub_ATQ,28.3076,76.88272,31.6513,74.86428,MotherHub_BNL,AmritsarHub_ATQ,79200,1039,122400,1,79200,126000,82800,545.3967000203,18.1798900007,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-BarabankiHub_BBK,28.3076,76.88272,26.9955,81.2519,MotherHub_BNL,BarabankiHub_BBK,79200,176,118800,1,79200,126000,82800,590.6733768441,19.6891125615,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-BareillyHub_BRY,28.3076,76.88272,28.38158,79.43506,MotherHub_BNL,BareillyHub_BRY,79200,667,118800,1,79200,126000,82800,324.8853570605,10.829511902,79200,118800,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-BarnalaHub_BRN,28.3076,76.88272,30.37839,75.54076,MotherHub_BNL,BarnalaHub_BRN,79200,114,118800,1,79200,126000,82800,343.7901851936,11.4596728398,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-BhatindaHub_BUP,28.3076,76.88272,30.19422,74.96325,MotherHub_BNL,BhatindaHub_BUP,79200,494,118800,1,79200,126000,82800,364.6487026817,12.1549567561,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
Shipment,MotherHub_BNL-BhiwaniHub_DEL,28.3076,76.88272,28.79168,76.15736,MotherHub_BNL,BhiwaniHub_DEL,79200,426,118800,1,79200,126000,82800,115.6697184097,3.8556572803,79200,118800,82800,118800,86400,118800,90000,118800,93600,118800,97200,118800
Shipment,MotherHub_BNL-ChandigarhHub_DEL,28.3076,76.88272,30.70897,76.80318,MotherHub_BNL,ChandigarhHub_DEL,79200,1304,118800,1,79200,126000,82800,347.2703604171,11.5756786806,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200,104400,205200
