Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,Ready_time,Load
Shipment,MOTHERHUB_CHN-AMIJIKARAIHUB_CHN,13.04591,80.067723,13.0478950,80.2548990,MOTHERHUB_CHN,AMIJIKARAIHUB_CHN,72000,1670
Shipment,MOTHERHUB_CHN-AMIJIKARAIMPHUB_CHN,13.04591,80.067723,13.0478950,80.2548990,MOTHERHUB_CHN,AMIJIKARAIMPHUB_CHN,72000,25
Shipment,MOTHERHUB_CHN-GUINDYHUB_MAA,13.04591,80.067723,13.0334830,80.1611730,MOTHERHUB_CHN,GUINDYHUB_MAA,72000,1760
Shipment,MOTHERHUB_CHN-KEELKATTALAIHUB_CHN,13.04591,80.067723,12.9499570,80.1861980,MOTHERHUB_CHN,KEELKATTALAIHUB_CHN,72000,1008
Shipment,MOTHERHUB_CHN-KILPAUKHUB_CHN,13.04591,80.067723,13.0880246,80.2507325,MOTHERHUB_CHN,KILPAUKHUB_CHN,72000,895
Shipment,MOTHERHUB_CHN-KILPAUKMPHUB_CHN,13.04591,80.067723,13.0880246,80.2507325,MOTHERHUB_CHN,KILPAUKMPHUB_CHN,72000,36
Shipment,MOTHERHUB_CHN-MMNAGARHUB_CHN,13.04591,80.067723,12.7839760,80.0332646,MOTHERHUB_CHN,MMNAGARHUB_CHN,72000,723
Shipment,MOTHERHUB_CHN-PADIHUB_CHN,13.04591,80.067723,13.1047808,80.1741232,MOTHERHUB_CHN,PADIHUB_CHN,72000,1805
Shipment,MOTHERHUB_CHN-PALLAVAKAMHUB_CHN,13.04591,80.067723,12.9715610,80.2467370,MOTHERHUB_CHN,PALLAVAKAMHUB_CHN,72000,1130
Shipment,MOTHERHUB_CHN-PERAMBURHUB_CHN,13.04591,80.067723,13.1414390,80.2266770,MOTHERHUB_CHN,PERAMBURHUB_CHN,72000,1367
Shipment,MOTHERHUB_CHN-PURASAVAKKAMMPHUB_CHN,13.04591,80.067723,13.0897000,80.2541000,MOTHERHUB_CHN,PURASAVAKKAMMPHUB_CHN,72000,196
Shipment,MOTHERHUB_CHN-SHOLLINGANALLURHUB_CHN,13.04591,80.067723,12.8760578,80.2287766,MOTHERHUB_CHN,SHOLLINGANALLURHUB_CHN,72000,1523
Shipment,MOTHERHUB_CHN-SRIPERUMBUDURHUB_CHN,13.04591,80.067723,12.9731928,79.9546946,MOTHERHUB_CHN,SRIPERUMBUDURHUB_CHN,72000,342
Shipment,MOTHERHUB_CHN-TAMBARAMHUB_MAA,13.04591,80.067723,12.9133030,80.0829980,MOTHERHUB_CHN,TAMBARAMHUB_MAA,72000,821
Shipment,MOTHERHUB_CHN-VALASARAVAKKAMMPHUB_CHN,13.04591,80.067723,13.0485000,80.1775000,MOTHERHUB_CHN,VALASARAVAKKAMMPHUB_CHN,72000,103
