Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,COCHINTCHUB_KAM-ALLEPPEYHUB_ALP-p,10.0435449,76.3367287,9.4837391,76.3284354,COCHINTCHUB_KAM,ALLEPPEYHUB_ALP,72000,485,0
Shipment,COCHINTCHUB_KAM-ALLEPPEYHUB_ALP-c,10.0435449,76.3367287,9.4837391,76.3284354,COCHINTCHUB_KAM,ALLEPPEYHUB_ALP,72000,198,14400
Shipment,COCHINTCHUB_KAM-ALUVAHUB_ALU-p,10.0435449,76.3367287,10.111613,76.373885,COCHINTCHUB_KAM,ALUVAHUB_ALU,72000,870,0
Shipment,COCHINTCHUB_KAM-ALUVAHUB_ALU-c,10.0435449,76.3367287,10.111613,76.373885,COCHINTCHUB_KAM,ALUVAHUB_ALU,72000,230,14400
Shipment,COCHINTCHUB_KAM-IRINJALAKUDAHUB_IJK-p,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,IRINJALAKUDAHUB_IJK,72000,276,0
Shipment,COCHINTCHUB_KAM-IRINJALAKUDAHUB_IJK-c,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,IRINJALAKUDAHUB_IJK,72000,194,14400
Shipment,COCHINTCHUB_KAM-KAYAMKULAMHUB_KKM-p,10.0435449,76.3367287,9.208077,76.515012,COCHINTCHUB_KAM,KAYAMKULAMHUB_KKM,72000,218,0
Shipment,COCHINTCHUB_KAM-KAYAMKULAMHUB_KKM-c,10.0435449,76.3367287,9.208077,76.515012,COCHINTCHUB_KAM,KAYAMKULAMHUB_KKM,72000,154,14400
Shipment,COCHINTCHUB_KAM-KOLLAMHUB_QLN-p,10.0435449,76.3367287,8.879079,76.608681,COCHINTCHUB_KAM,KOLLAMHUB_QLN,72000,599,0
Shipment,COCHINTCHUB_KAM-KOLLAMHUB_QLN-c,10.0435449,76.3367287,8.879079,76.608681,COCHINTCHUB_KAM,KOLLAMHUB_QLN,72000,259,14400
Shipment,COCHINTCHUB_KAM-KOTTAYAMHUB_KTY-p,10.0435449,76.3367287,9.587114,76.5235,COCHINTCHUB_KAM,KOTTAYAMHUB_KTY,72000,528,0
Shipment,COCHINTCHUB_KAM-KOTTAYAMHUB_KTY-c,10.0435449,76.3367287,9.587114,76.5235,COCHINTCHUB_KAM,KOTTAYAMHUB_KTY,72000,214,14400
Shipment,COCHINTCHUB_KAM-PALAHUB_PLA-p,10.0435449,76.3367287,9.702529,76.664169,COCHINTCHUB_KAM,PALAHUB_PLA,72000,431,0
Shipment,COCHINTCHUB_KAM-PALAHUB_PLA-c,10.0435449,76.3367287,9.702529,76.664169,COCHINTCHUB_KAM,PALAHUB_PLA,72000,157,14400
Shipment,COCHINTCHUB_KAM-THODUPUZHAHUB_THP-p,10.0435449,76.3367287,9.89941,76.71859,COCHINTCHUB_KAM,THODUPUZHAHUB_THP,72000,539,0
Shipment,COCHINTCHUB_KAM-THODUPUZHAHUB_THP-c,10.0435449,76.3367287,9.89941,76.71859,COCHINTCHUB_KAM,THODUPUZHAHUB_THP,72000,195,14400
Shipment,COCHINTCHUB_KAM-TIRUVALLAHUB_TIR-p,10.0435449,76.3367287,9.3678185,76.5419499,COCHINTCHUB_KAM,TIRUVALLAHUB_TIR,72000,607,0
Shipment,COCHINTCHUB_KAM-TIRUVALLAHUB_TIR-c,10.0435449,76.3367287,9.3678185,76.5419499,COCHINTCHUB_KAM,TIRUVALLAHUB_TIR,72000,231,14400
Shipment,COCHINTCHUB_KAM-TRIPUNITHURAHUB_TRT-p,10.0435449,76.3367287,9.9347282,76.337804,COCHINTCHUB_KAM,TRIPUNITHURAHUB_TRT,72000,298,0
Shipment,COCHINTCHUB_KAM-TRIPUNITHURAHUB_TRT-c,10.0435449,76.3367287,9.9347282,76.337804,COCHINTCHUB_KAM,TRIPUNITHURAHUB_TRT,72000,197,14400
Shipment,COCHINTCHUB_KAM-TRISSURHUB_TCR-p,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,TRISSURHUB_TCR,72000,726,0
Shipment,COCHINTCHUB_KAM-TRISSURHUB_TCR-c,10.0435449,76.3367287,10.344324,76.249005,COCHINTCHUB_KAM,TRISSURHUB_TCR,72000,214,14400
Shipment,COCHINTCHUB_KAM-TRIVANDRUMHUB_TRV-p,10.0435449,76.3367287,8.8741725,76.6123883,COCHINTCHUB_KAM,TRIVANDRUMHUB_TRV,72000,1712,0
Shipment,COCHINTCHUB_KAM-TRIVANDRUMHUB_TRV-c,10.0435449,76.3367287,8.8741725,76.6123883,COCHINTCHUB_KAM,TRIVANDRUMHUB_TRV,72000,97,14400
