Facility,DH name,Cutoff,Time ,Geocoding       DH City,Geocoding LZN Classification,Metro/ ROI/    NE-J&K,REGULAR SLA,SLOW SLA,REGULAR LPHT,LPHT,Transit Time,Reach Time,Reach Time,Start Time,Reach New,Connection Time ,Connection,Difference,Difference hrs,New Difference,Comments,New LPHT
fkl-bilaspur,GhaziabadHub_DEL,MotherHub_BAM,10:00:00 AM,Ghaziabad,Z,,0.875,0.875,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 AM,0.42,0.83,20,19,Improve,Lpht at 8p.m
fkl-bilaspur,SahibabadHub_DEL,MotherHub_BAM,10:00:00 AM,Ghaziabad,Z,,0.875,0.875,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 AM,0.42,0.83,20,19,Improve,Lpht at 8p.m
fkl-bilaspur,Phase3NoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,0.875,0.875,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,10:00:00 AM,0.42,0.5,12,11,Improve,Lpht at 8p.m
fkl-bilaspur,NoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,0.875,0.875,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,10:00:00 AM,0.42,0.5,12,11,Improve,Lpht at 8p.m
fkl-delhi,GhaziabadHub_DEL,MotherHub_BAM,10:00:00 AM,Ghaziabad,Z,,0.875,0.875,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 AM,0.42,0.63,15,14,Improve,Lpht at 8p.m
fkl-delhi,SahibabadHub_DEL,MotherHub_BAM,10:00:00 AM,Ghaziabad,Z,,0.875,0.875,04:30:00 PM,0.69,2.5,0.79,06:57:36 PM,08:57:36 PM,0.79,10:00:00 AM,0.42,0.63,15,14,Improve,Lpht at 8p.m
fkl-delhi,Phase3NoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,0.875,0.875,09:30:00 PM,0.9,2.5,1,12:00:00 AM,02:00:00 AM,1,10:00:00 AM,0.42,0.42,10,9,Improve,Lpht at 8p.m
fkl-delhi,NoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,0.875,0.875,09:30:00 PM,0.9,2.5,1,12:00:00 AM,02:00:00 AM,1,10:00:00 AM,0.42,0.42,10,9,Improve,Lpht at 8p.m
fkl-Pataudi,GhaziabadHub_DEL,MotherHub_BAM,10:00:00 AM,Ghaziabad,Z,,0.875,0.875,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 AM,0.42,0.83,20,19,Improve,Lpht at 8p.m
fkl-Pataudi,SahibabadHub_DEL,MotherHub_BAM,10:00:00 AM,Ghaziabad,Z,,0.875,0.875,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 AM,0.42,0.83,20,19,Improve,Lpht at 8p.m
fkl-Pataudi,Phase3NoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,0.875,0.875,07:30:00 PM,0.81,1.5,0.88,09:07:12 PM,11:07:12 PM,0.88,10:00:00 AM,0.42,0.54,13,12,Improve,Lpht at 8p.m
fkl-Pataudi,NoidaHub_DEL,MotherHub_BAM,10:00:00 AM,Noida,Z,,0.875,0.875,07:30:00 PM,0.81,1.5,0.88,09:07:12 PM,11:07:12 PM,0.88,10:00:00 AM,0.42,0.54,13,12,Improve,Lpht at 8p.m
fkl-bilaspur,BadshahpurHub_DEL,MotherHub_BAM,10:00:00 AM,SOHNA,Z,,0.875,0.875,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 AM,0.42,0.83,20,19,Improve,Lpht at 8p.m
fkl-Pataudi,BadshahpurHub_DEL,MotherHub_BAM,10:00:00 AM,SOHNA,Z,,0.875,0.875,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,10:00:00 AM,0.42,0.83,20,19,Improve,Lpht at 8p.m
fkl-bilaspur,DharuheraHub_DRH,DharuheraHub_DRH,05:00:00 AM,Dharuhera,Z,,1,1,08:30:00 PM,0.85,1.5,0.92,10:04:48 PM,12:04:48 AM,0.92,05:00:00 AM,0.21,0.29,7,6,Okay,No change
fkl-bilaspur,RewariHub_RWR,RewariHub_RWR,05:30:00 AM,Rewari,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,05:30:00 AM,0.23,0.65,15.5,14.5,Improve,Lpht at 8p.m
fkl-bilaspur,RohtakHub_ROH,RohtakHub_ROH,09:00:00 PM,Rohtak,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-bilaspur,HissarHub_HSS,HissarHub_HSS,09:00:00 PM,Hissar,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-bilaspur,JindHub_JND,JindHub_JND,09:00:00 PM,Jind,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-bilaspur,BhiwaniHub_DEL,BhiwaniHub_DEL,09:00:00 PM,Bhiwani,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:00:00 PM,0.88,0.23,5.5,4.5,Okay,No change
fkl-bilaspur,SonepatHub_SOP,SonepatHub_SOP,09:45:00 PM,Sonipat,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
fkl-bilaspur,KarnalHub_KAL,KarnalHub_KAL,09:00:00 PM,Karnal,Z,,1,1,12:30:00 PM,0.52,1.5,0.58,01:55:12 PM,03:55:12 PM,0.58,09:00:00 PM,0.88,0.29,7,6,Okay,No change
fkl-bilaspur,PanipatHub_PPT,PanipatHub_PPT,09:45:00 PM,Panipat,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
fkl-bilaspur,AmbalaHub_UMB,MotherHub_ABL,09:45:00 PM,Ambala,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,09:45:00 PM,0.91,0.26,6.25,5.25,Okay,No change
fkl-bilaspur,PanchkulaHub_PKL,PanchkulaHub_PKL,08:30:00 PM,Panchkula,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
fkl-bilaspur,ChandigarhHub_DEL,ChandigarhHub_DEL,08:30:00 PM,Chandigarh,Z,,1,1,02:00:00 PM,0.58,1.5,0.65,03:36:00 PM,05:36:00 PM,0.65,08:30:00 PM,0.85,0.21,5,4,Okay,No change
