Type,Key,src_lat,src_long,dest_lat,dest_long,MH,DH/PH,ready_time,Load,delivery_time,LZ1Z2
Shipment,MotherHub_BNL-AgraHub_AGR,28.307599,76.882718,27.20537,77.97099,MotherHub_BNL,AgraHub_AGR,0,762,32400,Z1
Shipment,MotherHub_BNL-AligarhHub_ALG,28.307599,76.882718,27.89074,78.03265,MotherHub_BNL,AligarhHub_ALG,0,600,32400,Z1
Shipment,MotherHub_BNL-BareillyHub_BRY,28.307599,76.882718,28.38158,79.43506,MotherHub_BNL,BareillyHub_BRY,0,574,32400,Z1
Shipment,MotherHub_BNL-BhiwaniHub_DEL,28.307599,76.882718,28.79168,76.15736,MotherHub_BNL,BhiwaniHub_DEL,0,331,32400,Z1
Shipment,MotherHub_BNL-FirozabadHub_FIR,28.307599,76.882718,27.1603,78.39434,MotherHub_BNL,FirozabadHub_FIR,0,227,32400,Z1
Shipment,MotherHub_BNL-HaridwarHub_HRD,28.307599,76.882718,29.94569,78.16425,MotherHub_BNL,HaridwarHub_HRD,0,673,32400,Z1
Shipment,MotherHub_BNL-HissarHub_HSS,28.307599,76.882718,29.13429,75.74821,MotherHub_BNL,HissarHub_HSS,0,601,32400,Z1
Shipment,MotherHub_BNL-KaithalHub_KTL,28.307599,76.882718,29.9781,76.58375,MotherHub_BNL,KaithalHub_KTL,0,177,32400,Z1
Shipment,MotherHub_BNL-KarnalHub_KAL,28.307599,76.882718,29.7003,76.99743,MotherHub_BNL,KarnalHub_KAL,0,273,32400,Z1
Shipment,MotherHub_BNL-KurukshetraHub_KUR,28.307599,76.882718,29.9786,76.85336,MotherHub_BNL,KurukshetraHub_KUR,0,233,32400,Z1
Shipment,MotherHub_BNL-MathuraHub_MTH,28.307599,76.882718,27.49578,77.66238,MotherHub_BNL,MathuraHub_MTH,0,305,32400,Z1
Shipment,MotherHub_BNL-MoradabadHub_MRD,28.307599,76.882718,28.8302,78.73854,MotherHub_BNL,MoradabadHub_MRD,0,624,32400,Z1
Shipment,MotherHub_BNL-MuzaffarnagarHub_MFN,28.307599,76.882718,29.47268,77.70851,MotherHub_BNL,MuzaffarnagarHub_MFN,0,237,32400,Z1
Shipment,MotherHub_BNL-NarnaulHub_NNL,28.307599,76.882718,28.06932,76.10676,MotherHub_BNL,NarnaulHub_NNL,0,301,32400,Z1
Shipment,MotherHub_BNL-PanipatHub_PPT,28.307599,76.882718,29.41169,76.97199,MotherHub_BNL,PanipatHub_PPT,0,409,32400,Z1
Shipment,MotherHub_BNL-SaharanpurHub_SHP,28.307599,76.882718,29.95604,77.54524,MotherHub_BNL,SaharanpurHub_SHP,0,284,32400,Z1
Shipment,MotherHub_BNL-SirsaHub_SRS,28.307599,76.882718,29.53637,75.01584,MotherHub_BNL,SirsaHub_SRS,0,261,32400,Z1
Shipment,MotherHub_BNL-SonepatHub_SOP,28.307599,76.882718,28.99955,77.03274,MotherHub_BNL,SonepatHub_SOP,0,426,32400,Z1
Shipment,MotherHub_BNL-YamunaNagarHub_YNR,28.307599,76.882718,30.12658,77.29488,MotherHub_BNL,YamunaNagarHub_YNR,0,289,32400,Z1
