Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,Ready_time,Load,pickup_time
Shipment,MOTHERHUB_BAM-ALIPURHUB_DEL-p,28.545321,77.02914,28.711593,77.175141,MOTHERHUB_BAM,ALIPURHUB_DEL,82800,446,0
Shipment,MOTHERHUB_BAM-ALIPURHUB_DEL-c,28.545321,77.02914,28.711593,77.175141,MOTHERHUB_BAM,ALIPURHUB_DEL,82800,137,3600
Shipment,MOTHERHUB_BAM-ALIPURMPHUB_DEL-p,28.545321,77.02914,28.711593,77.175141,MOTHERHUB_BAM,ALIPURMPHUB_DEL,82800,28,0
Shipment,MOTHERHUB_BAM-ALIPURMPHUB_DEL-c,28.545321,77.02914,28.711593,77.175141,MOTHERHUB_BAM,ALIPURMPHUB_DEL,82800,393,3600
Shipment,MOTHERHUB_BAM-ANANDVIHARHUB_DEL-p,28.545321,77.02914,28.644665,77.315615,MOTHERHUB_BAM,ANANDVIHARHUB_DEL,82800,1348,0
Shipment,MOTHERHUB_BAM-ANANDVIHARHUB_DEL-c,28.545321,77.02914,28.644665,77.315615,MOTHERHUB_BAM,ANANDVIHARHUB_DEL,82800,181,3600
Shipment,MOTHERHUB_BAM-BADSHAHPURHUB_DEL-p,28.545321,77.02914,28.396851,77.046063,MOTHERHUB_BAM,BADSHAHPURHUB_DEL,82800,969,0
Shipment,MOTHERHUB_BAM-BADSHAHPURHUB_DEL-c,28.545321,77.02914,28.396851,77.046063,MOTHERHUB_BAM,BADSHAHPURHUB_DEL,82800,245,3600
Shipment,MOTHERHUB_BAM-BADSHAHPURMPHUB_DEL-p,28.545321,77.02914,28.396851,77.046063,MOTHERHUB_BAM,BADSHAHPURMPHUB_DEL,82800,2,0
Shipment,MOTHERHUB_BAM-BADSHAHPURMPHUB_DEL-c,28.545321,77.02914,28.396851,77.046063,MOTHERHUB_BAM,BADSHAHPURMPHUB_DEL,82800,28,3600
Shipment,MOTHERHUB_BAM-BAHADURGARHHUB_BHD-p,28.545321,77.02914,28.70882,76.886508,MOTHERHUB_BAM,BAHADURGARHHUB_BHD,82800,83,0
