Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time_10,Load,del_time
Shipment,MotherHub_BNL-AboharHub_ABH,28.3076,76.88272,30.14926,74.19493,MotherHub_BNL,AboharHub_ABH,79200,150,126000
Shipment,MotherHub_BNL-AgraHub_AGR,28.3076,76.88272,27.20537,77.97099,MotherHub_BNL,AgraHub_AGR,79200,1151,126000
Shipment,MotherHub_BNL-AligarhHub_ALG,28.3076,76.88272,27.89074,78.03265,MotherHub_BNL,AligarhHub_ALG,79200,737,126000
Shipment,MotherHub_BNL-AmritsarHub_ATQ,28.3076,76.88272,31.6513,74.86428,MotherHub_BNL,AmritsarHub_ATQ,79200,1039,126000
Shipment,MotherHub_BNL-BarabankiHub_BBK,28.3076,76.88272,26.9400723,81.1549805,MotherHub_BNL,BarabankiHub_BBK,104400,176,212400
Shipment,MotherHub_BNL-BareillyHub_BRY,28.3076,76.88272,28.38158,79.43506,MotherHub_BNL,BareillyHub_BRY,79200,667,126000
Shipment,MotherHub_BNL-BarnalaHub_BRN,28.3076,76.88272,30.37839,75.54076,MotherHub_BNL,BarnalaHub_BRN,79200,114,126000
Shipment,MotherHub_BNL-BhatindaHub_BUP,28.3076,76.88272,30.19422,74.96325,MotherHub_BNL,BhatindaHub_BUP,79200,494,126000
Shipment,MotherHub_BNL-BhiwaniHub_DEL,28.3076,76.88272,28.79168,76.15736,MotherHub_BNL,BhiwaniHub_DEL,79200,426,126000
Shipment,MotherHub_BNL-ChandigarhHub_DEL,28.3076,76.88272,30.70897,76.80318,MotherHub_BNL,ChandigarhHub_DEL,79200,1304,126000
Shipment,MotherHub_BNL-CityCenterHub_GWL,28.3076,76.88272,21.13735,80.247,MotherHub_BNL,CityCenterHub_GWL,104400,1120,212400
Shipment,MotherHub_BNL-DasuaHub_DSU,28.3076,76.88272,31.81333,75.66827,MotherHub_BNL,DasuaHub_DSU,79200,188,126000
Shipment,MotherHub_BNL-DehradunHub_DED,28.3076,76.88272,30.30657,78.00573,MotherHub_BNL,DehradunHub_DED,79200,1747,126000
Shipment,MotherHub_BNL-DharuheraHub_DRH,28.3076,76.88272,28.20912,76.77549,MotherHub_BNL,DharuheraHub_DRH,79200,932,126000
Shipment,MotherHub_BNL-FatehabadHub_FHB,28.3076,76.88272,29.5148,75.4407,MotherHub_BNL,FatehabadHub_FHB,79200,140,126000
Shipment,MotherHub_BNL-FirozabadHub_FIR,28.3076,76.88272,27.1603,78.39434,MotherHub_BNL,FirozabadHub_FIR,79200,267,126000
Shipment,MotherHub_BNL-FirozabadMPHub_FIR,28.3076,76.88272,27.1603,78.39434,MotherHub_BNL,FirozabadMPHub_FIR,79200,15,126000
Shipment,MotherHub_BNL-GobindgarhHub_LUH,28.3076,76.88272,30.65957,76.3002,MotherHub_BNL,GobindgarhHub_LUH,79200,384,126000
Shipment,MotherHub_BNL-GurdaspurHub_GDS,28.3076,76.88272,32.03059,75.39289,MotherHub_BNL,GurdaspurHub_GDS,104400,441,212400
Shipment,MotherHub_BNL-GwaliorMPHub_GWL,28.3076,76.88272,26.2,78.2,MotherHub_BNL,GwaliorMPHub_GWL,79200,40,126000
Shipment,MotherHub_BNL-HaridwarHub_HRD,28.3076,76.88272,29.94569,78.16425,MotherHub_BNL,HaridwarHub_HRD,79200,807,126000
Shipment,MotherHub_BNL-HissarHub_HSS,28.3076,76.88272,29.13429,75.74821,MotherHub_BNL,HissarHub_HSS,79200,816,126000
Shipment,MotherHub_BNL-HoshiarpurHub_HAP,28.3076,76.88272,31.51998,75.92618,MotherHub_BNL,HoshiarpurHub_HAP,79200,268,126000
Shipment,MotherHub_BNL-JalandharHub_JLR,28.3076,76.88272,31.31652,75.6339,MotherHub_BNL,JalandharHub_JLR,79200,1073,126000
Shipment,MotherHub_BNL-JaunpurHub_JNP,28.3076,76.88272,30.14926,74.19493,MotherHub_BNL,JaunpurHub_JNP,79200,156,126000
Shipment,MotherHub_BNL-JhansiHub_JHS,28.3076,76.88272,25.44843,78.56846,MotherHub_BNL,JhansiHub_JHS,79200,367,126000
Shipment,MotherHub_BNL-JindHub_JND,28.3076,76.88272,28.87825,76.5872,MotherHub_BNL,JindHub_JND,79200,291,126000
Shipment,MotherHub_BNL-KaithalHub_KTL,28.3076,76.88272,29.9781,76.58375,MotherHub_BNL,KaithalHub_KTL,79200,238,126000
Shipment,MotherHub_BNL-KarnalHub_KAL,28.3076,76.88272,29.7003,76.99743,MotherHub_BNL,KarnalHub_KAL,79200,352,126000
Shipment,MotherHub_BNL-KotkapuraHub_KKP,28.3076,76.88272,30.58372,74.82598,MotherHub_BNL,KotkapuraHub_KKP,79200,169,126000
Shipment,MotherHub_BNL-KurukshetraHub_KUR,28.3076,76.88272,29.9786,76.85336,MotherHub_BNL,KurukshetraHub_KUR,79200,274,126000
Shipment,MotherHub_BNL-LudhianaHub_LUH,28.3076,76.88272,30.88109,75.86274,MotherHub_BNL,LudhianaHub_LUH,79200,1680,126000
Shipment,MotherHub_BNL-MathuraHub_MTH,28.3076,76.88272,27.49578,77.66238,MotherHub_BNL,MathuraHub_MTH,79200,378,126000
Shipment,MotherHub_BNL-MeerutHub_MEE,28.3076,76.88272,28.53423,77.27465,MotherHub_BNL,MeerutHub_MEE,79200,1060,126000
Shipment,MotherHub_BNL-MohaliHub_IXC,28.3076,76.88272,30.71138,76.69249,MotherHub_BNL,MohaliHub_IXC,79200,973,126000
Shipment,MotherHub_BNL-MoradabadHub_MRD,28.3076,76.88272,28.8302,78.73854,MotherHub_BNL,MoradabadHub_MRD,79200,771,126000
Shipment,MotherHub_BNL-MotherHub_JAI-0,28.3076,76.88272,26.94893,75.76193,MotherHub_BNL,MotherHub_JAI-0,79200,5500,126000
