Type,Key,src_lat,src_long,dest_lat,dest_long,src_final,dest_hub,Ready_time,Load,del_time,del_time_10,del_time_11
Shipment,MotherHub_BNL-AboharHub_ABH,28.307599,76.882718,30.149263,74.194927,MotherHub_BNL,AboharHub_ABH,82800,149,118800,122400,126000
Shipment,MotherHub_BNL-AgraHub_AGR,28.307599,76.882718,27.205372,77.970991,MotherHub_BNL,AgraHub_AGR,82800,883,118800,122400,126000
Shipment,MotherHub_BNL-AligarhHub_ALG,28.307599,76.882718,27.89074,78.03265,MotherHub_BNL,AligarhHub_ALG,82800,733,118800,122400,126000
Shipment,MotherHub_BNL-AmritsarHub_ATQ,28.307599,76.882718,31.651302,74.864281,MotherHub_BNL,AmritsarHub_ATQ,82800,1021,183600,208800,212400
Shipment,MotherHub_BNL-BaddiHub_BDI,28.307599,76.882718,30.9578,76.7914,MotherHub_BNL,BaddiHub_BDI,82800,33,118800,122400,126000
Shipment,MotherHub_BNL-BahadurgarhHub_BHD,28.307599,76.882718,28.70882,76.886508,MotherHub_BNL,BahadurgarhHub_BHD,82800,181,118800,122400,126000
Shipment,MotherHub_BNL-BarabankiHub_BBK,28.307599,76.882718,30.248138,75.834182,MotherHub_BNL,BarabankiHub_BBK,82800,175,118800,122400,126000
Shipment,MotherHub_BNL-BareillyHub_BRY,28.307599,76.882718,28.381579,79.435057,MotherHub_BNL,BareillyHub_BRY,82800,658,118800,122400,126000
Shipment,MotherHub_BNL-BarnalaHub_BRN,28.307599,76.882718,30.378391,75.540759,MotherHub_BNL,BarnalaHub_BRN,82800,114,118800,122400,126000
Shipment,MotherHub_BNL-BhatindaHub_BUP,28.307599,76.882718,30.194219,74.9632534,MotherHub_BNL,BhatindaHub_BUP,82800,493,118800,122400,126000
Shipment,MotherHub_BNL-BhiwaniHub_DEL,28.307599,76.882718,28.791677,76.157361,MotherHub_BNL,BhiwaniHub_DEL,82800,426,118800,122400,126000
Shipment,MotherHub_BNL-ChandigarhHub_DEL,28.307599,76.882718,30.7089676,76.8031809,MotherHub_BNL,ChandigarhHub_DEL,82800,1216,118800,122400,126000
Shipment,MotherHub_BNL-ChhatarpurMPHub_DEL,28.307599,76.882718,24.9,79.6,MotherHub_BNL,ChhatarpurMPHub_DEL,82800,0,183600,208800,212400
Shipment,MotherHub_BNL-CityCenterHub_GWL,28.307599,76.882718,21.1373484,80.2469986,MotherHub_BNL,CityCenterHub_GWL,82800,1120,183600,208800,212400
Shipment,MotherHub_BNL-DasuaHub_DSU,28.307599,76.882718,31.813325,75.668273,MotherHub_BNL,DasuaHub_DSU,82800,188,183600,208800,212400
Shipment,MotherHub_BNL-DehradunHub_DED,28.307599,76.882718,30.306571,78.005725,MotherHub_BNL,DehradunHub_DED,82800,1746,118800,122400,126000
Shipment,MotherHub_BNL-DharuheraHub_DRH,28.307599,76.882718,28.209118,76.77549,MotherHub_BNL,DharuheraHub_DRH,82800,932,118800,122400,126000
Shipment,MotherHub_BNL-DwarakaMPHub_DEL,28.307599,76.882718,28.584976,77.00962,MotherHub_BNL,DwarakaMPHub_DEL,82800,0,118800,122400,126000
Shipment,MotherHub_BNL-FatehabadHub_FHB,28.307599,76.882718,29.5148,75.4407,MotherHub_BNL,FatehabadHub_FHB,82800,139,118800,122400,126000
Shipment,MotherHub_BNL-FirozabadHub_FIR,28.307599,76.882718,27.160296,78.39434,MotherHub_BNL,FirozabadHub_FIR,82800,267,118800,122400,126000
Shipment,MotherHub_BNL-GobindgarhHub_LUH,28.307599,76.882718,30.659566,76.300198,MotherHub_BNL,GobindgarhHub_LUH,82800,383,118800,122400,126000
Shipment,MotherHub_BNL-GurdaspurHub_GDS,28.307599,76.882718,32.03059,75.392885,MotherHub_BNL,GurdaspurHub_GDS,82800,440,183600,208800,212400
