Type,Key,src_lat,src_long,dest_lat,dest_long,Source,DH,Ready_time,Load,Del_time,flag,Ready_time_10,del_time,Ready_time_11,dist,time,Ready_time_10,del_time_10,Ready_time_11,del_time_11,Ready_time_12,del_time_12,Ready_time_1,del_time_1,Ready_time_2,del_time_2,Ready_time_3,del_time_3,del_time_day_7
Shipment,MotherHub_BNL-AboharHub_ABH,28.3076,76.88272,30.14926,74.19493,MotherHub_BNL,AboharHub_ABH,79200,150,118800,1,79200,126000,82800,384,9.6,79200,126000,82800,126000,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-AgraHub_AGR,28.3076,76.88272,27.20537,77.97099,MotherHub_BNL,AgraHub_AGR,79200,1151,118800,1,79200,126000,82800,189,4.725,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-AligarhHub_ALG,28.3076,76.88272,27.89074,78.03265,MotherHub_BNL,AligarhHub_ALG,79200,737,118800,1,79200,126000,82800,183,4.575,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-AmritsarHub_ATQ,28.3076,76.88272,31.6513,74.86428,MotherHub_BNL,AmritsarHub_ATQ,79200,1039,122400,1,79200,126000,82800,512,12.8,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-BarabankiHub_BBK,28.3076,76.88272,26.9400723,81.1549805,MotherHub_BNL,BarabankiHub_BBK,79200,176,118800,1,79200,126000,82800,272,6.8,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-BareillyHub_BRY,28.3076,76.88272,28.38158,79.43506,MotherHub_BNL,BareillyHub_BRY,79200,667,118800,1,79200,126000,82800,320,8,79200,126000,82800,126000,86400,126000,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-BarnalaHub_BRN,28.3076,76.88272,30.37839,75.54076,MotherHub_BNL,BarnalaHub_BRN,79200,114,118800,1,79200,126000,82800,333,8.325,79200,126000,82800,126000,86400,126000,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-BhatindaHub_BUP,28.3076,76.88272,30.19422,74.96325,MotherHub_BNL,BhatindaHub_BUP,79200,494,118800,1,79200,126000,82800,331,8.275,79200,126000,82800,126000,86400,126000,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-BhiwaniHub_DEL,28.3076,76.88272,28.79168,76.15736,MotherHub_BNL,BhiwaniHub_DEL,79200,426,118800,1,79200,126000,82800,116,2.9,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-ChandigarhHub_DEL,28.3076,76.88272,30.70897,76.80318,MotherHub_BNL,ChandigarhHub_DEL,79200,1304,118800,1,79200,126000,82800,300,7.5,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-CityCenterHub_GWL,28.3076,76.88272,21.13735,80.247,MotherHub_BNL,CityCenterHub_GWL,79200,1160,205200,2,104400,212400,108000,1099,27.475,104400,212400,104400,212400,104400,212400,104400,212400,93600,212400,97200,212400,16128000
Shipment,MotherHub_BNL-DasuaHub_DSU,28.3076,76.88272,31.81333,75.66827,MotherHub_BNL,DasuaHub_DSU,79200,188,118800,1,79200,126000,82800,485,12.125,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-DehradunHub_DED,28.3076,76.88272,30.30657,78.00573,MotherHub_BNL,DehradunHub_DED,79200,1747,118800,1,79200,126000,82800,307,7.675,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-DharuheraHub_DRH,28.3076,76.88272,28.20912,76.77549,MotherHub_BNL,DharuheraHub_DRH,79200,932,118800,1,79200,126000,82800,16.2,0.405,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-FatehabadHub_FHB,28.3076,76.88272,29.5148,75.4407,MotherHub_BNL,FatehabadHub_FHB,79200,140,118800,1,79200,126000,82800,227,5.675,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-FirozabadHub_FIR,28.3076,76.88272,27.1603,78.39434,MotherHub_BNL,FirozabadHub_FIR,79200,282,118800,1,79200,126000,82800,232,5.8,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-GobindgarhHub_LUH,28.3076,76.88272,30.65957,76.3002,MotherHub_BNL,GobindgarhHub_LUH,79200,384,118800,1,79200,126000,82800,318,7.95,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-GurdaspurHub_GDS,28.3076,76.88272,32.03059,75.39289,MotherHub_BNL,GurdaspurHub_GDS,79200,441,122400,1,79200,126000,82800,528,13.2,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-HaridwarHub_HRD,28.3076,76.88272,29.94569,78.16425,MotherHub_BNL,HaridwarHub_HRD,79200,807,118800,1,79200,126000,82800,268,6.7,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,212400,16128000
Shipment,MotherHub_BNL-HissarHub_HSS,28.3076,76.88272,29.13429,75.74821,MotherHub_BNL,HissarHub_HSS,79200,816,118800,1,79200,126000,82800,173,4.325,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-HoshiarpurHub_HAP,28.3076,76.88272,31.51998,75.92618,MotherHub_BNL,HoshiarpurHub_HAP,79200,268,118800,1,79200,126000,82800,448,11.2,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-JalandharHub_JLR,28.3076,76.88272,31.31652,75.6339,MotherHub_BNL,JalandharHub_JLR,79200,1073,118800,1,79200,126000,82800,427,10.675,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-JhansiHub_JHS,28.3076,76.88272,25.44843,78.56846,MotherHub_BNL,JhansiHub_JHS,79200,367,118800,1,79200,126000,82800,427,10.675,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-JindHub_JND,28.3076,76.88272,28.87825,76.5872,MotherHub_BNL,JindHub_JND,79200,291,118800,1,79200,126000,82800,81.1,2.0275,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-KaithalHub_KTL,28.3076,76.88272,29.9781,76.58375,MotherHub_BNL,KaithalHub_KTL,79200,238,118800,1,79200,126000,82800,244,6.1,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,212400,16128000
Shipment,MotherHub_BNL-KarnalHub_KAL,28.3076,76.88272,29.7003,76.99743,MotherHub_BNL,KarnalHub_KAL,79200,352,118800,1,79200,126000,82800,182,4.55,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-KotkapuraHub_KKP,28.3076,76.88272,30.58372,74.82598,MotherHub_BNL,KotkapuraHub_KKP,79200,169,118800,1,79200,126000,82800,376,9.4,79200,126000,82800,126000,104400,212400,104400,212400,104400,212400,104400,212400,16128000
Shipment,MotherHub_BNL-KurukshetraHub_KUR,28.3076,76.88272,29.9786,76.85336,MotherHub_BNL,KurukshetraHub_KUR,79200,274,118800,1,79200,126000,82800,218,5.45,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000,16128000
Shipment,MotherHub_BNL-LudhianaHub_LUH,28.3076,76.88272,30.88109,75.86274,MotherHub_BNL,LudhianaHub_LUH,79200,1680,118800,1,79200,126000,82800,369,9.225,79200,126000,82800,126000,104400,212400,104400,212400,104400,212400,104400,212400,16128000
