vehicleType,vehicleId,src_lat,src_long,vehicletype,Capacity
truck,1-MotherHub_ABL-TATA-ZIP,30.396612,76.8116,TATA-ZIP,462
truck,2-MotherHub_AMD-TATA-ZIP,22.8978044,72.5902141,TATA-ZIP,462
truck,3-MotherHub_BAM-TATA-ZIP,28.545321,77.02914,TATA-ZIP,462
truck,4-MotherHub_BBI-TATA-ZIP,20.295471,85.84707,TATA-ZIP,462
truck,5-MotherHub_BHI-TATA-ZIP,19.2374896,73.0361464,TATA-ZIP,462
truck,6-MotherHub_BIL-TATA-ZIP,19.2374987,73.0362352,TATA-ZIP,462
truck,7-MotherHub_BLP-TATA-ZIP,28.294166,76.855804,TATA-ZIP,462
truck,8-MotherHub_BLR-TATA-ZIP,12.9842798,77.8242648,TATA-ZIP,462
truck,9-MotherHub_BNO-TATA-ZIP,28.544563,77.031259,TATA-ZIP,462
truck,10-MotherHub_CHN-TATA-ZIP,13.04591,80.067723,TATA-ZIP,462
truck,11-MotherHub_DEL-TATA-ZIP,28.52497,77.290408,TATA-ZIP,462
truck,12-MotherHub_DKN-TATA-ZIP,22.739951,88.317675,TATA-ZIP,462
truck,13-MotherHub_IDR-TATA-ZIP,22.777113,75.9021171,TATA-ZIP,462
truck,14-MotherHub_IXR-TATA-ZIP,23.352715,85.343538,TATA-ZIP,462
truck,15-MotherHub_JAI-TATA-ZIP,26.948928,75.761927,TATA-ZIP,462
truck,16-Motherhub_JIG-TATA-ZIP,12.7831062,77.6446188,TATA-ZIP,462
truck,17-MotherHub_KNG-TATA-ZIP,13.0608816,77.743673,TATA-ZIP,462
truck,18-MotherHub_KOL-TATA-ZIP,22.708183,88.28565,TATA-ZIP,462
truck,19-MotherHub_LKO-TATA-ZIP,26.755912,80.910939,TATA-ZIP,462
truck,20-MotherHub_MED-TATA-ZIP,17.580519,78.469527,TATA-ZIP,462
truck,21-MotherHub_MUM-TATA-ZIP,19.1170238,72.8580558,TATA-ZIP,462
truck,22-MotherHub_PAT-TATA-ZIP,25.587197,85.185842,TATA-ZIP,462
truck,23-MotherHub_PTD-TATA-ZIP,28.303142,76.82796,TATA-ZIP,462
truck,24-MotherHub_PTI-TATA-ZIP,28.294166,76.855804,TATA-ZIP,462
truck,25-MotherHub_PUNE-TATA-ZIP,18.6087917,73.7268817,TATA-ZIP,462
truck,26-MotherHub_PZH-TATA-ZIP,13.378015,80.117251,TATA-ZIP,462
truck,27-MotherHub_RAI-TATA-ZIP,22.056106,82.171855,TATA-ZIP,462
truck,28-MotherHub_STV-TATA-ZIP,21.0895987,72.900005,TATA-ZIP,462
truck,29-MotherHub_WTF-TATA-ZIP,12.9875238,77.8022383,TATA-ZIP,462
truck,30-MotherHub_ABL-TATA-ZIP,30.396612,76.8116,TATA-ZIP,462
truck,31-MotherHub_AMD-TATA-ZIP,22.8978044,72.5902141,TATA-ZIP,462
truck,32-MotherHub_BAM-TATA-ZIP,28.545321,77.02914,TATA-ZIP,462
truck,33-MotherHub_BBI-TATA-ZIP,20.295471,85.84707,TATA-ZIP,462
truck,34-MotherHub_BHI-TATA-ZIP,19.2374896,73.0361464,TATA-ZIP,462
truck,35-MotherHub_BIL-TATA-ZIP,19.2374987,73.0362352,TATA-ZIP,462
truck,36-MotherHub_BLP-TATA-ZIP,28.294166,76.855804,TATA-ZIP,462
truck,37-MotherHub_BLR-TATA-ZIP,12.9842798,77.8242648,TATA-ZIP,462
truck,38-MotherHub_BNO-TATA-ZIP,28.544563,77.031259,TATA-ZIP,462
truck,39-MotherHub_CHN-TATA-ZIP,13.04591,80.067723,TATA-ZIP,462
truck,40-MotherHub_DEL-TATA-ZIP,28.52497,77.290408,TATA-ZIP,462
truck,41-MotherHub_DKN-TATA-ZIP,22.739951,88.317675,TATA-ZIP,462
truck,42-MotherHub_IDR-TATA-ZIP,22.777113,75.9021171,TATA-ZIP,462
truck,43-MotherHub_IXR-TATA-ZIP,23.352715,85.343538,TATA-ZIP,462
truck,44-MotherHub_JAI-TATA-ZIP,26.948928,75.761927,TATA-ZIP,462
truck,45-Motherhub_JIG-TATA-ZIP,12.7831062,77.6446188,TATA-ZIP,462
truck,46-MotherHub_KNG-TATA-ZIP,13.0608816,77.743673,TATA-ZIP,462
truck,47-MotherHub_KOL-TATA-ZIP,22.708183,88.28565,TATA-ZIP,462
truck,48-MotherHub_LKO-TATA-ZIP,26.755912,80.910939,TATA-ZIP,462
truck,49-MotherHub_MED-TATA-ZIP,17.580519,78.469527,TATA-ZIP,462
truck,50-MotherHub_MUM-TATA-ZIP,19.1170238,72.8580558,TATA-ZIP,462
truck,51-MotherHub_PAT-TATA-ZIP,25.587197,85.185842,TATA-ZIP,462
truck,52-MotherHub_PTD-TATA-ZIP,28.303142,76.82796,TATA-ZIP,462
truck,53-MotherHub_PTI-TATA-ZIP,28.294166,76.855804,TATA-ZIP,462
truck,54-MotherHub_PUNE-TATA-ZIP,18.6087917,73.7268817,TATA-ZIP,462
truck,55-MotherHub_PZH-TATA-ZIP,13.378015,80.117251,TATA-ZIP,462
truck,56-MotherHub_RAI-TATA-ZIP,22.056106,82.171855,TATA-ZIP,462
truck,57-MotherHub_STV-TATA-ZIP,21.0895987,72.900005,TATA-ZIP,462
truck,58-MotherHub_WTF-TATA-ZIP,12.9875238,77.8022383,TATA-ZIP,462
truck,59-MotherHub_ABL-TATA-ACE,30.396612,76.8116,TATA-ACE,769
truck,60-MotherHub_AMD-TATA-ACE,22.8978044,72.5902141,TATA-ACE,769
truck,61-MotherHub_BAM-TATA-ACE,28.545321,77.02914,TATA-ACE,769
truck,62-MotherHub_BBI-TATA-ACE,20.295471,85.84707,TATA-ACE,769
truck,63-MotherHub_BHI-TATA-ACE,19.2374896,73.0361464,TATA-ACE,769
truck,64-MotherHub_BIL-TATA-ACE,19.2374987,73.0362352,TATA-ACE,769
truck,65-MotherHub_BLP-TATA-ACE,28.294166,76.855804,TATA-ACE,769
truck,66-MotherHub_BLR-TATA-ACE,12.9842798,77.8242648,TATA-ACE,769
truck,67-MotherHub_BNO-TATA-ACE,28.544563,77.031259,TATA-ACE,769
truck,68-MotherHub_CHN-TATA-ACE,13.04591,80.067723,TATA-ACE,769
truck,69-MotherHub_DEL-TATA-ACE,28.52497,77.290408,TATA-ACE,769
truck,70-MotherHub_DKN-TATA-ACE,22.739951,88.317675,TATA-ACE,769
truck,71-MotherHub_IDR-TATA-ACE,22.777113,75.9021171,TATA-ACE,769
truck,72-MotherHub_IXR-TATA-ACE,23.352715,85.343538,TATA-ACE,769
truck,73-MotherHub_JAI-TATA-ACE,26.948928,75.761927,TATA-ACE,769
truck,74-Motherhub_JIG-TATA-ACE,12.7831062,77.6446188,TATA-ACE,769
truck,75-MotherHub_KNG-TATA-ACE,13.0608816,77.743673,TATA-ACE,769
truck,76-MotherHub_KOL-TATA-ACE,22.708183,88.28565,TATA-ACE,769
truck,77-MotherHub_LKO-TATA-ACE,26.755912,80.910939,TATA-ACE,769
truck,78-MotherHub_MED-TATA-ACE,17.580519,78.469527,TATA-ACE,769
truck,79-MotherHub_MUM-TATA-ACE,19.1170238,72.8580558,TATA-ACE,769
truck,80-MotherHub_PAT-TATA-ACE,25.587197,85.185842,TATA-ACE,769
truck,81-MotherHub_PTD-TATA-ACE,28.303142,76.82796,TATA-ACE,769
truck,82-MotherHub_PTI-TATA-ACE,28.294166,76.855804,TATA-ACE,769
truck,83-MotherHub_PUNE-TATA-ACE,18.6087917,73.7268817,TATA-ACE,769
truck,84-MotherHub_PZH-TATA-ACE,13.378015,80.117251,TATA-ACE,769
truck,85-MotherHub_RAI-TATA-ACE,22.056106,82.171855,TATA-ACE,769
truck,86-MotherHub_STV-TATA-ACE,21.0895987,72.900005,TATA-ACE,769
truck,87-MotherHub_WTF-TATA-ACE,12.9875238,77.8022383,TATA-ACE,769
truck,88-MotherHub_ABL-TATA-ACE,30.396612,76.8116,TATA-ACE,769
truck,89-MotherHub_AMD-TATA-ACE,22.8978044,72.5902141,TATA-ACE,769
truck,90-MotherHub_BAM-TATA-ACE,28.545321,77.02914,TATA-ACE,769
truck,91-MotherHub_BBI-TATA-ACE,20.295471,85.84707,TATA-ACE,769
truck,92-MotherHub_BHI-TATA-ACE,19.2374896,73.0361464,TATA-ACE,769
truck,93-MotherHub_BIL-TATA-ACE,19.2374987,73.0362352,TATA-ACE,769
truck,94-MotherHub_BLP-TATA-ACE,28.294166,76.855804,TATA-ACE,769
truck,95-MotherHub_BLR-TATA-ACE,12.9842798,77.8242648,TATA-ACE,769
truck,96-MotherHub_BNO-TATA-ACE,28.544563,77.031259,TATA-ACE,769
truck,97-MotherHub_CHN-TATA-ACE,13.04591,80.067723,TATA-ACE,769
truck,98-MotherHub_DEL-TATA-ACE,28.52497,77.290408,TATA-ACE,769
truck,99-MotherHub_DKN-TATA-ACE,22.739951,88.317675,TATA-ACE,769
truck,100-MotherHub_IDR-TATA-ACE,22.777113,75.9021171,TATA-ACE,769
truck,101-MotherHub_IXR-TATA-ACE,23.352715,85.343538,TATA-ACE,769
truck,102-MotherHub_JAI-TATA-ACE,26.948928,75.761927,TATA-ACE,769
truck,103-Motherhub_JIG-TATA-ACE,12.7831062,77.6446188,TATA-ACE,769
truck,104-MotherHub_KNG-TATA-ACE,13.0608816,77.743673,TATA-ACE,769
truck,105-MotherHub_KOL-TATA-ACE,22.708183,88.28565,TATA-ACE,769
truck,106-MotherHub_LKO-TATA-ACE,26.755912,80.910939,TATA-ACE,769
truck,107-MotherHub_MED-TATA-ACE,17.580519,78.469527,TATA-ACE,769
truck,108-MotherHub_MUM-TATA-ACE,19.1170238,72.8580558,TATA-ACE,769
truck,109-MotherHub_PAT-TATA-ACE,25.587197,85.185842,TATA-ACE,769
truck,110-MotherHub_PTD-TATA-ACE,28.303142,76.82796,TATA-ACE,769
truck,111-MotherHub_PTI-TATA-ACE,28.294166,76.855804,TATA-ACE,769
truck,112-MotherHub_PUNE-TATA-ACE,18.6087917,73.7268817,TATA-ACE,769
truck,113-MotherHub_PZH-TATA-ACE,13.378015,80.117251,TATA-ACE,769
truck,114-MotherHub_RAI-TATA-ACE,22.056106,82.171855,TATA-ACE,769
truck,115-MotherHub_STV-TATA-ACE,21.0895987,72.900005,TATA-ACE,769
truck,116-MotherHub_WTF-TATA-ACE,12.9875238,77.8022383,TATA-ACE,769
truck,117-MotherHub_ABL-407,30.396612,76.8116,407,2050
truck,118-MotherHub_AMD-407,22.8978044,72.5902141,407,2050
truck,119-MotherHub_BAM-407,28.545321,77.02914,407,2050
truck,120-MotherHub_BBI-407,20.295471,85.84707,407,2050
truck,121-MotherHub_BHI-407,19.2374896,73.0361464,407,2050
truck,122-MotherHub_BIL-407,19.2374987,73.0362352,407,2050
