Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_IDR-JABALPURHUB_JBL-p,22.777113,75.9021171,23.1792242,79.9193252,MOTHERHUB_IDR,JABALPURHUB_JBL,57600,841,0
Shipment,MOTHERHUB_IDR-JABALPURHUB_JBL-c,22.777113,75.9021171,23.1792242,79.9193252,MOTHERHUB_IDR,JABALPURHUB_JBL,57600,189,14400
Shipment,MOTHERHUB_IDR-KARONDHUB_BHO-p,22.777113,75.9021171,23.2991975,77.4244765,MOTHERHUB_IDR,KARONDHUB_BHO,57600,747,0
Shipment,MOTHERHUB_IDR-KARONDHUB_BHO-c,22.777113,75.9021171,23.2991975,77.4244765,MOTHERHUB_IDR,KARONDHUB_BHO,57600,143,14400
Shipment,MOTHERHUB_IDR-REWAHUB_RWA-p,22.777113,75.9021171,24.5426865,81.3192718,MOTHERHUB_IDR,REWAHUB_RWA,57600,187,0
Shipment,MOTHERHUB_IDR-REWAHUB_RWA-c,22.777113,75.9021171,24.5426865,81.3192718,MOTHERHUB_IDR,REWAHUB_RWA,57600,167,14400
Shipment,MOTHERHUB_IDR-SAGARHUB_SGR-p,22.777113,75.9021171,23.8580273,78.7975225,MOTHERHUB_IDR,SAGARHUB_SGR,57600,157,0
Shipment,MOTHERHUB_IDR-SAGARHUB_SGR-c,22.777113,75.9021171,23.8580273,78.7975225,MOTHERHUB_IDR,SAGARHUB_SGR,57600,160,14400
Shipment,MOTHERHUB_IDR-SATNAHUB_STA-p,22.777113,75.9021171,24.6005081,80.8322435,MOTHERHUB_IDR,SATNAHUB_STA,57600,198,0
Shipment,MOTHERHUB_IDR-SATNAHUB_STA-c,22.777113,75.9021171,24.6005081,80.8322435,MOTHERHUB_IDR,SATNAHUB_STA,57600,198,14400
Shipment,MOTHERHUB_IDR-VIDYANAGARHUB_BHO-p,22.777113,75.9021171,23.2332268,77.4404239,MOTHERHUB_IDR,VIDYANAGARHUB_BHO,57600,1250,0
Shipment,MOTHERHUB_IDR-VIDYANAGARHUB_BHO-c,22.777113,75.9021171,23.2332268,77.4404239,MOTHERHUB_IDR,VIDYANAGARHUB_BHO,57600,131,14400
