Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_KOL-BANDELHUB_BND-p,22.708183,88.28565,22.91903,88.38501,MOTHERHUB_KOL,BANDELHUB_BND,72000,256,0
Shipment,MOTHERHUB_KOL-BANDELHUB_BND-c,22.708183,88.28565,22.91903,88.38501,MOTHERHUB_KOL,BANDELHUB_BND,72000,233,14400
Shipment,MOTHERHUB_KOL-BARASATHUB_KOL-p,22.708183,88.28565,22.720751,88.490281,MOTHERHUB_KOL,BARASATHUB_KOL,72000,657,0
Shipment,MOTHERHUB_KOL-BARASATHUB_KOL-c,22.708183,88.28565,22.720751,88.490281,MOTHERHUB_KOL,BARASATHUB_KOL,72000,255,14400
Shipment,MOTHERHUB_KOL-BARRACKPOREHUB_KOL-p,22.708183,88.28565,22.763197,88.362168,MOTHERHUB_KOL,BARRACKPOREHUB_KOL,72000,884,0
Shipment,MOTHERHUB_KOL-BARRACKPOREHUB_KOL-c,22.708183,88.28565,22.763197,88.362168,MOTHERHUB_KOL,BARRACKPOREHUB_KOL,72000,174,14400
Shipment,MOTHERHUB_KOL-BEHALAHUB_KOL-p,22.708183,88.28565,22.518478,88.293911,MOTHERHUB_KOL,BEHALAHUB_KOL,72000,834,0
Shipment,MOTHERHUB_KOL-BEHALAHUB_KOL-c,22.708183,88.28565,22.518478,88.293911,MOTHERHUB_KOL,BEHALAHUB_KOL,72000,173,14400
Shipment,MOTHERHUB_KOL-BELGHARIAHUB_KOL-p,22.708183,88.28565,22.664407,88.373691,MOTHERHUB_KOL,BELGHARIAHUB_KOL,72000,737,0
Shipment,MOTHERHUB_KOL-BELGHARIAHUB_KOL-c,22.708183,88.28565,22.664407,88.373691,MOTHERHUB_KOL,BELGHARIAHUB_KOL,72000,154,14400
Shipment,MOTHERHUB_KOL-BHAWANIPURHUB_KOL-p,22.708183,88.28565,22.515362,88.345667,MOTHERHUB_KOL,BHAWANIPURHUB_KOL,72000,871,0
Shipment,MOTHERHUB_KOL-BHAWANIPURHUB_KOL-c,22.708183,88.28565,22.515362,88.345667,MOTHERHUB_KOL,BHAWANIPURHUB_KOL,72000,169,14400
Shipment,MOTHERHUB_KOL-CHANDANNAGARHUB_CNR-p,22.708183,88.28565,22.861539,88.367319,MOTHERHUB_KOL,CHANDANNAGARHUB_CNR,72000,492,0
Shipment,MOTHERHUB_KOL-CHANDANNAGARHUB_CNR-c,22.708183,88.28565,22.861539,88.367319,MOTHERHUB_KOL,CHANDANNAGARHUB_CNR,72000,274,14400
Shipment,MOTHERHUB_KOL-CHINARPARKHUB_KOL-p,22.708183,88.28565,22.623731,88.44021,MOTHERHUB_KOL,CHINARPARKHUB_KOL,72000,989,0
Shipment,MOTHERHUB_KOL-CHINARPARKHUB_KOL-c,22.708183,88.28565,22.623731,88.44021,MOTHERHUB_KOL,CHINARPARKHUB_KOL,72000,185,14400
Shipment,MOTHERHUB_KOL-GARIAHUB_KOL-p,22.708183,88.28565,22.446231,88.399196,MOTHERHUB_KOL,GARIAHUB_KOL,72000,1524,0
Shipment,MOTHERHUB_KOL-GARIAHUB_KOL-c,22.708183,88.28565,22.446231,88.399196,MOTHERHUB_KOL,GARIAHUB_KOL,72000,69,14400
Shipment,MOTHERHUB_KOL-HALTUHUB_KOL-p,22.708183,88.28565,22.510417,88.371098,MOTHERHUB_KOL,HALTUHUB_KOL,72000,719,0
Shipment,MOTHERHUB_KOL-HALTUHUB_KOL-c,22.708183,88.28565,22.510417,88.371098,MOTHERHUB_KOL,HALTUHUB_KOL,72000,180,14400
Shipment,MOTHERHUB_KOL-HOWRAHHUB_KOL-p,22.708183,88.28565,22.563584,88.290296,MOTHERHUB_KOL,HOWRAHHUB_KOL,72000,799,0
Shipment,MOTHERHUB_KOL-HOWRAHHUB_KOL-c,22.708183,88.28565,22.563584,88.290296,MOTHERHUB_KOL,HOWRAHHUB_KOL,72000,234,14400
Shipment,MOTHERHUB_KOL-KALYANIHUB_KOL-p,22.708183,88.28565,2.29752E+1,8.84345E+1,MOTHERHUB_KOL,KALYANIHUB_KOL,72000,128,0
Shipment,MOTHERHUB_KOL-KALYANIHUB_KOL-c,22.708183,88.28565,2.29752E+1,8.84345E+1,MOTHERHUB_KOL,KALYANIHUB_KOL,72000,137,14400
Shipment,MOTHERHUB_KOL-KANKURGACHIHUB_KOL-p,22.708183,88.28565,22.5800683,88.3902614,MOTHERHUB_KOL,KANKURGACHIHUB_KOL,72000,989,0
Shipment,MOTHERHUB_KOL-KANKURGACHIHUB_KOL-c,22.708183,88.28565,22.5800683,88.3902614,MOTHERHUB_KOL,KANKURGACHIHUB_KOL,72000,210,14400
Shipment,MOTHERHUB_KOL-LAKETOWNHUB_KOL-p,22.708183,88.28565,22.6064951,88.4030208,MOTHERHUB_KOL,LAKETOWNHUB_KOL,72000,753,0
Shipment,MOTHERHUB_KOL-LAKETOWNHUB_KOL-c,22.708183,88.28565,22.6064951,88.4030208,MOTHERHUB_KOL,LAKETOWNHUB_KOL,72000,151,14400
Shipment,MOTHERHUB_KOL-SAKHERBAZARHUB_KOL-p,22.708183,88.28565,22.4817316,88.3166039,MOTHERHUB_KOL,SAKHERBAZARHUB_KOL,72000,885,0
Shipment,MOTHERHUB_KOL-SAKHERBAZARHUB_KOL-c,22.708183,88.28565,22.4817316,88.3166039,MOTHERHUB_KOL,SAKHERBAZARHUB_KOL,72000,178,14400
Shipment,MOTHERHUB_KOL-SALKIAHUB_KOL-p,22.708183,88.28565,22.597832,88.34782,MOTHERHUB_KOL,SALKIAHUB_KOL,72000,951,0
Shipment,MOTHERHUB_KOL-SALKIAHUB_KOL-c,22.708183,88.28565,22.597832,88.34782,MOTHERHUB_KOL,SALKIAHUB_KOL,72000,209,14400
Shipment,MOTHERHUB_KOL-SALTLAKEHUB_KOL-p,22.708183,88.28565,22.572646,88.363895,MOTHERHUB_KOL,SALTLAKEHUB_KOL,72000,792,0
Shipment,MOTHERHUB_KOL-SALTLAKEHUB_KOL-c,22.708183,88.28565,22.572646,88.363895,MOTHERHUB_KOL,SALTLAKEHUB_KOL,72000,162,14400
Shipment,MOTHERHUB_KOL-SECTORVHUB_KOL-p,22.708183,88.28565,22.572195,88.432778,MOTHERHUB_KOL,SECTORVHUB_KOL,72000,775,0
Shipment,MOTHERHUB_KOL-SECTORVHUB_KOL-c,22.708183,88.28565,22.572195,88.432778,MOTHERHUB_KOL,SECTORVHUB_KOL,72000,140,14400
Shipment,MOTHERHUB_KOL-SODEPURHUB_KOL-p,22.708183,88.28565,22.697884,88.436337,MOTHERHUB_KOL,SODEPURHUB_KOL,72000,499,0
Shipment,MOTHERHUB_KOL-SODEPURHUB_KOL-c,22.708183,88.28565,22.697884,88.436337,MOTHERHUB_KOL,SODEPURHUB_KOL,72000,219,14400
