Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_KOL-ASANSOLHUB_ASN-p,22.708183,88.28565,23.700788,86.930265,MOTHERHUB_KOL,ASANSOLHUB_ASN,57600,570,0
Shipment,MOTHERHUB_KOL-ASANSOLHUB_ASN-c,22.708183,88.28565,23.700788,86.930265,MOTHERHUB_KOL,ASANSOLHUB_ASN,57600,238,14400
Shipment,MOTHERHUB_KOL-BURDWANHUB_BDM-p,22.708183,88.28565,23.22,87.87,MOTHERHUB_KOL,BURDWANHUB_BDM,57600,222,0
Shipment,MOTHERHUB_KOL-BURDWANHUB_BDM-c,22.708183,88.28565,23.22,87.87,MOTHERHUB_KOL,BURDWANHUB_BDM,57600,241,14400
Shipment,MOTHERHUB_KOL-COOCHBEHARHUB_COB-p,22.708183,88.28565,26.3347193,89.4453404,MOTHERHUB_KOL,COOCHBEHARHUB_COB,57600,250,0
Shipment,MOTHERHUB_KOL-COOCHBEHARHUB_COB-c,22.708183,88.28565,26.3347193,89.4453404,MOTHERHUB_KOL,COOCHBEHARHUB_COB,57600,244,14400
Shipment,MOTHERHUB_KOL-DARJEELINGHUB_DAI-p,22.708183,88.28565,27.036,88.2627,MOTHERHUB_KOL,DARJEELINGHUB_DAI,57600,158,0
Shipment,MOTHERHUB_KOL-DARJEELINGHUB_DAI-c,22.708183,88.28565,27.036,88.2627,MOTHERHUB_KOL,DARJEELINGHUB_DAI,57600,139,14400
Shipment,MOTHERHUB_KOL-DURGAPURHUB_DGP-p,22.708183,88.28565,23.53344,87.32193,MOTHERHUB_KOL,DURGAPURHUB_DGP,57600,812,0
Shipment,MOTHERHUB_KOL-DURGAPURHUB_DGP-c,22.708183,88.28565,23.53344,87.32193,MOTHERHUB_KOL,DURGAPURHUB_DGP,57600,229,14400
Shipment,MOTHERHUB_KOL-ENGLISHBAZARHUB_LDA-p,22.708183,88.28565,24.9756827,88.1330659,MOTHERHUB_KOL,ENGLISHBAZARHUB_LDA,57600,467,0
Shipment,MOTHERHUB_KOL-ENGLISHBAZARHUB_LDA-c,22.708183,88.28565,24.9756827,88.1330659,MOTHERHUB_KOL,ENGLISHBAZARHUB_LDA,57600,183,14400
Shipment,MOTHERHUB_KOL-HALDIAHUB_HLD-p,22.708183,88.28565,22.066674,88.069812,MOTHERHUB_KOL,HALDIAHUB_HLD,57600,314,0
Shipment,MOTHERHUB_KOL-HALDIAHUB_HLD-c,22.708183,88.28565,22.066674,88.069812,MOTHERHUB_KOL,HALDIAHUB_HLD,57600,201,14400
Shipment,MOTHERHUB_KOL-JAIGAONHUB_JGN-p,22.708183,88.28565,26.8530642,89.3821001,MOTHERHUB_KOL,JAIGAONHUB_JGN,57600,74,0
Shipment,MOTHERHUB_KOL-JAIGAONHUB_JGN-c,22.708183,88.28565,26.8530642,89.3821001,MOTHERHUB_KOL,JAIGAONHUB_JGN,57600,82,14400
Shipment,MOTHERHUB_KOL-JALPAIGURIHUB_JPG-p,22.708183,88.28565,26.6835,88.7689,MOTHERHUB_KOL,JALPAIGURIHUB_JPG,57600,165,0
Shipment,MOTHERHUB_KOL-JALPAIGURIHUB_JPG-c,22.708183,88.28565,26.6835,88.7689,MOTHERHUB_KOL,JALPAIGURIHUB_JPG,57600,160,14400
Shipment,MOTHERHUB_KOL-KHARAGPURHUB_KGP-p,22.708183,88.28565,22.34601,87.231975,MOTHERHUB_KOL,KHARAGPURHUB_KGP,57600,359,0
Shipment,MOTHERHUB_KOL-KHARAGPURHUB_KGP-c,22.708183,88.28565,22.34601,87.231975,MOTHERHUB_KOL,KHARAGPURHUB_KGP,57600,228,14400
Shipment,MOTHERHUB_KOL-MATIGARAHUB_IXB-p,22.708183,88.28565,26.726033,88.385764,MOTHERHUB_KOL,MATIGARAHUB_IXB,57600,344,0
Shipment,MOTHERHUB_KOL-MATIGARAHUB_IXB-c,22.708183,88.28565,26.726033,88.385764,MOTHERHUB_KOL,MATIGARAHUB_IXB,57600,201,14400
Shipment,MOTHERHUB_KOL-MIDNAPOREHUB_MDN-p,22.708183,88.28565,22.4195415,87.3206128,MOTHERHUB_KOL,MIDNAPOREHUB_MDN,57600,233,0
Shipment,MOTHERHUB_KOL-MIDNAPOREHUB_MDN-c,22.708183,88.28565,22.4195415,87.3206128,MOTHERHUB_KOL,MIDNAPOREHUB_MDN,57600,233,14400
Shipment,MOTHERHUB_KOL-MURSHIDABADHUB_MBB-p,22.708183,88.28565,24.086332,88.247889,MOTHERHUB_KOL,MURSHIDABADHUB_MBB,57600,396,0
Shipment,MOTHERHUB_KOL-MURSHIDABADHUB_MBB-c,22.708183,88.28565,24.086332,88.247889,MOTHERHUB_KOL,MURSHIDABADHUB_MBB,57600,166,14400
Shipment,MOTHERHUB_KOL-SHANTIPURHUB_STP-p,22.708183,88.28565,23.250009,88.433291,MOTHERHUB_KOL,SHANTIPURHUB_STP,57600,170,0
Shipment,MOTHERHUB_KOL-SHANTIPURHUB_STP-c,22.708183,88.28565,23.250009,88.433291,MOTHERHUB_KOL,SHANTIPURHUB_STP,57600,211,14400
Shipment,MOTHERHUB_KOL-SILIGURIHUB_IXB-p,22.708183,88.28565,26.7358,88.4326,MOTHERHUB_KOL,SILIGURIHUB_IXB,57600,579,0
Shipment,MOTHERHUB_KOL-SILIGURIHUB_IXB-c,22.708183,88.28565,26.7358,88.4326,MOTHERHUB_KOL,SILIGURIHUB_IXB,57600,238,14400
