Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_LKO-ALIGANJHUB_LKO-p,26.755912,80.910939,26.895454,80.94361,MOTHERHUB_LKO,ALIGANJHUB_LKO,72000,750,0
Shipment,MOTHERHUB_LKO-ALIGANJHUB_LKO-c,26.755912,80.910939,26.895454,80.94361,MOTHERHUB_LKO,ALIGANJHUB_LKO,72000,201,14400
Shipment,MOTHERHUB_LKO-MOTHERHUB_LKO-p,26.755912,80.910939,26.755912,80.910939,MOTHERHUB_LKO,MOTHERHUB_LKO,72000,1,0
Shipment,MOTHERHUB_LKO-MOTHERHUB_LKO-c,26.755912,80.910939,26.755912,80.910939,MOTHERHUB_LKO,MOTHERHUB_LKO,72000,102,14400
Shipment,MOTHERHUB_LKO-TRANSPORTNAGARHUB_LKO-p,26.755912,80.910939,26.855695,81.023185,MOTHERHUB_LKO,TRANSPORTNAGARHUB_LKO,72000,1515,0
Shipment,MOTHERHUB_LKO-TRANSPORTNAGARHUB_LKO-c,26.755912,80.910939,26.855695,81.023185,MOTHERHUB_LKO,TRANSPORTNAGARHUB_LKO,72000,173,14400
Shipment,MOTHERHUB_LKO-TRANSPORTNAGARMPHUB_LKO-p,26.755912,80.910939,26.855695,81.023185,MOTHERHUB_LKO,TRANSPORTNAGARMPHUB_LKO,72000,2,0
Shipment,MOTHERHUB_LKO-TRANSPORTNAGARMPHUB_LKO-c,26.755912,80.910939,26.855695,81.023185,MOTHERHUB_LKO,TRANSPORTNAGARMPHUB_LKO,72000,31,14400
Shipment,MOTHERHUB_LKO-VIBHUTIKHANDHUB_LKO-p,26.755912,80.910939,26.855695,81.023185,MOTHERHUB_LKO,VIBHUTIKHANDHUB_LKO,72000,1001,0
Shipment,MOTHERHUB_LKO-VIBHUTIKHANDHUB_LKO-c,26.755912,80.910939,26.855695,81.023185,MOTHERHUB_LKO,VIBHUTIKHANDHUB_LKO,72000,121,14400
