Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_LKO-ALLAHABADHUB_ALD-p,26.755912,80.910939,25.462258,81.824071,MOTHERHUB_LKO,ALLAHABADHUB_ALD,72000,899,0
Shipment,MOTHERHUB_LKO-ALLAHABADHUB_ALD-c,26.755912,80.910939,25.462258,81.824071,MOTHERHUB_LKO,ALLAHABADHUB_ALD,72000,151,14400
Shipment,MOTHERHUB_LKO-AZAMGARHHUB_AZM-p,26.755912,80.910939,26.073757,83.170997,MOTHERHUB_LKO,AZAMGARHHUB_AZM,72000,112,0
Shipment,MOTHERHUB_LKO-AZAMGARHHUB_AZM-c,26.755912,80.910939,26.073757,83.170997,MOTHERHUB_LKO,AZAMGARHHUB_AZM,72000,81,14400
Shipment,MOTHERHUB_LKO-GEORGETOWNHUB_ALD-p,26.755912,80.910939,25.449615,81.859503,MOTHERHUB_LKO,GEORGETOWNHUB_ALD,72000,624,0
Shipment,MOTHERHUB_LKO-GEORGETOWNHUB_ALD-c,26.755912,80.910939,25.449615,81.859503,MOTHERHUB_LKO,GEORGETOWNHUB_ALD,72000,169,14400
Shipment,MOTHERHUB_LKO-GUMTIHUB_KNU-p,26.755912,80.910939,26.449935,80.331861,MOTHERHUB_LKO,GUMTIHUB_KNU,72000,1286,0
Shipment,MOTHERHUB_LKO-GUMTIHUB_KNU-c,26.755912,80.910939,26.449935,80.331861,MOTHERHUB_LKO,GUMTIHUB_KNU,72000,178,14400
Shipment,MOTHERHUB_LKO-GUMTIMPHUB_KNU-p,26.755912,80.910939,26.449935,80.331861,MOTHERHUB_LKO,GUMTIMPHUB_KNU,72000,2,0
Shipment,MOTHERHUB_LKO-GUMTIMPHUB_KNU-c,26.755912,80.910939,26.449935,80.331861,MOTHERHUB_LKO,GUMTIMPHUB_KNU,72000,23,14400
Shipment,MOTHERHUB_LKO-MEDICALROADHUB_GOP-p,26.755912,80.910939,26.808722,83.3955019,MOTHERHUB_LKO,MEDICALROADHUB_GOP,72000,775,0
Shipment,MOTHERHUB_LKO-MEDICALROADHUB_GOP-c,26.755912,80.910939,26.808722,83.3955019,MOTHERHUB_LKO,MEDICALROADHUB_GOP,72000,136,14400
Shipment,MOTHERHUB_LKO-ORDERLYBAZARHUB_VNS-p,26.755912,80.910939,25.352635,82.983728,MOTHERHUB_LKO,ORDERLYBAZARHUB_VNS,72000,575,0
Shipment,MOTHERHUB_LKO-ORDERLYBAZARHUB_VNS-c,26.755912,80.910939,25.352635,82.983728,MOTHERHUB_LKO,ORDERLYBAZARHUB_VNS,72000,247,14400
Shipment,MOTHERHUB_LKO-SIGRAHUB_VNS-p,26.755912,80.910939,25.303391,82.981454,MOTHERHUB_LKO,SIGRAHUB_VNS,72000,1035,0
Shipment,MOTHERHUB_LKO-SIGRAHUB_VNS-c,26.755912,80.910939,25.303391,82.981454,MOTHERHUB_LKO,SIGRAHUB_VNS,72000,117,14400
