Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_MED-AMALAPURAMHUB_AMP-p,17.580519,78.469527,16.5721,82.0009,MOTHERHUB_MED,AMALAPURAMHUB_AMP,50400,119,0
Shipment,MOTHERHUB_MED-AMALAPURAMHUB_AMP-c,17.580519,78.469527,16.5721,82.0009,MOTHERHUB_MED,AMALAPURAMHUB_AMP,50400,114,14400
Shipment,MOTHERHUB_MED-BHIMAVARAMHUB_BVM-p,17.580519,78.469527,16.544893,81.521241,MOTHERHUB_MED,BHIMAVARAMHUB_BVM,50400,251,0
Shipment,MOTHERHUB_MED-BHIMAVARAMHUB_BVM-c,17.580519,78.469527,16.544893,81.521241,MOTHERHUB_MED,BHIMAVARAMHUB_BVM,50400,100,14400
Shipment,MOTHERHUB_MED-BIWINAGARHUB_NLR-p,17.580519,78.469527,14.4103147,79.9638591,MOTHERHUB_MED,BIWINAGARHUB_NLR,50400,486,0
Shipment,MOTHERHUB_MED-BIWINAGARHUB_NLR-c,17.580519,78.469527,14.4103147,79.9638591,MOTHERHUB_MED,BIWINAGARHUB_NLR,50400,222,14400
Shipment,MOTHERHUB_MED-ELURUHUB_ELU-p,17.580519,78.469527,16.7107,81.0952,MOTHERHUB_MED,ELURUHUB_ELU,50400,290,0
Shipment,MOTHERHUB_MED-ELURUHUB_ELU-c,17.580519,78.469527,16.7107,81.0952,MOTHERHUB_MED,ELURUHUB_ELU,50400,109,14400
Shipment,MOTHERHUB_MED-GAJUWAKAHUB_VTZ-p,17.580519,78.469527,17.6840054,83.1933079,MOTHERHUB_MED,GAJUWAKAHUB_VTZ,50400,593,0
Shipment,MOTHERHUB_MED-GAJUWAKAHUB_VTZ-c,17.580519,78.469527,17.6840054,83.1933079,MOTHERHUB_MED,GAJUWAKAHUB_VTZ,50400,234,14400
Shipment,MOTHERHUB_MED-HANAMKONDAHUB_WGL-p,17.580519,78.469527,17.9928272,79.5552427,MOTHERHUB_MED,HANAMKONDAHUB_WGL,50400,478,0
Shipment,MOTHERHUB_MED-HANAMKONDAHUB_WGL-c,17.580519,78.469527,17.9928272,79.5552427,MOTHERHUB_MED,HANAMKONDAHUB_WGL,50400,169,14400
Shipment,MOTHERHUB_MED-KADAPAHUB_KDP-p,17.580519,78.469527,14.4674,78.8241,MOTHERHUB_MED,KADAPAHUB_KDP,50400,169,0
Shipment,MOTHERHUB_MED-KADAPAHUB_KDP-c,17.580519,78.469527,14.4674,78.8241,MOTHERHUB_MED,KADAPAHUB_KDP,50400,83,14400
Shipment,MOTHERHUB_MED-KAKINADAHUB_KKD-p,17.580519,78.469527,16.9890648,82.2474648,MOTHERHUB_MED,KAKINADAHUB_KKD,50400,526,0
Shipment,MOTHERHUB_MED-KAKINADAHUB_KKD-c,17.580519,78.469527,16.9890648,82.2474648,MOTHERHUB_MED,KAKINADAHUB_KKD,50400,193,14400
Shipment,MOTHERHUB_MED-KARIMNAGARHUB_KMN-p,17.580519,78.469527,18.419913,79.136985,MOTHERHUB_MED,KARIMNAGARHUB_KMN,50400,519,0
Shipment,MOTHERHUB_MED-KARIMNAGARHUB_KMN-c,17.580519,78.469527,18.419913,79.136985,MOTHERHUB_MED,KARIMNAGARHUB_KMN,50400,193,14400
Shipment,MOTHERHUB_MED-KHAMMAMHUB_KHM-p,17.580519,78.469527,17.252343,80.149662,MOTHERHUB_MED,KHAMMAMHUB_KHM,50400,343,0
Shipment,MOTHERHUB_MED-KHAMMAMHUB_KHM-c,17.580519,78.469527,17.252343,80.149662,MOTHERHUB_MED,KHAMMAMHUB_KHM,50400,123,14400
Shipment,MOTHERHUB_MED-KURNOOLHUB_KRN-p,17.580519,78.469527,15.8286901,78.0358143,MOTHERHUB_MED,KURNOOLHUB_KRN,50400,293,0
Shipment,MOTHERHUB_MED-KURNOOLHUB_KRN-c,17.580519,78.469527,15.8286901,78.0358143,MOTHERHUB_MED,KURNOOLHUB_KRN,50400,122,14400
Shipment,MOTHERHUB_MED-MAHBUBNAGARHUB_MBN-p,17.580519,78.469527,16.737513,78.008122,MOTHERHUB_MED,MAHBUBNAGARHUB_MBN,50400,102,0
