Type,Key,src_lat,src_long,dest-lat,dest_long,,DH,Ready_time,Load
Shipment,MotherHub_MED-NizamabadHub_NZB,17.580519,78.469527,18.65781,78.107749,MotherHub_MED,NizamabadHub_NZB,75600,385
Shipment,MotherHub_MED-KarimnagarHub_KMN,17.580519,78.469527,18.419913,79.136985,MotherHub_MED,KarimnagarHub_KMN,75600,592
Shipment,MotherHub_MED-HanamkondaHub_WGL,17.580519,78.469527,17.9928272,79.5552427,MotherHub_MED,HanamkondaHub_WGL,75600,779
Shipment,MotherHub_MED-KhammamHub_KHM,17.580519,78.469527,17.252343,80.149662,MotherHub_MED,KhammamHub_KHM,75600,356
Shipment,MotherHub_MED-NalgondaHub_NGD,17.580519,78.469527,17.038222,79.261985,MotherHub_MED,NalgondaHub_NGD,75600,219
Shipment,MotherHub_MED-KurnoolHub_KRN,17.580519,78.469527,15.8286901,78.0358143,MotherHub_MED,KurnoolHub_KRN,75600,562
Shipment,MotherHub_MED-VijayawadaHub_VJA,17.580519,78.469527,16.519591,80.698591,MotherHub_MED,VijayawadaHub_VJA,75600,1633
Shipment,MotherHub_MED-SitaramNagarHub_GTR,17.580519,78.469527,16.306157,80.458347,MotherHub_MED,SitaramNagarHub_GTR,75600,1114
Shipment,MotherHub_MED-RajahmundryHub_RJY,17.580519,78.469527,17.006079,81.785695,MotherHub_MED,RajahmundryHub_RJY,75600,959
Shipment,MotherHub_MED-EluruHub_ELU,17.580519,78.469527,16.7107,81.0952,MotherHub_MED,EluruHub_ELU,75600,525
Shipment,MotherHub_MED-RaichurHub_RCH,17.580519,78.469527,16.212003,77.343928,MotherHub_MED,RaichurHub_RCH,75600,581
Shipment,MotherHub_MED-GulbargaHub_GUL,17.580519,78.469527,17.3098466,76.3816097,MotherHub_MED,GulbargaHub_GUL,75600,753
Shipment,MotherHub_MED-BidarHub_BDR,17.580519,78.469527,17.9149,77.5046,MotherHub_MED,BidarHub_BDR,75600,301
Shipment,MotherHub_MED-NandedHub_NDC,17.580519,78.469527,19.1574438,77.3097367,MotherHub_MED,NandedHub_NDC,75600,615
Shipment,MotherHub_MED-LaturHub_LTU,17.580519,78.469527,18.3838654,76.5680813,MotherHub_MED,LaturHub_LTU,75600,530
Shipment,MotherHub_MED-MahbubnagarHub_MBN,17.580519,78.469527,16.737513,78.008122,MotherHub_MED,MahbubnagarHub_MBN,75600,298
Shipment,MotherHub_MED-OngoleHub_ONG,17.580519,78.469527,15.5075126,80.0558088,MotherHub_MED,OngoleHub_ONG,75600,656
Shipment,MotherHub_MED-GodavarikhaniHub_GDK,17.580519,78.469527,18.7511,79.5059,MotherHub_MED,GodavarikhaniHub_GDK,75600,369
Shipment,MotherHub_MED-BhimavaramHub_BVM,17.580519,78.469527,16.544893,81.521241,MotherHub_MED,BhimavaramHub_BVM,75600,509
Shipment,MotherHub_MED-ChiralaHub_CLX,17.580519,78.469527,15.8136,80.3547,MotherHub_MED,ChiralaHub_CLX,75600,103
Shipment,MotherHub_MED-NarasaraopetHub_NRT,17.580519,78.469527,16.2354,80.0479,MotherHub_MED,NarasaraopetHub_NRT,75600,131
Shipment,MotherHub_MED-TenaliHub_TNL,17.580519,78.469527,16.2395313,80.6493396,MotherHub_MED,TenaliHub_TNL,75600,223
Shipment,MotherHub_MED-KakinadaHub_KKD,17.580519,78.469527,16.9890648,82.2474648,MotherHub_MED,KakinadaHub_KKD,75600,969
Shipment,MotherHub_MED-PalonchaHub_PLC,17.580519,78.469527,18.3198,73.4859,MotherHub_MED,PalonchaHub_PLC,75600,260
Shipment,MotherHub_MED-AmalapuramHub_AMP,17.580519,78.469527,16.5721,82.0009,MotherHub_MED,AmalapuramHub_AMP,75600,290
Shipment,MotherHub_MED-NandyalHub_NDL,17.580519,78.469527,15.4786,78.4831,MotherHub_MED,NandyalHub_NDL,75600,357
