Type,concat,src_lat,src_long,dest_lat,dest_long,MH,DH/PH,ready_time,Load
Shipment,MotherHub_MED-AmalapuramHub_AMP,17.580519,78.469527,16.5721,82.0009,MotherHub_MED,AmalapuramHub_AMP,72000,233
Shipment,MotherHub_MED-BiwiNagarHub_NLR,17.580519,78.469527,14.4103147,79.9638591,MotherHub_MED,BiwiNagarHub_NLR,72000,708
Shipment,MotherHub_MED-EluruHub_ELU,17.580519,78.469527,16.7107,81.0952,MotherHub_MED,EluruHub_ELU,72000,399
Shipment,MotherHub_MED-GajuwakaHub_VTZ,17.580519,78.469527,17.6840054,83.1933079,MotherHub_MED,GajuwakaHub_VTZ,72000,827
Shipment,MotherHub_MED-HanamkondaHub_WGL,17.580519,78.469527,17.9928272,79.5552427,MotherHub_MED,HanamkondaHub_WGL,72000,647
Shipment,MotherHub_MED-KadapaHub_KDP,17.580519,78.469527,14.4674,78.8241,MotherHub_MED,KadapaHub_KDP,72000,252
Shipment,MotherHub_MED-KakinadaHub_KKD,17.580519,78.469527,16.9890648,82.2474648,MotherHub_MED,KakinadaHub_KKD,72000,719
Shipment,MotherHub_MED-KarimnagarHub_KMN,17.580519,78.469527,18.419913,79.136985,MotherHub_MED,KarimnagarHub_KMN,72000,712
Shipment,MotherHub_MED-KhammamHub_KHM,17.580519,78.469527,17.252343,80.149662,MotherHub_MED,KhammamHub_KHM,72000,466
Shipment,MotherHub_MED-KurnoolHub_KRN,17.580519,78.469527,15.8286901,78.0358143,MotherHub_MED,KurnoolHub_KRN,72000,415
Shipment,MotherHub_MED-MahbubnagarHub_MBN,17.580519,78.469527,16.737513,78.008122,MotherHub_MED,MahbubnagarHub_MBN,72000,195
Shipment,MotherHub_MED-NalgondaHub_NGD,17.580519,78.469527,17.038222,79.261985,MotherHub_MED,NalgondaHub_NGD,72000,164
Shipment,MotherHub_MED-NizamabadHub_NZB,17.580519,78.469527,18.65781,78.107749,MotherHub_MED,NizamabadHub_NZB,72000,255
Shipment,MotherHub_MED-OngoleHub_ONG,17.580519,78.469527,15.5075126,80.0558088,MotherHub_MED,OngoleHub_ONG,72000,302
Shipment,MotherHub_MED-RajahmundryHub_RJY,17.580519,78.469527,17.006079,81.785695,MotherHub_MED,RajahmundryHub_RJY,72000,778
Shipment,MotherHub_MED-SitaramNagarHub_GTR,17.580519,78.469527,16.306157,80.458347,MotherHub_MED,SitaramNagarHub_GTR,72000,1096
Shipment,MotherHub_MED-SrikakulamHub_SKM,17.580519,78.469527,18.2969747,83.8967813,MotherHub_MED,SrikakulamHub_SKM,72000,253
Shipment,MotherHub_MED-SrikalahastiHub_SKH,17.580519,78.469527,13.752,79.7037,MotherHub_MED,SrikalahastiHub_SKH,72000,111
Shipment,MotherHub_MED-TanukuHub_TKU,17.580519,78.469527,16.7571731,81.6799629,MotherHub_MED,TanukuHub_TKU,72000,136
Shipment,MotherHub_MED-TenaliHub_TNL,17.580519,78.469527,16.2395313,80.6493396,MotherHub_MED,TenaliHub_TNL,72000,183
Shipment,MotherHub_MED-VijayawadaHub_VJA,17.580519,78.469527,16.519591,80.698591,MotherHub_MED,VijayawadaHub_VJA,72000,1462
Shipment,MotherHub_MED-VikarabadHub_VKB,17.580519,78.469527,17.341414,77.9070458,MotherHub_MED,VikarabadHub_VKB,72000,164
Shipment,MotherHub_MED-VisakhapatnamHub_VTZ,17.580519,78.469527,17.6868159,83.2184815,MotherHub_MED,VisakhapatnamHub_VTZ,72000,988
Shipment,MotherHub_MED-VisakhavalleyHub_VTZ,17.580519,78.469527,17.6868159,83.2184815,MotherHub_MED,VisakhavalleyHub_VTZ,72000,769
Shipment,MotherHub_MED-VizianagaramHub_VZM,17.580519,78.469527,18.1066576,83.3955506,MotherHub_MED,VizianagaramHub_VZM,72000,244
