Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_time,Ready_time_1,key_leg2
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-0.751930555555195,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,2707,74,67421,0.751930556,MOTHERHUB_AMD-MOTHERHUB_BIL-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-2.95044444444388,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,10622,194,75335,2.950444444,MOTHERHUB_AMD-MOTHERHUB_BIL-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-3.79823611111124,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,13674,190,78387,3.798236111,MOTHERHUB_AMD-MOTHERHUB_BIL-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-4.56184722222245,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,16423,586,81136,4.561847222,MOTHERHUB_AMD-MOTHERHUB_BIL-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-15.9781944444448,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,57522,84,35835,15.97819444,MOTHERHUB_AMD-MOTHERHUB_BIL-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-5.34691666666746,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,19249,141,33122,5.346916667,MOTHERHUB_AMD-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-8.53401388888853,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,30722,517,44596,8.534013889,MOTHERHUB_AMD-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-10.3956805555557,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,37424,25,51298,10.39568056,MOTHERHUB_AMD-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-11.1995416666662,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,40318,70,54192,11.19954167,MOTHERHUB_AMD-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-18.8850972222222,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,67986,406,81860,18.88509722,MOTHERHUB_AMD-MOTHERHUB_BLR-3
