Type,Key,src_lat,src_long,dest_lat,dest_long,Source,Dest,Ready_time,Load
Shipment,MOTHERHUB_AMD-MOTHERHUB_BBI,22.8978044,72.5902141,20.295471,85.84707,MOTHERHUB_AMD,MOTHERHUB_BBI,10800,608
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,10800,1852
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,10800,4482
Shipment,MOTHERHUB_AMD-MOTHERHUB_CHN,22.8978044,72.5902141,13.04591,80.067723,MOTHERHUB_AMD,MOTHERHUB_CHN,10800,634
Shipment,MOTHERHUB_AMD-MOTHERHUB_GAU,22.8978044,72.5902141,26.043197,91.705232,MOTHERHUB_AMD,MOTHERHUB_GAU,10800,895
Shipment,MOTHERHUB_AMD-MOTHERHUB_IXR,22.8978044,72.5902141,23.352715,85.343538,MOTHERHUB_AMD,MOTHERHUB_IXR,10800,417
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,10800,2077
Shipment,MOTHERHUB_AMD-MOTHERHUB_MED,22.8978044,72.5902141,17.580519,78.469527,MOTHERHUB_AMD,MOTHERHUB_MED,10800,1521
Shipment,MOTHERHUB_AMD-MOTHERHUB_PAT,22.8978044,72.5902141,25.587197,85.185842,MOTHERHUB_AMD,MOTHERHUB_PAT,10800,851
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,10800,4627
Shipment,MOTHERHUB_AMD-MOTHERHUB_PUNE,22.8978044,72.5902141,18.6087917,73.7268817,MOTHERHUB_AMD,MOTHERHUB_PUNE,10800,1676
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,10800,3738
Shipment,MOTHERHUB_BIL-MOTHERHUB_BBI,19.2374987,73.0362352,20.295471,85.84707,MOTHERHUB_BIL,MOTHERHUB_BBI,10800,608
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,10800,6512
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,10800,1028
Shipment,MOTHERHUB_BIL-MOTHERHUB_GAU,19.2374987,73.0362352,26.043197,91.705232,MOTHERHUB_BIL,MOTHERHUB_GAU,10800,1076
Shipment,MOTHERHUB_BIL-MOTHERHUB_IXR,19.2374987,73.0362352,23.352715,85.343538,MOTHERHUB_BIL,MOTHERHUB_IXR,10800,387
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,10800,2460
Shipment,MOTHERHUB_BIL-MOTHERHUB_MED,19.2374987,73.0362352,17.580519,78.469527,MOTHERHUB_BIL,MOTHERHUB_MED,10800,2659
Shipment,MOTHERHUB_BIL-MOTHERHUB_PAT,19.2374987,73.0362352,25.587197,85.185842,MOTHERHUB_BIL,MOTHERHUB_PAT,10800,712
Shipment,MOTHERHUB_BIL-MOTHERHUB_PTI,19.2374987,73.0362352,28.294166,76.855804,MOTHERHUB_BIL,MOTHERHUB_PTI,10800,8055
Shipment,MOTHERHUB_BIL-MOTHERHUB_PUNE,19.2374987,73.0362352,18.6087917,73.7268817,MOTHERHUB_BIL,MOTHERHUB_PUNE,10800,5830
Shipment,MOTHERHUB_BLR-MOTHERHUB_AMD,12.9842798,77.8242648,22.8978044,72.5902141,MOTHERHUB_BLR,MOTHERHUB_AMD,10800,2261
Shipment,MOTHERHUB_BLR-MOTHERHUB_BBI,12.9842798,77.8242648,20.295471,85.84707,MOTHERHUB_BLR,MOTHERHUB_BBI,10800,1211
Shipment,MOTHERHUB_BLR-MOTHERHUB_BIL,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_BIL,10800,3830
Shipment,MOTHERHUB_BLR-MOTHERHUB_CHN,12.9842798,77.8242648,13.04591,80.067723,MOTHERHUB_BLR,MOTHERHUB_CHN,10800,3903
Shipment,MOTHERHUB_BLR-MOTHERHUB_GAU,12.9842798,77.8242648,26.043197,91.705232,MOTHERHUB_BLR,MOTHERHUB_GAU,10800,2161
Shipment,MOTHERHUB_BLR-MOTHERHUB_IXR,12.9842798,77.8242648,23.352715,85.343538,MOTHERHUB_BLR,MOTHERHUB_IXR,10800,829
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,10800,4746
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,10800,6954
Shipment,MOTHERHUB_BLR-MOTHERHUB_PAT,12.9842798,77.8242648,25.587197,85.185842,MOTHERHUB_BLR,MOTHERHUB_PAT,10800,1193
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-0,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,9000
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-1,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,5904
Shipment,MOTHERHUB_BLR-MOTHERHUB_PUNE,12.9842798,77.8242648,18.6087917,73.7268817,MOTHERHUB_BLR,MOTHERHUB_PUNE,10800,4653
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD,13.04591,80.067723,22.8978044,72.5902141,MOTHERHUB_CHN,MOTHERHUB_AMD,10800,558
Shipment,MOTHERHUB_CHN-MOTHERHUB_BBI,13.04591,80.067723,20.295471,85.84707,MOTHERHUB_CHN,MOTHERHUB_BBI,10800,308
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,10800,905
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,10800,4211
Shipment,MOTHERHUB_CHN-MOTHERHUB_GAU,13.04591,80.067723,26.043197,91.705232,MOTHERHUB_CHN,MOTHERHUB_GAU,10800,357
Shipment,MOTHERHUB_CHN-MOTHERHUB_IXR,13.04591,80.067723,23.352715,85.343538,MOTHERHUB_CHN,MOTHERHUB_IXR,10800,195
Shipment,MOTHERHUB_CHN-MOTHERHUB_KOL,13.04591,80.067723,22.708183,88.28565,MOTHERHUB_CHN,MOTHERHUB_KOL,10800,1253
Shipment,MOTHERHUB_CHN-MOTHERHUB_MED,13.04591,80.067723,17.580519,78.469527,MOTHERHUB_CHN,MOTHERHUB_MED,10800,1518
Shipment,MOTHERHUB_CHN-MOTHERHUB_PAT,13.04591,80.067723,25.587197,85.185842,MOTHERHUB_CHN,MOTHERHUB_PAT,10800,358
Shipment,MOTHERHUB_CHN-MOTHERHUB_PTI,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_PTI,10800,2831
Shipment,MOTHERHUB_CHN-MOTHERHUB_PUNE,13.04591,80.067723,18.6087917,73.7268817,MOTHERHUB_CHN,MOTHERHUB_PUNE,10800,909
