 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 6-MOTHERHUB_AMD-28   , start                 , -               , undef           ,0,0
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_BIL ,0,0,0
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_MED ,0,0,0
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_CHN ,0,0,0
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_CHN ,24055,24055,6985504
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_MED ,24055,24055,6985504
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_BIL ,48446,48446,14068808
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_CHN ,48446,48446,14068808
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_MED ,48446,48446,14068808
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_MED ,119585,119585,34727554
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_BLR-2 ,119585,119585,34727554
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_MED ,119585,119585,34727554
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_MED ,119585,119585,34727554
1, 6-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_CHN ,119585,119585,34727554
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_BLR-2 ,180523,180523,52423965
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_CHN ,209253,209253,60767025
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_CHN ,209253,209253,60767025
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_CHN ,209253,209253,60767025
1, 6-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_CHN ,209253,209253,60767025
1, 6-MOTHERHUB_AMD-28   , end                   , -               ,209253, undef           ,60767025
,,,,,,
2, 9-MOTHERHUB_KOL-32   , start                 , -               , undef           ,0,0
2, 9-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_JAI ,0,0,0
2, 9-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_PTI ,0,0,0
2, 9-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_PTI ,154017,154017,45191369
2, 9-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_JAI ,154017,154017,45191369
2, 9-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_JAI ,175801,175801,51582982
2, 9-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_JAI ,175801,175801,51582982
2, 9-MOTHERHUB_KOL-32   , end                   , -               ,175801, undef           ,51582982
,,,,,,
3, 4-MOTHERHUB_KOL-14   , start                 , -               , undef           ,0,0
