 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
,,,,,,,,,
1, 5-MOTHERHUB_AMD-32   , start                 , -               , undef           ,0,0,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_MED ,0,0,0,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_CHN ,0,0,0,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_BLR ,0,0,0,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_BLR ,24055,24055,7058081,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_MED ,24055,24055,7058081,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_CHN ,24055,24055,7058081,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_BLR ,147174,147174,43183304,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_BLR ,147174,147174,43183304,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_CHN ,147174,147174,43183304,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_CHN ,175903,175903,51613045,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_CHN ,175903,175903,51613045,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_MED ,175903,175903,51613045,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_CHN ,175903,175903,51613045,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_MED ,238827,238827,70075869,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_MED ,238827,238827,70075869,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_MED ,238827,238827,70075869,,,
1, 5-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_BIL ,238827,238827,70075869,,,
1, 5-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_BIL ,309966,309966,90949252,86.1016666667,3.5875694444,90949.252
1, 5-MOTHERHUB_AMD-32   , end                   , -               ,309966, undef           ,90949252,,,
,,,,,,,,,
2, 8-MOTHERHUB_AMD-32   , start                 , -               , undef           ,0,0,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_BIL ,0,0,0,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_KOL ,0,0,0,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_BIL ,24055,24055,7058081,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_BIL ,48446,48446,14214977,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_BIL ,48446,48446,14214977,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_CHN ,48446,48446,14214977,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_MED ,48446,48446,14214977,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_MED ,119585,119585,35088360,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_CHN ,119585,119585,35088360,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_BLR-2 ,119585,119585,35088360,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_BLR-2 ,180523,180523,52968629,,,
2, 8-MOTHERHUB_AMD-32   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_KOL ,209253,209253,61398371,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_CHN ,209253,209253,61398371,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_CHN ,209253,209253,61398371,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_KOL ,372470,372470,109289165,,,
2, 8-MOTHERHUB_AMD-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_KOL ,372470,372470,109289165,103.4638888889,4.3109953704,109289.165
2, 8-MOTHERHUB_AMD-32   , end                   , -               ,372470, undef           ,109289165,,,
,,,,,,,,,
