 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           
,,,,,,
1, 3-MOTHERHUB_AMD-28   , start                 , -               , undef           ,0,0
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_STV ,0,0,0
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_MED ,0,0,0
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_CHN ,0,0,0
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_BIL ,0,0,0
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_BLR ,0,0,0
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_STV ,20358,20358,5912084
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_CHN ,20358,20358,5912084
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_BIL ,41002,41002,11906938
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_MED ,41002,41002,11906938
1, 3-MOTHERHUB_AMD-28   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_CHN ,41002,41002,11906938
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_MED ,112156,112156,32570132
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_MED ,112156,112156,32570132
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_CHN ,175093,175093,50847041
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_CHN ,175093,175093,50847041
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_CHN ,175093,175093,50847041
1, 3-MOTHERHUB_AMD-28   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_BLR ,199408,199408,57908073
1, 3-MOTHERHUB_AMD-28   , end                   , -               ,199408, undef           ,57908073
,,,,,,
2, 7-MOTHERHUB_KOL-28   , start                 , -               , undef           ,0,0
2, 7-MOTHERHUB_KOL-28   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_PTI ,0,0,0
2, 7-MOTHERHUB_KOL-28   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_JAI ,0,0,0
2, 7-MOTHERHUB_KOL-28   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_PTI ,154051,154051,44736305
2, 7-MOTHERHUB_KOL-28   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_JAI ,175839,175839,51063557
2, 7-MOTHERHUB_KOL-28   , end                   , -               ,175839, undef           ,51063557
,,,,,,
3, 1-MOTHERHUB_KOL-32   , start                 , -               , undef           ,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_AMD ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_MED ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_BLR ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_CHN ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_BIL ,0,0,0
3, 1-MOTHERHUB_KOL-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_STV ,0,0,0
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_CHN ,163253,163253,47901104
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BLR ,187567,187567,55035498
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_MED ,248519,248519,72919617
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_BIL ,319673,319673,93797493
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_STV ,340316,340316,99854632
3, 1-MOTHERHUB_KOL-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_AMD ,364376,364376,106914232
3, 1-MOTHERHUB_KOL-32   , end                   , -               ,364376, undef           ,106914232
,,,,,,
4, 4-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0
4, 4-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_JAI ,0,0,0
4, 4-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_PTI-2 ,0,0,0
4, 4-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_JAI ,20643,20643,6057139
4, 4-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_PTI ,20643,20643,6057139
4, 4-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_AMD ,20643,20643,6057139
4, 4-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_JAI ,44703,44703,13116739
4, 4-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_AMD ,44703,44703,13116739
4, 4-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_PTI ,44703,44703,13116739
4, 4-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_JAI ,109986,109986,32271809
4, 4-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_JAI ,109986,109986,32271809
4, 4-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_JAI ,109986,109986,32271809
4, 4-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_PTI-2 ,128422,128422,37681262
4, 4-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_PTI ,128422,128422,37681262
4, 4-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_PTI ,128422,128422,37681262
4, 4-MOTHERHUB_BIL-32   , end                   , -               ,128422, undef           ,37681262
,,,,,,
5, 5-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0
5, 5-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_KOL ,0,0,0
5, 5-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_KOL ,48411,48411,14204526
5, 5-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_KOL ,238474,238474,69972280
5, 5-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_KOL ,238474,238474,69972280
5, 5-MOTHERHUB_BIL-32   , end                   , -               ,238474, undef           ,69972280
,,,,,,
6, 8-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0
6, 8-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_BLR ,0,0,0
6, 8-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_BLR ,101991,101991,29925887
6, 8-MOTHERHUB_BIL-32   , end                   , -               ,101991, undef           ,29925887
,,,,,,
7, 9-MOTHERHUB_BIL-32   , start                 , -               , undef           ,0,0
7, 9-MOTHERHUB_BIL-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_PTI-1 ,0,0,0
7, 9-MOTHERHUB_BIL-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_PTI-1 ,127546,127546,37424066
7, 9-MOTHERHUB_BIL-32   , end                   , -               ,127546, undef           ,37424066
,,,,,,
8, 1-MOTHERHUB_BIL-14   , start                 , -               , undef           ,0,0
8, 1-MOTHERHUB_BIL-14   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_STV ,0,0,0
8, 1-MOTHERHUB_BIL-14   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_AMD ,0,0,0
8, 1-MOTHERHUB_BIL-14   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_STV ,16220,16220,4940472
