Type,key,src_lat_n,src_long_n,dest_lat_n,dest_long_n,origin_hub_n,dest_mh_n,order_pattern,Load
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,0,1128
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,0,1159
Shipment,MOTHERHUB_AMD-MOTHERHUB_CHN,22.8978044,72.5902141,13.04591,80.067723,MOTHERHUB_AMD,MOTHERHUB_CHN,0,199
Shipment,MOTHERHUB_AMD-MOTHERHUB_JAI,22.8978044,72.5902141,26.948928,75.761927,MOTHERHUB_AMD,MOTHERHUB_JAI,0,142
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,0,972
Shipment,MOTHERHUB_AMD-MOTHERHUB_MED,22.8978044,72.5902141,17.580519,78.469527,MOTHERHUB_AMD,MOTHERHUB_MED,0,388
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,0,1347
Shipment,MOTHERHUB_AMD-MOTHERHUB_STV,22.8978044,72.5902141,21.0895987,72.900005,MOTHERHUB_AMD,MOTHERHUB_STV,0,122
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,0,1996
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,0,6045
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,0,996
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,0,755
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,0,4914
Shipment,MOTHERHUB_BIL-MOTHERHUB_MED,19.2374987,73.0362352,17.580519,78.469527,MOTHERHUB_BIL,MOTHERHUB_MED,0,2220
Shipment,MOTHERHUB_BIL-MOTHERHUB_PTI,19.2374987,73.0362352,28.294166,76.855804,MOTHERHUB_BIL,MOTHERHUB_PTI,0,7004
Shipment,MOTHERHUB_BIL-MOTHERHUB_STV,19.2374987,73.0362352,21.0895987,72.900005,MOTHERHUB_BIL,MOTHERHUB_STV,0,677
Shipment,MotherHub_BLR-MOTHERHUB_AMD,12.9842798,77.8242648,22.8978044,72.5902141,MotherHub_BLR,MOTHERHUB_AMD,0,1289
Shipment,MotherHub_BLR-MOTHERHUB_BIL,12.9842798,77.8242648,19.2374987,73.0362352,MotherHub_BLR,MOTHERHUB_BIL,0,6484
Shipment,MotherHub_BLR-MOTHERHUB_CHN,12.9842798,77.8242648,13.04591,80.067723,MotherHub_BLR,MOTHERHUB_CHN,0,3489
Shipment,MotherHub_BLR-MOTHERHUB_JAI,12.9842798,77.8242648,26.948928,75.761927,MotherHub_BLR,MOTHERHUB_JAI,0,1626
Shipment,MotherHub_BLR-MOTHERHUB_KOL,12.9842798,77.8242648,22.708183,88.28565,MotherHub_BLR,MOTHERHUB_KOL,0,7248
Shipment,MotherHub_BLR-MOTHERHUB_MED,12.9842798,77.8242648,17.580519,78.469527,MotherHub_BLR,MOTHERHUB_MED,0,5261
Shipment,MotherHub_BLR-MOTHERHUB_PTI-1,12.9842798,77.8242648,28.294166,76.855804,MotherHub_BLR,MOTHERHUB_PTI,0,9000
Shipment,MotherHub_BLR-MOTHERHUB_PTI-2,12.9842798,77.8242648,28.294166,76.855804,MotherHub_BLR,MOTHERHUB_PTI,0,2019
Shipment,MotherHub_BLR-MOTHERHUB_STV,12.9842798,77.8242648,21.0895987,72.900005,MotherHub_BLR,MOTHERHUB_STV,0,533
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD,13.04591,80.067723,22.8978044,72.5902141,MOTHERHUB_CHN,MOTHERHUB_AMD,0,551
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,0,2066
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,0,4924
Shipment,MOTHERHUB_CHN-MOTHERHUB_JAI,13.04591,80.067723,26.948928,75.761927,MOTHERHUB_CHN,MOTHERHUB_JAI,0,435
Shipment,MOTHERHUB_CHN-MOTHERHUB_KOL,13.04591,80.067723,22.708183,88.28565,MOTHERHUB_CHN,MOTHERHUB_KOL,0,2121
Shipment,MOTHERHUB_CHN-MOTHERHUB_MED,13.04591,80.067723,17.580519,78.469527,MOTHERHUB_CHN,MOTHERHUB_MED,0,1460
Shipment,MOTHERHUB_CHN-MOTHERHUB_PTI,13.04591,80.067723,28.294166,76.855804,MOTHERHUB_CHN,MOTHERHUB_PTI,0,3117
Shipment,MOTHERHUB_CHN-MOTHERHUB_STV,13.04591,80.067723,21.0895987,72.900005,MOTHERHUB_CHN,MOTHERHUB_STV,0,196
Shipment,MOTHERHUB_JAI-MOTHERHUB_AMD,26.948928,75.761927,22.8978044,72.5902141,MOTHERHUB_JAI,MOTHERHUB_AMD,0,331
Shipment,MOTHERHUB_JAI-MOTHERHUB_BIL,26.948928,75.761927,19.2374987,73.0362352,MOTHERHUB_JAI,MOTHERHUB_BIL,0,1392
Shipment,MOTHERHUB_JAI-MOTHERHUB_BLR,26.948928,75.761927,12.9842798,77.8242648,MOTHERHUB_JAI,MOTHERHUB_BLR,0,2650
Shipment,MOTHERHUB_JAI-MOTHERHUB_CHN,26.948928,75.761927,13.04591,80.067723,MOTHERHUB_JAI,MOTHERHUB_CHN,0,466
Shipment,MOTHERHUB_JAI-MOTHERHUB_KOL,26.948928,75.761927,22.708183,88.28565,MOTHERHUB_JAI,MOTHERHUB_KOL,0,2587
Shipment,MOTHERHUB_JAI-MOTHERHUB_MED,26.948928,75.761927,17.580519,78.469527,MOTHERHUB_JAI,MOTHERHUB_MED,0,872
Shipment,MOTHERHUB_JAI-MOTHERHUB_PTI,26.948928,75.761927,28.294166,76.855804,MOTHERHUB_JAI,MOTHERHUB_PTI,0,3311
Shipment,MOTHERHUB_JAI-MOTHERHUB_STV,26.948928,75.761927,21.0895987,72.900005,MOTHERHUB_JAI,MOTHERHUB_STV,0,113
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,0,360
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,0,1572
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,0,2377
Shipment,MOTHERHUB_KOL-MOTHERHUB_CHN,22.708183,88.28565,13.04591,80.067723,MOTHERHUB_KOL,MOTHERHUB_CHN,0,339
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI,22.708183,88.28565,26.948928,75.761927,MOTHERHUB_KOL,MOTHERHUB_JAI,0,492
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,0,946
Shipment,MOTHERHUB_KOL-MOTHERHUB_PTI,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_PTI,0,4759
Shipment,MOTHERHUB_KOL-MOTHERHUB_STV,22.708183,88.28565,21.0895987,72.900005,MOTHERHUB_KOL,MOTHERHUB_STV,0,463
