Type,key,National_connect_lat,National_connect_long,zonal_connect_lat,zonal_connect_long,National_connect,zonal_connect,Ready_time,Load
Shipment,MOTHERHUB_AMD-MOTHERHUB_BIL-3,22.8978044,72.5902141,19.2374987,73.0362352,MOTHERHUB_AMD,MOTHERHUB_BIL,10800,1128
Shipment,MOTHERHUB_AMD-MOTHERHUB_BLR-3,22.8978044,72.5902141,12.9842798,77.8242648,MOTHERHUB_AMD,MOTHERHUB_BLR,10800,1159
Shipment,MOTHERHUB_AMD-MOTHERHUB_CHN-3,22.8978044,72.5902141,13.04591,80.067723,MOTHERHUB_AMD,MOTHERHUB_CHN,10800,199
Shipment,MOTHERHUB_AMD-MOTHERHUB_JAI-3,22.8978044,72.5902141,26.948928,75.761927,MOTHERHUB_AMD,MOTHERHUB_JAI,10800,142
Shipment,MOTHERHUB_AMD-MOTHERHUB_KOL-3,22.8978044,72.5902141,22.708183,88.28565,MOTHERHUB_AMD,MOTHERHUB_KOL,10800,972
Shipment,MOTHERHUB_AMD-MOTHERHUB_MED-3,22.8978044,72.5902141,17.580519,78.469527,MOTHERHUB_AMD,MOTHERHUB_MED,10800,388
Shipment,MOTHERHUB_AMD-MOTHERHUB_PTI-3,22.8978044,72.5902141,28.294166,76.855804,MOTHERHUB_AMD,MOTHERHUB_PTI,10800,1347
Shipment,MOTHERHUB_AMD-MOTHERHUB_STV-3,22.8978044,72.5902141,21.0895987,72.900005,MOTHERHUB_AMD,MOTHERHUB_STV,10800,122
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-3,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,10800,1846
Shipment,MOTHERHUB_BIL-MOTHERHUB_AMD-13.6944444444444,19.2374987,73.0362352,22.8978044,72.5902141,MOTHERHUB_BIL,MOTHERHUB_AMD,49300,150
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-3,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,10800,5195
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-13.6944444444444,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,49300,850
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-3,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,10800,892
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-13.6944444444444,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,49300,104
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-3,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,10800,615
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-13.6944444444444,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,49300,140
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-3,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,10800,4434
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-13.6944444444444,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,49300,480
Shipment,MOTHERHUB_BIL-MOTHERHUB_MED-3,19.2374987,73.0362352,17.580519,78.469527,MOTHERHUB_BIL,MOTHERHUB_MED,10800,1932
Shipment,MOTHERHUB_BIL-MOTHERHUB_MED-13.6944444444444,19.2374987,73.0362352,17.580519,78.469527,MOTHERHUB_BIL,MOTHERHUB_MED,49300,288
Shipment,MOTHERHUB_BIL-MOTHERHUB_PTI-3,19.2374987,73.0362352,28.294166,76.855804,MOTHERHUB_BIL,MOTHERHUB_PTI,10800,5647
Shipment,MOTHERHUB_BIL-MOTHERHUB_PTI-13.6944444444444,19.2374987,73.0362352,28.294166,76.855804,MOTHERHUB_BIL,MOTHERHUB_PTI,49300,1357
Shipment,MOTHERHUB_BIL-MOTHERHUB_STV-3,19.2374987,73.0362352,21.0895987,72.900005,MOTHERHUB_BIL,MOTHERHUB_STV,10800,528
Shipment,MOTHERHUB_BIL-MOTHERHUB_STV-13.6944444444444,19.2374987,73.0362352,21.0895987,72.900005,MOTHERHUB_BIL,MOTHERHUB_STV,49300,149
Shipment,MOTHERHUB_BLR-MOTHERHUB_AMD-3,12.9842798,77.8242648,22.8978044,72.5902141,MOTHERHUB_BLR,MOTHERHUB_AMD,10800,1183
Shipment,MOTHERHUB_BLR-MOTHERHUB_AMD-11.9513888888889,12.9842798,77.8242648,22.8978044,72.5902141,MOTHERHUB_BLR,MOTHERHUB_AMD,43025,106
Shipment,MOTHERHUB_BLR-MOTHERHUB_BIL-3,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_BIL,10800,6066
Shipment,MOTHERHUB_BLR-MOTHERHUB_BIL-11.9513888888889,12.9842798,77.8242648,19.2374987,73.0362352,MOTHERHUB_BLR,MOTHERHUB_BIL,43025,418
Shipment,MOTHERHUB_BLR-MOTHERHUB_CHN-3,12.9842798,77.8242648,13.04591,80.067723,MOTHERHUB_BLR,MOTHERHUB_CHN,10800,3313
Shipment,MOTHERHUB_BLR-MOTHERHUB_CHN-11.9513888888889,12.9842798,77.8242648,13.04591,80.067723,MOTHERHUB_BLR,MOTHERHUB_CHN,43025,176
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI-3,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,10800,1445
Shipment,MOTHERHUB_BLR-MOTHERHUB_JAI-11.9513888888889,12.9842798,77.8242648,26.948928,75.761927,MOTHERHUB_BLR,MOTHERHUB_JAI,43025,181
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL-3,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,10800,7014
Shipment,MOTHERHUB_BLR-MOTHERHUB_KOL-11.9513888888889,12.9842798,77.8242648,22.708183,88.28565,MOTHERHUB_BLR,MOTHERHUB_KOL,43025,234
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-3,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,10800,4806
Shipment,MOTHERHUB_BLR-MOTHERHUB_MED-11.9513888888889,12.9842798,77.8242648,17.580519,78.469527,MOTHERHUB_BLR,MOTHERHUB_MED,43025,455
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-0,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,9000
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-3-1,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,10800,270
Shipment,MOTHERHUB_BLR-MOTHERHUB_PTI-11.9513888888889,12.9842798,77.8242648,28.294166,76.855804,MOTHERHUB_BLR,MOTHERHUB_PTI,43025,1749
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-3,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,10800,361
Shipment,MOTHERHUB_BLR-MOTHERHUB_STV-11.9513888888889,12.9842798,77.8242648,21.0895987,72.900005,MOTHERHUB_BLR,MOTHERHUB_STV,43025,172
Shipment,MOTHERHUB_CHN-MOTHERHUB_AMD-3,13.04591,80.067723,22.8978044,72.5902141,MOTHERHUB_CHN,MOTHERHUB_AMD,10800,551
Shipment,MOTHERHUB_CHN-MOTHERHUB_BIL-3,13.04591,80.067723,19.2374987,73.0362352,MOTHERHUB_CHN,MOTHERHUB_BIL,10800,2066
Shipment,MOTHERHUB_CHN-MOTHERHUB_BLR-3,13.04591,80.067723,12.9842798,77.8242648,MOTHERHUB_CHN,MOTHERHUB_BLR,10800,4924
Shipment,MOTHERHUB_CHN-MOTHERHUB_JAI-3,13.04591,80.067723,26.948928,75.761927,MOTHERHUB_CHN,MOTHERHUB_JAI,10800,435
