| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 1       | 0-S-1-17             | start                 | -               | undef           | 0               | 0               |
| 1       | 0-S-1-17             | pickupShipment        | S-1_JorhatHub_JRH_8 | 0               | 43514           | 0               |
| 1       | 0-S-1-17             | pickupShipment        | S-1_NorthLakhimpurHub_NLP_10 | 43514           | 50711           | 0               |
| 1       | 0-S-1-17             | pickupShipment        | S-1_NorthLakhimpurHub_NLP_9 | 50711           | 51022           | 0               |
| 1       | 0-S-1-17             | pickupShipment        | S-1_JorhatHub_JRH_6 | 51022           | 51326           | 0               |
| 1       | 0-S-1-17             | pickupShipment        | S-1_JorhatHub_JRH_7 | 51326           | 51632           | 0               |
| 1       | 0-S-1-17             | deliverShipment       | S-1_JorhatHub_JRH_8 | 79957           | 82657           | 8497338         |
| 1       | 0-S-1-17             | deliverShipment       | S-1_JorhatHub_JRH_7 | 82657           | 85357           | 8497338         |
| 1       | 0-S-1-17             | deliverShipment       | S-1_JorhatHub_JRH_6 | 85357           | 88057           | 8497338         |
| 1       | 0-S-1-17             | deliverShipment       | S-1_NorthLakhimpurHub_NLP_9 | 95207           | 97907           | 10642314        |
| 1       | 0-S-1-17             | deliverShipment       | S-1_NorthLakhimpurHub_NLP_10 | 97907           | 100607          | 10642314        |
| 1       | 0-S-1-17             | end                   | -               | 100607          | undef           | 10642314        |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 2       | 1-S-1-17             | start                 | -               | undef           | 0               | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_AgartalaHub_IXA_16 | 0               | 72317           | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_AgartalaHub_IXA_15 | 72317           | 72635           | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_AgartalaHub_IXA_14 | 72635           | 72954           | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_ShillongHub_SHL_22 | 72954           | 93920           | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_AgartalaHub_IXA_11 | 93920           | 94240           | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_AgartalaHub_IXA_19 | 94240           | 94563           | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_AgartalaHub_IXA_10 | 94563           | 94880           | 0               |
| 2       | 1-S-1-17             | pickupShipment        | S-1_AgartalaHub_IXA_18 | 94880           | 95202           | 0               |
