Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_PAT-ARRAHHUB_ARH-p,25.587197,85.185842,2.5556E+1,8.46603E+1,MOTHERHUB_PAT,ARRAHHUB_ARH,72000,1,0
Shipment,MOTHERHUB_PAT-ARRAHHUB_ARH-c,25.587197,85.185842,2.5556E+1,8.46603E+1,MOTHERHUB_PAT,ARRAHHUB_ARH,72000,23,14400
Shipment,MOTHERHUB_PAT-BEGUSARAIHUB_BGI-p,25.587197,85.185842,25.419641,86.265765,MOTHERHUB_PAT,BEGUSARAIHUB_BGI,72000,141,0
Shipment,MOTHERHUB_PAT-BEGUSARAIHUB_BGI-c,25.587197,85.185842,25.419641,86.265765,MOTHERHUB_PAT,BEGUSARAIHUB_BGI,72000,185,14400
Shipment,MOTHERHUB_PAT-BHAGALPURHUB_BGP-p,25.587197,85.185842,25.23711,86.974516,MOTHERHUB_PAT,BHAGALPURHUB_BGP,72000,523,0
Shipment,MOTHERHUB_PAT-BHAGALPURHUB_BGP-c,25.587197,85.185842,25.23711,86.974516,MOTHERHUB_PAT,BHAGALPURHUB_BGP,72000,307,14400
Shipment,MOTHERHUB_PAT-BIHARSHARIFHUB_BSF-p,25.587197,85.185842,2.51982E+1,8.55149E+1,MOTHERHUB_PAT,BIHARSHARIFHUB_BSF,72000,86,0
Shipment,MOTHERHUB_PAT-BIHARSHARIFHUB_BSF-c,25.587197,85.185842,2.51982E+1,8.55149E+1,MOTHERHUB_PAT,BIHARSHARIFHUB_BSF,72000,136,14400
Shipment,MOTHERHUB_PAT-CHAPRAHUB_CPR-p,25.587197,85.185842,25.779565,84.749889,MOTHERHUB_PAT,CHAPRAHUB_CPR,72000,105,0
Shipment,MOTHERHUB_PAT-CHAPRAHUB_CPR-c,25.587197,85.185842,25.779565,84.749889,MOTHERHUB_PAT,CHAPRAHUB_CPR,72000,135,14400
Shipment,MOTHERHUB_PAT-DARBHANGAHUB_DBG-p,25.587197,85.185842,26.146905,85.91,MOTHERHUB_PAT,DARBHANGAHUB_DBG,72000,453,0
Shipment,MOTHERHUB_PAT-DARBHANGAHUB_DBG-c,25.587197,85.185842,26.146905,85.91,MOTHERHUB_PAT,DARBHANGAHUB_DBG,72000,262,14400
Shipment,MOTHERHUB_PAT-GAYAHUB_GAY-p,25.587197,85.185842,24.787715,84.985116,MOTHERHUB_PAT,GAYAHUB_GAY,72000,439,0
Shipment,MOTHERHUB_PAT-GAYAHUB_GAY-c,25.587197,85.185842,24.787715,84.985116,MOTHERHUB_PAT,GAYAHUB_GAY,72000,265,14400
Shipment,MOTHERHUB_PAT-HAJIPURHUB_HJP-p,25.587197,85.185842,2.56858E+1,8.52146E+1,MOTHERHUB_PAT,HAJIPURHUB_HJP,72000,1,0
Shipment,MOTHERHUB_PAT-HAJIPURHUB_HJP-c,25.587197,85.185842,2.56858E+1,8.52146E+1,MOTHERHUB_PAT,HAJIPURHUB_HJP,72000,58,14400
Shipment,MOTHERHUB_PAT-MOTIHARIHUB_MTI-p,25.587197,85.185842,26.6555,84.9052,MOTHERHUB_PAT,MOTIHARIHUB_MTI,72000,172,0
Shipment,MOTHERHUB_PAT-MOTIHARIHUB_MTI-c,25.587197,85.185842,26.6555,84.9052,MOTHERHUB_PAT,MOTIHARIHUB_MTI,72000,225,14400
Shipment,MOTHERHUB_PAT-MUZAFFARPURHUB_MZF-p,25.587197,85.185842,26.128011,85.361422,MOTHERHUB_PAT,MUZAFFARPURHUB_MZF,72000,736,0
Shipment,MOTHERHUB_PAT-MUZAFFARPURHUB_MZF-c,25.587197,85.185842,26.128011,85.361422,MOTHERHUB_PAT,MUZAFFARPURHUB_MZF,72000,175,14400
Shipment,MOTHERHUB_PAT-SAMASTIPURHUB_SMP-p,25.587197,85.185842,25.8785289,85.7884374,MOTHERHUB_PAT,SAMASTIPURHUB_SMP,72000,119,0
Shipment,MOTHERHUB_PAT-SAMASTIPURHUB_SMP-c,25.587197,85.185842,25.8785289,85.7884374,MOTHERHUB_PAT,SAMASTIPURHUB_SMP,72000,161,14400
Shipment,MOTHERHUB_PAT-SIWANHUB_SWN-p,25.587197,85.185842,26.1689,84.3963,MOTHERHUB_PAT,SIWANHUB_SWN,72000,203,0
Shipment,MOTHERHUB_PAT-SIWANHUB_SWN-c,25.587197,85.185842,26.1689,84.3963,MOTHERHUB_PAT,SIWANHUB_SWN,72000,219,14400
