Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_PUNE-BANERHUB_PUNE-p,18.6087917,73.7268817,18.564505,73.783821,MOTHERHUB_PUNE,BANERHUB_PUNE,43200,522,0
Shipment,MOTHERHUB_PUNE-BANERHUB_PUNE-c,18.6087917,73.7268817,18.564505,73.783821,MOTHERHUB_PUNE,BANERHUB_PUNE,43200,163,14400
Shipment,MOTHERHUB_PUNE-BHOSARIHUB_PUNE-p,18.6087917,73.7268817,18.642384,73.831053,MOTHERHUB_PUNE,BHOSARIHUB_PUNE,43200,181,0
Shipment,MOTHERHUB_PUNE-BHOSARIHUB_PUNE-c,18.6087917,73.7268817,18.642384,73.831053,MOTHERHUB_PUNE,BHOSARIHUB_PUNE,43200,177,14400
Shipment,MOTHERHUB_PUNE-CHAKANHUB_PUNE-p,18.6087917,73.7268817,18.760266,73.863035,MOTHERHUB_PUNE,CHAKANHUB_PUNE,43200,86,0
Shipment,MOTHERHUB_PUNE-CHAKANHUB_PUNE-c,18.6087917,73.7268817,18.760266,73.863035,MOTHERHUB_PUNE,CHAKANHUB_PUNE,43200,175,14400
Shipment,MOTHERHUB_PUNE-DHANKAWADIHUB_PUNE-p,18.6087917,73.7268817,18.485482,73.863777,MOTHERHUB_PUNE,DHANKAWADIHUB_PUNE,43200,297,0
Shipment,MOTHERHUB_PUNE-DHANKAWADIHUB_PUNE-c,18.6087917,73.7268817,18.485482,73.863777,MOTHERHUB_PUNE,DHANKAWADIHUB_PUNE,43200,170,14400
Shipment,MOTHERHUB_PUNE-HADAPSARHUB_PUNE-p,18.6087917,73.7268817,18.50892,73.926026,MOTHERHUB_PUNE,HADAPSARHUB_PUNE,43200,770,0
Shipment,MOTHERHUB_PUNE-HADAPSARHUB_PUNE-c,18.6087917,73.7268817,18.50892,73.926026,MOTHERHUB_PUNE,HADAPSARHUB_PUNE,43200,160,14400
Shipment,MOTHERHUB_PUNE-NAGARROADHUB_PUNE-p,18.6087917,73.7268817,18.55342,73.928494,MOTHERHUB_PUNE,NAGARROADHUB_PUNE,43200,837,0
Shipment,MOTHERHUB_PUNE-NAGARROADHUB_PUNE-c,18.6087917,73.7268817,18.55342,73.928494,MOTHERHUB_PUNE,NAGARROADHUB_PUNE,43200,176,14400
Shipment,MOTHERHUB_PUNE-NIBMHUB_PUNE-p,18.6087917,73.7268817,18.4761,73.9015,MOTHERHUB_PUNE,NIBMHUB_PUNE,43200,304,0
Shipment,MOTHERHUB_PUNE-NIBMHUB_PUNE-c,18.6087917,73.7268817,18.4761,73.9015,MOTHERHUB_PUNE,NIBMHUB_PUNE,43200,155,14400
Shipment,MOTHERHUB_PUNE-PIMPRIHUB_PUNE-p,18.6087917,73.7268817,18.6033088,73.7931971,MOTHERHUB_PUNE,PIMPRIHUB_PUNE,43200,385,0
Shipment,MOTHERHUB_PUNE-PIMPRIHUB_PUNE-c,18.6087917,73.7268817,18.6033088,73.7931971,MOTHERHUB_PUNE,PIMPRIHUB_PUNE,43200,207,14400
Shipment,MOTHERHUB_PUNE-PRABHATROADHUB_PUNE-p,18.6087917,73.7268817,18.528896,73.874391,MOTHERHUB_PUNE,PRABHATROADHUB_PUNE,43200,528,0
Shipment,MOTHERHUB_PUNE-PRABHATROADHUB_PUNE-c,18.6087917,73.7268817,18.528896,73.874391,MOTHERHUB_PUNE,PRABHATROADHUB_PUNE,43200,151,14400
Shipment,MOTHERHUB_PUNE-PURNANAGARHUB_PUNE-p,18.6087917,73.7268817,18.66,73.814,MOTHERHUB_PUNE,PURNANAGARHUB_PUNE,43200,290,0
Shipment,MOTHERHUB_PUNE-PURNANAGARHUB_PUNE-c,18.6087917,73.7268817,18.66,73.814,MOTHERHUB_PUNE,PURNANAGARHUB_PUNE,43200,174,14400
Shipment,MOTHERHUB_PUNE-SHIVAJINAGARHUB_PUNE-p,18.6087917,73.7268817,18.5308,73.8475,MOTHERHUB_PUNE,SHIVAJINAGARHUB_PUNE,43200,266,0
Shipment,MOTHERHUB_PUNE-SHIVAJINAGARHUB_PUNE-c,18.6087917,73.7268817,18.5308,73.8475,MOTHERHUB_PUNE,SHIVAJINAGARHUB_PUNE,43200,138,14400
Shipment,MOTHERHUB_PUNE-SOMATANEPHATAHUB_PUNE-p,18.6087917,73.7268817,18.595531,73.733926,MOTHERHUB_PUNE,SOMATANEPHATAHUB_PUNE,43200,608,0
Shipment,MOTHERHUB_PUNE-SOMATANEPHATAHUB_PUNE-c,18.6087917,73.7268817,18.595531,73.733926,MOTHERHUB_PUNE,SOMATANEPHATAHUB_PUNE,43200,179,14400
Shipment,MOTHERHUB_PUNE-THERGAONHUB_PUNE-p,18.6087917,73.7268817,18.6429311,73.7561058,MOTHERHUB_PUNE,THERGAONHUB_PUNE,43200,311,0
Shipment,MOTHERHUB_PUNE-THERGAONHUB_PUNE-c,18.6087917,73.7268817,18.6429311,73.7561058,MOTHERHUB_PUNE,THERGAONHUB_PUNE,43200,179,14400
Shipment,MOTHERHUB_PUNE-WAGHOLIHUB_PUNE-p,18.6087917,73.7268817,18.592667,73.9997267,MOTHERHUB_PUNE,WAGHOLIHUB_PUNE,43200,236,0
Shipment,MOTHERHUB_PUNE-WAGHOLIHUB_PUNE-c,18.6087917,73.7268817,18.592667,73.9997267,MOTHERHUB_PUNE,WAGHOLIHUB_PUNE,43200,215,14400
Shipment,MOTHERHUB_PUNE-WARJEHUB_PUNE-p,18.6087917,73.7268817,18.48,73.79,MOTHERHUB_PUNE,WARJEHUB_PUNE,43200,783,0
